=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2014SEP02 150000  2.5 1005.8  35.0  2.5 2.5 2.5  none  OFF  OFF  -65.06 -43.85  UNIFRM   NA   NA    17.50  106.50  FCST   GOES15 38.4 
2014SEP02 153000  2.5 1005.8  35.0  2.4 2.4 2.4  none   ON  OFF  -73.56 -45.26  UNIFRM   NA   NA    17.59  106.48  FCST   GOES15 38.5 
2014SEP02 160000  2.5 1005.7  35.0  2.4 2.5 2.5  none   ON  OFF  -70.66 -47.43  UNIFRM   NA   NA    17.67  106.47  FCST   GOES15 38.5 
2014SEP02 163000  2.5 1005.7  35.0  2.5 2.6 2.6  none  OFF  OFF  -69.76 -51.09  UNIFRM   NA   NA    17.75  106.47  FCST   GOES15 38.6 
2014SEP02 170000  2.5 1005.7  35.0  2.5 2.7 2.7  none  OFF  OFF  -68.46 -55.48  UNIFRM   NA   NA    17.82  106.47  FCST   GOES15 38.6 
2014SEP02 173000  2.5 1005.6  35.0  2.5 2.8 4.0  0.2Thour OFF  OFF  -62.36 -58.03  CRVBND   NA   NA    17.89  106.48  FCST   GOES15 38.6 
2014SEP02 180000  2.6 1004.4  37.0  2.6 2.9 3.8  0.2Thour OFF  OFF  -46.06 -59.20  CRVBND   NA   NA    17.96  106.50  FCST   GOES15 38.7 
2014SEP02 183000  2.7 1003.2  39.0  2.7 3.0 4.0  0.2Thour OFF  OFF  -35.86 -60.82  CRVBND   NA   NA    18.03  106.52  FCST   GOES15 38.7 
2014SEP02 190000  2.8 1002.0  41.0  2.8 3.1 3.8  0.2Thour OFF  OFF  -26.76 -62.01  CRVBND   NA   NA    18.09  106.54  FCST   GOES15 38.7 
2014SEP02 193000  2.9 1000.8  43.0  2.9 3.2 4.1  0.2Thour OFF  OFF  -29.26 -59.69  CRVBND   NA   NA    18.15  106.57  FCST   GOES15 38.7 
2014SEP02 200000  3.0  999.5  45.0  3.0 3.3 4.0  0.2Thour OFF  OFF  -50.16 -62.83  CRVBND   NA   NA    18.21  106.61  FCST   GOES15 38.7 
2014SEP02 203000  3.1  998.3  47.0  3.1 3.4 3.9  0.2Thour OFF  OFF  -50.46 -62.25  CRVBND   NA   NA    18.27  106.65  FCST   GOES15 38.7 
2014SEP02 210000  3.2  996.9  49.0  3.2 3.5 3.6  0.2Thour OFF  OFF  -19.86 -59.86  CRVBND   NA   NA    18.50  106.50  FCST   GOES15 39.0 
2014SEP02 213000  3.2  996.9  49.0  3.2 3.1 3.5  0.7T6hr  OFF  OFF  -29.46 -59.11  CRVBND   NA   NA    18.56  106.52  FCST   GOES15 39.0 
2014SEP02 220000  3.2  996.8  49.0  3.2 3.0 3.0  none  OFF  OFF  -75.06 -58.49  UNIFRM   NA   NA    18.62  106.55  FCST   GOES15 39.0 
2014SEP02 223000  3.2  996.8  49.0  3.2 3.1 3.1  none  OFF  OFF  -79.36 -61.63  UNIFRM   NA   NA    18.68  106.58  FCST   GOES15 39.0 
2014SEP02 230000  3.2  996.8  49.0  3.2 3.2 3.1  none  OFF  OFF  -80.46 -64.62  UNIFRM   NA   NA    18.74  106.61  FCST   GOES15 39.0 
2014SEP02 233000  3.2  996.8  49.0  3.2 3.2 3.2  none  OFF  OFF  -81.06 -66.46  UNIFRM   NA   NA    18.80  106.64  FCST   GOES15 39.0 
2014SEP03 000000  3.2  996.7  49.0  3.1 3.2 3.2  none   ON  OFF  -79.36 -66.85  UNIFRM   NA   NA    18.85  106.68  FCST   GOES15 39.0 
2014SEP03 003000  3.2  996.7  49.0  3.1 3.2 3.2  none   ON  OFF  -76.06 -65.37  UNIFRM   NA   NA    18.90  106.71  FCST   GOES15 39.0 
2014SEP03 010000  3.2  996.7  49.0  3.1 3.2 3.1  none   ON  OFF  -79.36 -65.01  UNIFRM   NA   NA    18.96  106.75  FCST   GOES15 39.0 
2014SEP03 013000  3.2  996.7  49.0  3.1 3.2 3.2  none   ON  OFF  -79.96 -67.04  UNIFRM   NA   NA    19.01  106.79  FCST   GOES15 39.0 
2014SEP03 020000  3.2  996.6  49.0  3.2 3.2 3.2  none  OFF  OFF  -79.36 -68.04  UNIFRM   NA   NA    19.06  106.83  FCST   GOES15 39.0 
2014SEP03 023000  3.2  996.6  49.0  3.2 3.3 3.2  none  OFF  OFF  -77.16 -69.49  UNIFRM   NA   NA    19.10  106.87  FCST   GOES15 39.0 
2014SEP03 030000  3.2  996.6  49.0  3.2 3.3 3.2  none  OFF  OFF  -74.56 -69.39  UNIFRM   NA   NA    19.20  106.90  FCST   GOES15 39.0 
2014SEP03 033000  3.2  996.5  49.0  3.2 3.3 3.3  none  OFF  OFF  -73.06 -69.48  UNIFRM   NA   NA    19.24  106.94  FCST   GOES15 39.0 
2014SEP03 040000  3.2  996.5  49.0  3.2 3.4 3.4  none  OFF  OFF  -76.66 -71.04  UNIFRM   NA   NA    19.29  106.98  FCST   GOES15 39.0 
2014SEP03 043000  3.3  995.2  51.0  3.3 3.5 3.4  none  OFF  OFF  -77.66 -71.82  UNIFRM   NA   NA    19.33  107.03  FCST   GOES15 39.0 
2014SEP03 050000  3.3  995.2  51.0  3.3 3.6 3.6  none  OFF  OFF  -81.06 -74.44  UNIFRM   NA   NA    19.36  107.07  FCST   GOES15 38.9 
2014SEP03 053000  3.4  993.9  53.0  3.4 3.7 3.7  none  OFF  OFF  -81.06 -76.60  UNIFRM   NA   NA    19.40  107.12  FCST   GOES15 38.9 
2014SEP03 060000  3.5  992.6  55.0  3.5 3.7 3.7  none  OFF  OFF  -78.26 -77.18  UNIFRM   NA   NA    19.44  107.17  FCST   GOES15 38.9 
2014SEP03 063000  3.6  991.3  57.0  3.6 3.7 3.7  none  OFF  OFF  -77.66 -76.00  UNIFRM   NA   NA    19.47  107.22  FCST   GOES15 38.9 
2014SEP03 070000  3.6  991.3  57.0  3.6 3.7 3.7  none  OFF  OFF  -76.06 -75.27  UNIFRM   NA   NA    19.51  107.27  FCST   GOES15 38.8 
2014SEP03 073000  3.6  991.3  57.0  3.6 3.7 3.6  none  OFF  OFF  -74.06 -73.92  UNIFRM   NA   NA    19.54  107.32  FCST   GOES15 38.8 
2014SEP03 080000  3.6  991.3  57.0  3.6 3.6 3.6  none  OFF  OFF  -77.16 -72.62  UNIFRM   NA   NA    19.57  107.37  FCST   GOES15 38.8 
2014SEP03 083000  3.6  991.3  57.0  3.6 3.6 3.5  none  OFF  OFF  -78.26 -71.29  UNIFRM   NA   NA    19.60  107.43  FCST   GOES15 38.8 
2014SEP03 090000  3.6  991.3  57.0  3.6 3.6 3.5  none  OFF  OFF  -79.36 -72.70  UNIFRM   NA   NA    19.60  107.60  FCST   GOES15 38.6 
