=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2015MAY28 090000  2.0 1010.0  30.0  2.0 2.0 2.0  none  OFF  OFF  -81.66 -74.81  UNIFRM   NA   NA    11.00  110.40  FCST   GOES15 31.3 
2015MAY28 093000  2.1 1010.0  31.0  2.1 2.2 2.7  0.2Thour OFF  OFF  -79.96 -75.36  UNIFRM   NA   NA    11.04  110.47  FCST   GOES15 31.2 
2015MAY28 100000  2.1 1010.0  31.0  2.1 2.2 2.8  0.2Thour OFF  OFF  -77.66 -76.44  UNIFRM   NA   NA    11.07  110.54  FCST   GOES15 31.1 
2015MAY28 103000  2.2 1010.8  32.0  2.2 2.4 2.9  0.2Thour OFF  OFF  -78.76 -77.26  UNIFRM   NA   NA    11.11  110.61  FCST   GOES15 31.1 
2015MAY28 110000  2.2 1010.8  32.0  2.2 2.4 2.9  0.2Thour OFF  OFF  -81.06 -78.45  UNIFRM   NA   NA    11.15  110.68  FCST   GOES15 31.0 
2015MAY28 113000  2.3 1010.3  33.0  2.3 2.6 3.0  0.2Thour OFF  OFF  -81.06 -79.11  UNIFRM   NA   NA    11.19  110.75  FCST   GOES15 31.0 
2015MAY28 120000  2.3 1010.3  33.0  2.3 2.6 3.1  0.2Thour OFF  OFF  -82.26 -79.42  UNIFRM   NA   NA    11.22  110.81  FCST   GOES15 30.9 
2015MAY28 123000  2.4 1009.9  34.0  2.4 2.8 3.2  0.2Thour OFF  OFF  -79.96 -79.49  UNIFRM   NA   NA    11.26  110.87  FCST   GOES15 30.9 
2015MAY28 130000  2.6 1006.7  37.0  2.6 2.8 3.4  0.2Thour OFF  OFF  -78.26 -78.10  UNIFRM   NA   NA    11.30  110.93  FCST   GOES15 30.8 
2015MAY28 133000  2.6 1006.6  37.0  2.6 3.0 3.3  0.2Thour OFF  OFF  -78.26 -76.36  UNIFRM   NA   NA    11.34  110.99  FCST   GOES15 30.8 
2015MAY28 140000  2.7 1005.4  39.0  2.7 3.0 3.4  0.2Thour OFF  OFF  -75.56 -74.89  UNIFRM   NA   NA    11.38  111.05  FCST   GOES15 30.8 
2015MAY28 143000  2.9 1003.0  43.0  2.9 2.9 3.6  MW  OFF  OFF  -73.56 -73.60  UNIFRM   NA   NA    11.42  111.11  FCST   GOES15 30.7 MWinit1=3.22.92.9
2015MAY28 150000  3.0 1001.7  45.0  3.0 3.0 3.5  MW  OFF  OFF  -69.36 -71.34  UNIFRM   NA   NA    11.62  111.27  FCST   GOES15 30.7 MWinit1=3.22.92.9
2015MAY28 153000  3.0 1001.7  45.0  3.0 3.0 3.6  MW  OFF  OFF  -63.86 -69.45  EMBC     NA   NA    11.66  111.33  FCST   GOES15 30.6 MWinit1=2.82.92.9
2015MAY28 160000  3.1 1000.4  47.0  3.1 3.1 3.5  MW  OFF  OFF  -59.76 -66.94  EMBC     NA   NA    11.70  111.40  FCST   GOES15 30.6 MWinit1=2.82.92.9
2015MAY28 163000  3.1 1000.4  47.0  3.1 3.1 3.2  MW  OFF  OFF  -56.96 -63.81  UNIFRM   NA   NA    11.74  111.47  FCST   GOES15 30.5 MWinit1=2.92.92.9
2015MAY28 170000  3.2  999.1  49.0  3.2 3.2 3.0  MW  OFF  OFF  -59.76 -59.41  UNIFRM   NA   NA    11.78  111.53  FCST   GOES15 30.5 MWinit1=2.92.92.9
2015MAY28 173000  3.3  997.9  51.0  3.3 3.3 2.9  MW  OFF  OFF  -65.46 -57.75  UNIFRM   NA   NA    11.82  111.60  FCST   GOES15 30.4 MWinit1=2.92.92.9
2015MAY28 180000  3.3  997.8  51.0  3.3 3.3 2.9  MW  OFF  OFF  -67.16 -57.98  UNIFRM   NA   NA    11.86  111.66  FCST   GOES15 30.4 MWinit1=2.92.92.9
2015MAY28 183000  3.4  996.6  53.0  3.4 3.4 3.3  MW  OFF  OFF  -71.16 -58.56  RCDO   NA   NA    11.89  111.73  FCST   GOES15 30.3 MWinit1=3.12.92.9
2015MAY28 190000  3.4  996.5  53.0  3.4 3.4 3.1  MW  OFF  OFF  -70.66 -60.22  UNIFRM   NA   NA    11.93  111.79  FCST   GOES15 30.3 MWinit1=3.12.92.9
2015MAY28 193000  3.5  995.2  55.0  3.5 3.5 3.2  MW  OFF  OFF  -67.56 -62.48  UNIFRM   NA   NA    11.97  111.86  FCST   GOES15 30.2 MWinit1=3.33.03.0
2015MAY28 200000  3.5  995.2  55.0  3.5 3.5 3.4  MW  OFF  OFF  -68.46 -62.77  UNIFRM   NA   NA    12.01  111.92  FCST   GOES15 30.2 MWinit1=3.43.03.0
2015MAY28 203000  3.6  993.9  57.0  3.6 3.6 3.5  MW  OFF  OFF  -65.96 -62.10  UNIFRM   NA   NA    12.05  111.99  FCST   GOES15 30.1 MWinit1=3.53.13.1
2015MAY28 210000  3.7  992.6  59.0  3.7 3.7 3.5  MW  OFF  OFF  -64.26 -61.13  UNIFRM   NA   NA    12.08  112.05  FCST   GOES15 30.1 MWinit1=3.53.23.2
2015MAY28 213000  3.7  992.5  59.0  3.7 3.7 3.5  MW  OFF  OFF  -62.36 -59.62  UNIFRM   NA   NA    12.12  112.11  FCST   GOES15 30.0 MWinit1=3.53.33.3
2015MAY28 220000  3.8  993.4  61.0  3.8 3.8 3.5  MW  OFF  OFF  -44.46 -59.42  UNIFRM   NA   NA    11.70  112.60  FCST   GOES15 29.3 MWinit1=3.63.43.4
2015MAY28 223000  3.8  993.4  61.0  3.8 3.8 3.5  MW  OFF  OFF  -40.96 -58.27  UNIFRM   NA   NA    11.74  112.66  FCST   GOES15 29.3 MWinit1=3.53.43.4
2015MAY28 230000  3.9  992.0  63.0  3.9 3.9 3.5  MW  OFF  OFF  -36.76 -58.74  UNIFRM   NA   NA    11.78  112.73  FCST   GOES15 29.2 MWinit1=3.53.53.5
2015MAY28 233000  4.0  990.7  65.0  4.0 4.0 4.9  MW  OFF  OFF  -26.76 -56.60  EYE    -99   NA    11.81  112.79  FCST   GOES15 29.2 MWinit1=3.93.53.5
2015MAY29 000000  4.0  990.7  65.0  4.0 4.0 3.4  MW  OFF  OFF  -41.26 -56.30  UNIFRM   NA   NA    11.85  112.86  FCST   GOES15 29.2 MWinit1=3.43.53.5
2015MAY29 003000  4.1  989.0  67.4  4.1 4.1 3.2  MW  OFF  OFF  -55.26 -52.78  UNIFRM   NA   NA    11.89  112.92  FCST   GOES15 29.1 MWinit1=3.23.53.5
2015MAY29 010000  4.1  989.0  67.4  4.1 4.1 3.2  MW   ON  OFF  -61.56 -52.22  UNIFRM   NA   NA    11.93  112.99  FCST   GOES15 29.1 MWinit1=3.23.43.5
