=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2015AUG30 054500  2.0 1011.0  30.0  2.0 2.0 2.0  none  OFF  OFF  -71.51 -64.02  UNIFRM   NA   NA    12.08   18.36  FCST     MSG3 25.6 
2015AUG30 061500  2.1 1011.0  31.0  2.1 2.2 2.8  0.2Thour OFF  OFF  -70.54 -63.53  UNIFRM   NA   NA    12.12   18.44  FCST     MSG3 25.7 
2015AUG30 064500  2.1 1011.0  31.0  2.1 2.2 2.8  0.2Thour OFF  OFF  -69.59 -62.92  UNIFRM   NA   NA    12.17   18.53  FCST     MSG3 25.8 
2015AUG30 071500  2.2 1011.0  32.0  2.2 2.4 2.7  0.2Thour OFF  OFF  -65.54 -62.72  UNIFRM   NA   NA    12.22   18.62  FCST     MSG3 25.9 
2015AUG30 074500  2.2 1011.0  32.0  2.2 2.4 3.4  0.2Thour OFF  OFF  -59.48 -61.32  SHEAR    NA   NA    12.27   18.71  FCST     MSG3 26.0 
2015AUG30 081500  2.3 1011.5  33.0  2.3 2.6 3.4  0.2Thour OFF  OFF  -48.23 -58.75  SHEAR    NA   NA    12.32   18.80  FCST     MSG3 26.1 
2015AUG30 084500  2.4 1010.9  34.0  2.4 2.6 3.4  0.2Thour OFF  OFF  -33.57 -56.23  SHEAR    NA   NA    12.37   18.86  FCST     MSG3 26.2 
2015AUG30 091500  2.4 1010.8  34.0  2.4 2.8 3.4  0.2Thour OFF  OFF  -27.32 -54.86  SHEAR    NA   NA    12.43   18.94  FCST     MSG3 26.3 
2015AUG30 094500  2.5 1010.2  35.0  2.5 2.8 3.4  0.2Thour OFF  OFF  -19.77 -53.19  SHEAR    NA   NA    12.48   19.02  FCST     MSG3 26.4 
2015AUG30 101500  2.6 1009.1  37.0  2.6 3.0 3.4  0.2Thour OFF  OFF  -16.26 -52.00  SHEAR    NA   NA    12.53   19.10  FCST     MSG3 26.5 
2015AUG30 104500  2.7 1007.9  39.0  2.7 3.0 3.4  0.2Thour OFF  OFF  -10.91 -50.09  SHEAR    NA   NA    12.59   19.18  FCST     MSG3 26.7 
2015AUG30 111500  2.8 1006.6  41.0  2.8 3.2 3.4  0.2Thour OFF  OFF   -5.54 -49.68  SHEAR    NA   NA    12.64   19.26  FCST     MSG3 26.8 
2015AUG30 114500  2.9 1005.4  43.0  2.9 3.2 3.4  0.2Thour OFF  OFF  -11.26 -48.68  SHEAR    NA   NA    12.70   19.34  FCST     MSG3 26.9 
2015AUG30 121500  3.0 1004.2  45.0  3.0 3.1 3.4  1.0T6hr  OFF  OFF   -5.88 -50.35  SHEAR    NA   NA    12.76   19.42  FCST     MSG3 27.0 
2015AUG30 124500  3.0 1005.1  45.0  3.0 3.1 3.4  1.0T6hr  OFF  OFF  -17.60 -52.59  SHEAR    NA   NA    12.81   19.50  FCST     MSG3 27.1 
2015AUG30 131500  3.1 1003.9  47.0  3.1 3.2 3.4  1.0T6hr  OFF  OFF  -26.01 -53.07  SHEAR    NA   NA    12.87   19.57  FCST     MSG3 27.2 
2015AUG30 134500  3.1 1003.8  47.0  3.1 3.2 3.4  1.0T6hr  OFF  OFF  -36.54 -52.65  SHEAR    NA   NA    12.93   19.65  FCST     MSG3 27.3 
2015AUG30 141500  3.1 1003.8  47.0  3.1 3.3 3.4  1.0T6hr  OFF  OFF  -41.28 -52.39  SHEAR    NA   NA    12.98   19.73  FCST     MSG3 27.4 
2015AUG30 144500  3.2 1002.4  49.0  3.2 3.4 3.4  none  OFF  OFF  -40.74 -46.67  SHEAR    NA   NA    13.38   19.86  FCST     MSG3 27.8 
2015AUG30 151500  3.2 1002.4  49.0  3.2 3.4 3.4  none  OFF  OFF  -32.61 -49.90  SHEAR    NA   NA    13.42   19.94  FCST     MSG3 27.9 
2015AUG30 154500  3.2 1002.3  49.0  3.2 3.4 3.4  none  OFF  OFF  -42.11 -52.35  SHEAR    NA   NA    13.47   20.01  FCST     MSG3 28.0 
2015AUG30 161500  3.3 1001.0  51.0  3.3 3.4 3.4  none  OFF  OFF  -54.76 -53.99  SHEAR    NA   NA    13.52   20.08  FCST     MSG3 28.1 
2015AUG30 164500  3.3 1001.0  51.0  3.3 3.4 3.4  none  OFF  OFF  -54.07 -55.70  SHEAR    NA   NA    13.57   20.16  FCST     MSG3 28.2 
2015AUG30 171500  3.3 1001.0  51.0  3.3 3.4 3.4  none  OFF  OFF  -54.41 -57.21  SHEAR    NA   NA    13.62   20.23  FCST     MSG3 28.3 
2015AUG30 174500  3.4  999.7  53.0  3.4 3.4 3.4  none  OFF  OFF  -54.41 -58.05  SHEAR    NA   NA    13.67   20.31  FCST     MSG3 28.4 
2015AUG30 181500  3.4  999.7  53.0  3.4 3.4 3.4  none  OFF  OFF  -54.76 -58.82  SHEAR    NA   NA    13.72   20.39  FCST     MSG3 28.5 
2015AUG30 184500  3.4  999.7  53.0  3.4 3.4 3.4  none  OFF  OFF  -53.39 -59.09  SHEAR    NA   NA    13.77   20.47  FCST     MSG3 28.6 
2015AUG30 191500  3.4  999.6  53.0  3.4 3.4 3.4  none  OFF  OFF  -64.68 -58.19  SHEAR    NA   NA    13.82   20.54  FCST     MSG3 28.7 
2015AUG30 194500  3.4  999.6  53.0  3.4 3.4 3.4  none  OFF  OFF  -62.61 -58.84  SHEAR    NA   NA    13.87   20.62  FCST     MSG3 28.8 
2015AUG30 201500  3.4  999.6  53.0  3.4 3.4 3.4  none  OFF  OFF  -58.72 -59.45  SHEAR    NA   NA    13.92   20.70  FCST     MSG3 28.9 
2015AUG30 204500  3.4  999.4  53.0  3.4 3.4 3.4  none  OFF  OFF  -60.24 -64.98  SHEAR    NA   NA    14.37   21.26  FCST     MSG3 29.7 
2015AUG30 211500  3.4  999.3  53.0  3.4 3.4 3.8  MW  OFF  OFF  -67.29 -64.49  UNIFRM   NA   NA    14.43   21.34  FCST     MSG3 29.8 MWinit1=3.83.43.4
2015AUG30 214500  3.4  999.3  53.0  3.4 3.4 3.7  MW  OFF  OFF  -66.40 -63.89  UNIFRM   NA   NA    14.49   21.43  FCST     MSG3 30.0 MWinit1=3.83.53.5
2015AUG30 221500  3.5  998.0  55.0  3.5 3.5 3.7  MW  OFF  OFF  -66.85 -63.34  UNIFRM   NA   NA    14.55   21.51  FCST     MSG3 30.1 MWinit1=3.83.53.5
2015AUG30 224500  3.5  998.0  55.0  3.5 3.5 3.7  MW  OFF  OFF  -68.65 -63.05  UNIFRM   NA   NA    14.61   21.60  FCST     MSG3 30.2 MWinit1=3.73.63.6
2015AUG30 231500  3.6  996.6  57.0  3.6 3.6 3.6  MW  OFF  OFF  -65.97 -62.94  UNIFRM   NA   NA    14.68   21.68  FCST     MSG3 30.3 MWinit1=3.73.63.6
2015AUG30 234500  3.6  996.6  57.0  3.6 3.6 3.5  MW  OFF  OFF  -65.11 -61.77  UNIFRM   NA   NA    14.75   21.76  FCST     MSG3 30.4 MWinit1=3.63.63.6
2015AUG31 001500  3.6  996.6  57.0  3.6 3.6 3.4  MW  OFF  OFF  -65.11 -60.91  UNIFRM   NA   NA    14.81   21.85  FCST     MSG3 30.6 MWinit1=3.53.73.7
2015AUG31 004500  3.7  995.2  59.0  3.7 3.7 3.4  MW   ON  OFF  -64.68 -60.65  UNIFRM   NA   NA    14.88   21.93  FCST     MSG3 30.7 MWinit1=3.43.63.7
2015AUG31 011500  3.7  995.2  59.0  3.7 3.7 3.4  MW   ON  OFF  -59.86 -60.23  SHEAR    NA   NA    14.95   22.02  FCST     MSG3 30.8 MWinit1=3.43.53.7
2015AUG31 014500  3.7  995.1  59.0  3.7 3.7 3.4  MW   ON  OFF  -55.81 -59.46  SHEAR    NA   NA    15.02   22.10  FCST     MSG3 30.9 MWinit1=3.43.53.7
2015AUG31 021500  3.8  993.8  61.0  3.8 3.8 3.4  MW   ON  OFF  -51.08 -59.63  SHEAR    NA   NA    15.09   22.18  FCST     MSG3 31.0 MWinit1=3.43.43.7
2015AUG31 024500  3.8  993.7  61.0  3.8 3.8 3.4  MW   ON  FLG  -48.85 -57.26  SHEAR    NA   NA    15.27   22.36  FCST     MSG3 31.3 MWinit1=3.43.43.7
2015AUG31 031500  3.9  992.3  63.0  3.9 3.9 3.4  MW   ON  FLG  -56.17 -57.39  SHEAR    NA   NA    15.33   22.44  FCST     MSG3 31.4 MWinit1=3.43.43.7
2015AUG31 034500  3.9  992.3  63.0  3.9 3.9 3.4  MW   ON  OFF  -54.07 -56.84  SHEAR    NA   NA    15.39   22.52  FCST     MSG3 31.5 MWinit1=3.43.43.7
2015AUG31 041500  3.9  992.3  63.0  3.9 3.9 3.4  MW   ON  OFF  -41.01 -54.90  SHEAR    NA   NA    15.44   22.59  FCST     MSG3 31.6 MWinit1=3.43.43.7
2015AUG31 044500  4.0  990.9  65.0  4.0 4.0 3.4  MW   ON  OFF  -36.29 -52.48  SHEAR    NA   NA    15.50   22.67  FCST     MSG3 31.7 MWinit1=3.43.43.7
2015AUG31 051500  4.0  990.9  65.0  4.0 4.0 3.4  MW   ON  OFF  -34.79 -50.70  SHEAR    NA   NA    15.55   22.74  FCST     MSG3 31.8 MWinit1=3.43.43.7
