=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2015SEP05 151500  2.0 1013.0  30.0  2.0 2.0 2.0  none  OFF  OFF  -16.64 -42.81  SHEAR    NA   NA    12.31   25.25  FCST     MSG3 32.5 
2015SEP05 154500  2.1 1013.0  31.0  2.1 2.2 3.4  0.2Thour OFF  OFF  -12.89 -42.21  SHEAR    NA   NA    12.32   25.35  FCST     MSG3 32.6 
2015SEP05 161500  2.1 1013.0  31.0  2.1 2.2 3.4  0.2Thour OFF  OFF  -21.18 -41.55  SHEAR    NA   NA    12.33   25.44  FCST     MSG3 32.7 
2015SEP05 164500  2.2 1013.0  32.0  2.2 2.4 3.4  0.2Thour OFF  OFF  -34.54 -42.97  SHEAR    NA   NA    12.35   25.54  FCST     MSG3 32.8 
2015SEP05 171500  2.2 1013.0  32.0  2.2 2.4 3.4  0.2Thour OFF  OFF  -37.05 -42.55  SHEAR    NA   NA    12.36   25.64  FCST     MSG3 32.9 
2015SEP05 174500  2.3 1013.5  33.0  2.3 2.6 3.4  0.2Thour OFF  OFF  -29.80 -42.83  SHEAR    NA   NA    12.37   25.73  FCST     MSG3 33.1 
2015SEP05 181500  2.3 1013.4  33.0  2.3 2.6 3.4  0.2Thour OFF  OFF  -31.19 -43.43  SHEAR    NA   NA    12.38   25.83  FCST     MSG3 33.2 
2015SEP05 184500  2.4 1012.9  34.0  2.4 2.8 3.4  0.2Thour OFF  OFF  -36.04 -44.72  SHEAR    NA   NA    12.39   25.92  FCST     MSG3 33.3 
2015SEP05 191500  2.5 1012.3  35.0  2.5 2.8 3.4  0.2Thour OFF  OFF  -32.85 -44.87  SHEAR    NA   NA    12.40   26.02  FCST     MSG3 33.4 
2015SEP05 194500  2.6 1011.1  37.0  2.6 3.0 3.4  0.2Thour OFF  OFF  -34.05 -45.07  SHEAR    NA   NA    12.41   26.11  FCST     MSG3 33.5 
2015SEP05 201500  2.7 1009.9  39.0  2.7 3.0 3.4  0.2Thour OFF  OFF  -30.72 -43.71  SHEAR    NA   NA    12.42   26.20  FCST     MSG3 33.6 
2015SEP05 204500  2.8 1008.7  41.0  2.8 3.2 3.4  0.2Thour OFF  OFF  -24.29 -40.52  SHEAR    NA   NA    12.59   26.34  FCST     MSG3 33.8 
2015SEP05 211500  2.9 1007.4  43.0  2.9 3.2 3.4  0.2Thour OFF  OFF  -20.57 -36.97  SHEAR    NA   NA    12.61   26.46  FCST     MSG3 33.9 
2015SEP05 214500  3.0 1006.2  45.0  3.0 3.1 3.4  1.0T6hr  OFF  OFF  -21.38 -31.90  SHEAR    NA   NA    12.63   26.57  FCST     MSG3 34.0 
2015SEP05 221500  3.0 1006.2  45.0  3.0 3.1 3.4  1.0T6hr  OFF  OFF  -25.57 -28.48  SHEAR    NA   NA    12.64   26.68  FCST     MSG3 34.1 
2015SEP05 224500  3.1 1005.0  47.0  3.1 3.2 3.4  1.0T6hr  OFF  OFF  -14.00 -26.56  SHEAR    NA   NA    12.66   26.79  FCST     MSG3 34.3 
2015SEP05 231500  3.1 1005.0  47.0  3.1 3.2 3.4  1.0T6hr  OFF  OFF  -16.26 -26.88  SHEAR    NA   NA    12.68   26.90  FCST     MSG3 34.4 
2015SEP05 234500  3.1 1005.0  47.0  3.1 3.1 3.1  none  OFF  OFF  -12.17 -30.63  SHEAR    NA   NA    12.69   27.00  FCST     MSG3 34.5 
2015SEP06 001500  3.1 1004.9  47.0  3.1 3.3 3.4  1.0T6hr  OFF  OFF  -22.20 -37.20  SHEAR    NA   NA    12.71   27.11  FCST     MSG3 34.6 
2015SEP06 004500  3.2 1003.7  49.0  3.2 3.4 3.4  none  OFF  OFF  -36.80 -40.25  SHEAR    NA   NA    12.73   27.22  FCST     MSG3 34.7 
2015SEP06 011500  3.2 1001.7  49.0  3.2 3.4 3.4  none  OFF  OFF  -35.54 -41.75  SHEAR    NA   NA    12.75   27.32  FCST     MSG3 34.8 
2015SEP06 014500  3.2 1001.7  49.0  3.2 3.4 3.4  none  OFF  OFF  -46.42 -43.99  SHEAR    NA   NA    12.76   27.43  FCST     MSG3 35.0 
2015SEP06 021500  3.3 1000.4  51.0  3.3 3.4 3.4  none  OFF  OFF  -45.82 -45.61  SHEAR    NA   NA    12.78   27.53  FCST     MSG3 35.1 
2015SEP06 024500  3.3 1000.4  51.0  3.3 3.4 3.4  none  OFF  OFF  -43.23 -49.30  SHEAR    NA   NA    12.79   27.45  FCST     MSG3 35.0 
2015SEP06 031500  3.4  999.1  53.0  3.4 3.4 3.4  none  OFF  OFF  -41.83 -51.84  SHEAR    NA   NA    12.81   27.55  FCST     MSG3 35.1 
2015SEP06 034500  3.4  999.1  53.0  3.4 3.4 3.4  none  OFF  OFF  -36.04 -53.91  SHEAR    NA   NA    12.82   27.66  FCST     MSG3 35.2 
2015SEP06 041500  3.4  999.1  53.0  3.4 3.4 3.4  none  OFF  OFF  -33.57 -56.05  SHEAR    NA   NA    12.83   27.76  FCST     MSG3 35.3 
2015SEP06 044500  3.4  999.1  53.0  3.4 3.4 3.4  none  OFF  OFF  -40.20 -57.42  SHEAR    NA   NA    12.85   27.87  FCST     MSG3 35.5 
2015SEP06 051500  3.4  999.1  53.0  3.4 3.4 3.4  none  OFF  OFF  -37.82 -58.97  SHEAR    NA   NA    12.86   27.98  FCST     MSG3 35.6 
2015SEP06 054500  3.4  999.1  53.0  3.4 3.4 3.4  none  OFF  OFF  -46.12 -59.87  SHEAR    NA   NA    12.87   28.09  FCST     MSG3 35.7 
2015SEP06 061500  3.4  999.1  53.0  3.4 3.4 3.4  none  OFF  OFF  -42.11 -60.52  SHEAR    NA   NA    12.88   28.20  FCST     MSG3 35.8 
2015SEP06 064500  3.4 1000.1  53.0  3.4 3.4 3.4  none  OFF  OFF  -43.51 -61.50  SHEAR    NA   NA    12.89   28.31  FCST     MSG3 35.9 
2015SEP06 071500  3.4 1000.1  53.0  3.4 3.4 3.4  none  OFF  OFF  -25.36 -61.42  SHEAR    NA   NA    12.90   28.42  FCST     MSG3 36.0 
2015SEP06 074500  3.4 1000.1  53.0  3.4 3.4 3.4  none  OFF  OFF  -10.37 -59.98  SHEAR    NA   NA    12.91   28.53  FCST     MSG3 36.2 
2015SEP06 081500  3.4 1000.1  53.0  3.4 3.4 3.4  none  OFF  OFF  -35.79 -59.20  SHEAR    NA   NA    12.92   28.64  FCST     MSG3 36.3 
2015SEP06 084500  3.4 1000.3  53.0  3.4 3.4 3.4  none  OFF  OFF  -47.62 -56.58  SHEAR    NA   NA    12.39   28.45  FCST     MSG3 35.9 
2015SEP06 091500  3.4 1000.3  53.0  3.4 3.4 3.4  none  OFF  OFF  -50.43 -54.73  SHEAR    NA   NA    12.41   28.55  FCST     MSG3 36.0 
2015SEP06 094500  3.4 1000.3  53.0  3.4 3.4 3.4  none  OFF  OFF  -41.28 -53.69  SHEAR    NA   NA    12.42   28.66  FCST     MSG3 36.1 
2015SEP06 101500  3.4 1000.3  53.0  3.4 3.4 3.4  none  OFF  OFF  -35.54 -52.71  SHEAR    NA   NA    12.44   28.77  FCST     MSG3 36.2 
2015SEP06 104500  3.4 1000.3  53.0  3.4 3.4 3.4  none  OFF  OFF  -33.33 -51.62  SHEAR    NA   NA    12.45   28.89  FCST     MSG3 36.3 
2015SEP06 111500  3.4 1000.3  53.0  3.4 3.4 3.4  none  OFF  OFF  -26.88 -50.44  SHEAR    NA   NA    12.46   29.01  FCST     MSG3 36.5 
2015SEP06 114500  3.4 1000.3  53.0  3.4 3.4 3.4  none  OFF  OFF  -31.42 -49.06  SHEAR    NA   NA    12.47   29.13  FCST     MSG3 36.6 
2015SEP06 121500  3.4 1000.3  53.0  3.4 3.4 3.4  none  OFF  OFF  -28.89 -47.68  SHEAR    NA   NA    12.49   29.25  FCST     MSG3 36.7 
