=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2015JUL30 030000  2.0 1010.0  30.0  2.0 2.0 2.0  none  OFF  OFF   -8.96 -46.15  CRVBND   NA   NA     8.20  125.30  FCST   GOES15 14.9 
2015JUL30 033000  2.1 1010.0  31.0  2.1 2.2 2.5  0.2Thour OFF  OFF  -11.86 -46.02  CRVBND   NA   NA     8.24  125.40  FCST   GOES15 14.8 
2015JUL30 040000  2.1 1010.0  31.0  2.1 2.2 2.8  0.2Thour OFF  OFF   -9.76 -47.40  CRVBND   NA   NA     8.27  125.50  FCST   GOES15 14.7 
2015JUL30 043000  2.2 1010.0  32.0  2.2 2.4 3.1  0.2Thour OFF  OFF  -15.46 -48.77  CRVBND   NA   NA     8.31  125.60  FCST   GOES15 14.7 
2015JUL30 050000  2.2 1010.0  32.0  2.2 2.4 3.2  0.2Thour OFF  OFF  -11.66 -49.58  CRVBND   NA   NA     8.37  125.70  FCST   GOES15 14.6 
2015JUL30 053000  2.3 1010.8  33.0  2.3 2.6 3.2  0.2Thour OFF  OFF  -21.56 -51.17  CRVBND   NA   NA     8.41  125.81  FCST   GOES15 14.6 
2015JUL30 060000  2.3 1010.8  33.0  2.3 2.6 3.1  0.2Thour OFF  OFF  -18.16 -51.81  CRVBND   NA   NA     8.45  125.91  FCST   GOES15 14.5 
2015JUL30 063000  2.5 1009.9  35.0  2.5 2.8 3.2  0.2Thour OFF  OFF  -14.06 -52.11  CRVBND   NA   NA     8.48  126.01  FCST   GOES15 14.5 
2015JUL30 070000  2.5 1009.9  35.0  2.5 2.8 3.3  0.2Thour OFF  OFF   -5.26 -52.30  CRVBND   NA   NA     8.52  126.12  FCST   GOES15 14.4 
2015JUL30 073000  2.6 1009.0  37.0  2.6 3.0 3.3  0.2Thour OFF  OFF  -12.16 -52.53  CRVBND   NA   NA     8.56  126.22  FCST   GOES15 14.3 
2015JUL30 080000  2.8 1007.0  41.0  2.8 3.0 3.4  0.2Thour OFF  OFF  -17.66 -53.92  CRVBND   NA   NA     8.60  126.33  FCST   GOES15 14.3 
2015JUL30 083000  2.8 1006.9  41.0  2.8 3.1 3.1  none  OFF  OFF  -20.26 -50.42  CRVBND   NA   NA     8.88  126.38  COMBO  GOES15 14.5 
2015JUL30 090000  2.9 1005.9  43.0  2.9 3.2 3.3  0.2Thour OFF  OFF  -17.96 -55.20  CRVBND   NA   NA     8.72  126.39  COMBO  GOES15 14.3 
2015JUL30 093000  2.9 1005.8  43.0  2.9 2.8 3.2  0.7T6hr  OFF  OFF   -3.56 -57.09  CRVBND   NA   NA     8.96  126.60  COMBO  GOES15 14.4 
2015JUL30 100000  2.9 1006.5  43.0  2.9 2.8 3.1  0.7T6hr  OFF  OFF  -32.16 -62.21  UNIFRM   NA   NA     8.36  126.47  FCST   GOES15 14.0 
2015JUL30 103000  2.9 1006.5  43.0  2.9 2.9 3.3  0.7T6hr  OFF  OFF  -65.46 -63.76  UNIFRM   NA   NA     8.38  126.57  FCST   GOES15 13.9 
2015JUL30 110000  3.0 1005.2  45.0  3.0 3.4 5.4  0.5Thour OFF  OFF  -20.46 -64.34  EYE    -99   NA     8.54  126.70  FCST   GOES15 13.9 
2015JUL30 113000  3.0 1005.2  45.0  3.0 3.0 3.5  0.7T6hr  OFF  OFF  -49.56 -65.60  UNIFRM   NA   NA     8.56  126.81  FCST   GOES15 13.9 
2015JUL30 120000  3.0 1005.2  45.0  3.0 3.0 3.6  0.7T6hr  OFF  OFF  -66.36 -67.94  UNIFRM   NA   NA     8.59  126.91  FCST   GOES15 13.8 
2015JUL30 123000  3.0 1005.2  45.0  3.0 3.2 3.6  0.7T6hr  OFF  OFF  -68.46 -69.52  UNIFRM   NA   NA     8.61  127.01  FCST   GOES15 13.7 
2015JUL30 130000  3.1 1003.9  47.0  3.1 3.2 3.7  0.7T6hr  OFF  OFF  -72.56 -71.20  UNIFRM   NA   NA     8.63  127.12  FCST   GOES15 13.7 
2015JUL30 133000  3.1 1003.9  47.0  3.1 3.3 3.6  0.7T6hr  OFF  OFF  -72.56 -71.67  UNIFRM   NA   NA     8.65  127.22  FCST   GOES15 13.6 
2015JUL30 140000  3.2 1002.6  49.0  3.2 3.5 3.6  0.7T6hr  OFF  OFF  -71.16 -71.26  UNIFRM   NA   NA     8.68  127.33  FCST   GOES15 13.5 
2015JUL30 143000  3.2 1002.6  49.0  3.2 3.5 3.6  0.7T6hr  OFF  OFF  -68.06 -70.25  UNIFRM   NA   NA     8.70  127.44  FCST   GOES15 13.5 
2015JUL30 150000  3.3 1001.4  51.0  3.3 3.5 3.5  none  OFF  OFF  -66.36 -67.84  UNIFRM   NA   NA     8.73  127.54  FCST   GOES15 13.4 
2015JUL30 153000  3.3 1001.4  51.0  3.3 3.5 3.5  none  OFF  OFF  -61.16 -65.69  UNIFRM   NA   NA     8.75  127.65  FCST   GOES15 13.4 
2015JUL30 160000  3.4  998.9  53.0  3.4 3.4 3.3  none  OFF  OFF  -46.36 -61.40  EMBC     NA   NA     9.20  127.70  FCST   GOES15 13.7 
2015JUL30 163000  3.4  998.8  53.0  3.4 3.4 3.3  none  OFF  OFF  -50.76 -59.87  UNIFRM   NA   NA     9.25  127.81  FCST   GOES15 13.7 
2015JUL30 170000  3.4  998.8  53.0  3.4 3.3 3.2  none  OFF  OFF  -39.26 -57.49  UNIFRM   NA   NA     9.29  127.92  FCST   GOES15 13.7 
2015JUL30 173000  3.4  998.8  53.0  3.4 3.2 3.2  none  OFF  OFF  -42.26 -55.62  EMBC     NA   NA     9.34  128.03  FCST   GOES15 13.6 
2015JUL30 180000  3.4  998.8  53.0  3.3 3.2 3.2  none   ON  OFF  -37.26 -55.89  EMBC     NA   NA     9.38  128.14  FCST   GOES15 13.6 
2015JUL30 183000  3.4  998.6  53.0  3.3 3.4 3.4  none   ON  OFF  -60.86 -63.69  UNIFRM   NA   NA     9.68  127.60  SPRL   GOES15 14.3 
2015JUL30 190000  3.4  998.7  53.0  3.3 3.3 3.2  none   ON  OFF  -33.26 -58.43  UNIFRM   NA   NA     9.47  128.37  FCST   GOES15 13.5 
2015JUL30 193000  3.4  998.7  53.0  3.3 3.3 3.3  none   ON  OFF  -34.66 -59.25  UNIFRM   NA   NA     9.51  128.48  FCST   GOES15 13.5 
2015JUL30 203000  3.4  998.7  53.0  3.3 3.5 3.4  none   ON  OFF  -53.96 -58.76  EMBC     NA   NA     9.60  128.70  FCST   GOES15 13.4 
2015JUL30 210000  3.4  998.6  53.0  3.3 3.5 3.5  none   ON  OFF  -51.66 -59.57  UNIFRM   NA   NA     9.64  128.81  FCST   GOES15 13.4 
2015JUL30 213000  3.4  998.6  53.0  3.4 3.6 3.5  none  OFF  OFF  -48.06 -60.68  UNIFRM   NA   NA     9.69  128.93  FCST   GOES15 13.4 
2015JUL30 220000  3.4  998.5  53.0  3.4 3.6 3.6  none  OFF  OFF  -45.26 -63.33  UNIFRM   NA   NA     9.90  128.70  FCST   GOES15 13.7 
2015JUL30 223000  3.5  997.2  55.0  3.5 3.6 3.5  none  OFF  OFF  -45.26 -62.79  EMBC     NA   NA     9.95  128.82  FCST   GOES15 13.7 
2015JUL30 230000  3.5  997.2  55.0  3.5 3.5 3.5  none  OFF  OFF  -52.06 -58.47  UNIFRM   NA   NA    10.01  128.88  FCST   GOES15 13.7 
2015JUL30 233000  3.5  997.2  55.0  3.5 3.5 3.4  none  OFF  OFF  -53.96 -58.80  UNIFRM   NA   NA    10.05  129.00  FCST   GOES15 13.7 
2015JUL31 000000  3.5  997.1  55.0  3.5 3.5 3.5  none  OFF  OFF  -51.36 -59.65  EMBC     NA   NA    10.10  129.12  FCST   GOES15 13.7 
2015JUL31 003000  3.5  997.1  55.0  3.5 3.5 3.5  none  OFF  OFF  -49.56 -59.46  UNIFRM   NA   NA    10.14  129.25  FCST   GOES15 13.6 
2015JUL31 010000  3.5  997.1  55.0  3.5 3.5 3.5  none  OFF  OFF  -49.86 -59.62  UNIFRM   NA   NA    10.19  129.37  FCST   GOES15 13.6 
2015JUL31 013000  3.5  997.1  55.0  3.5 3.5 3.5  none  OFF  OFF  -48.96 -59.29  EMBC     NA   NA    10.23  129.49  FCST   GOES15 13.6 
2015JUL31 020000  3.5  997.1  55.0  3.5 3.5 3.4  none  OFF  OFF  -50.76 -58.27  UNIFRM   NA   NA    10.27  129.61  FCST   GOES15 13.6 
2015JUL31 023000  3.5  997.0  55.0  3.5 3.5 3.4  none  OFF  OFF  -51.06 -56.68  UNIFRM   NA   NA    10.32  129.73  FCST   GOES15 13.6 
2015JUL31 030000  3.5  996.7  55.0  3.5 4.0 5.3  0.5Thour OFF  OFF  -26.96 -62.86  EYE     29   NA    11.11  130.01  COMBO  GOES15 14.3 
2015JUL31 033000  3.5  997.0  55.0  3.5 3.4 3.4  none  OFF  OFF  -53.56 -56.51  UNIFRM   NA   NA    10.40  129.98  FCST   GOES15 13.5 
2015JUL31 040700  3.5  995.8  55.0  3.5 3.6 3.6  none  OFF  OFF  -55.86 -67.02  EMBC     NA   NA    10.75  129.47  FCST   GOES15 14.2 
2015JUL31 043000  3.5  995.8  55.0  3.5 3.6 3.6  none  OFF  OFF  -54.56 -69.08  UNIFRM   NA   NA    10.78  129.56  FCST   GOES15 14.1 
2015JUL31 050000  3.6  994.5  57.0  3.6 3.6 3.5  none  OFF  OFF  -42.26 -70.26  EMBC     NA   NA    10.82  129.68  FCST   GOES15 14.1 
2015JUL31 053000  3.6  994.5  57.0  3.6 3.6 3.5  none  OFF  OFF  -58.66 -70.25  UNIFRM   NA   NA    10.87  129.80  FCST   GOES15 14.1 
2015JUL31 060000  3.6  994.4  57.0  3.6 3.6 3.5  none  OFF  OFF  -58.66 -69.34  EMBC     NA   NA    10.91  129.92  FCST   GOES15 14.1 
2015JUL31 063000  3.6  994.4  57.0  3.6 3.6 3.5  none  OFF  OFF  -55.56 -67.53  EMBC     NA   NA    10.95  130.04  FCST   GOES15 14.1 
2015JUL31 070000  3.6  994.4  57.0  3.6 3.6 3.5  none  OFF  OFF  -59.06 -65.43  UNIFRM   NA   NA    10.99  130.16  FCST   GOES15 14.1 
2015JUL31 073000  3.6  994.4  57.0  3.5 3.5 3.5  none   ON  OFF  -58.66 -63.09  UNIFRM   NA   NA    11.03  130.28  FCST   GOES15 14.0 
2015JUL31 080000  3.6  994.4  57.0  3.5 3.5 3.5  none   ON  OFF  -50.46 -60.62  UNIFRM   NA   NA    11.07  130.40  FCST   GOES15 14.0 
2015JUL31 083000  3.6  994.3  57.0  3.5 3.5 3.4  none   ON  OFF  -43.06 -59.04  EMBC     NA   NA    11.12  130.53  FCST   GOES15 14.0 
2015JUL31 090000  3.6  994.3  57.0  3.5 3.4 3.3  none   ON  OFF  -42.06 -58.90  EMBC     NA   NA    11.16  130.65  FCST   GOES15 14.0 
2015JUL31 093000  3.6  994.1  57.0  3.5 3.5 3.5  none   ON  OFF  -54.26 -63.75  EMBC     NA   NA    11.65  131.13  SPRL   GOES15 14.4 
2015JUL31 100000  3.6  994.1  57.0  3.5 3.5 3.4  none   ON  OFF  -43.86 -62.32  EMBC     NA   NA    11.65  131.26  SPRL   GOES15 14.3 
2015JUL31 103000  3.6  994.0  57.0  3.4 3.5 3.5  none   ON  OFF  -47.76 -63.02  UNIFRM   NA   NA    11.79  131.47  SPRL   GOES15 14.4 
2015JUL31 110000  3.6  994.0  57.0  3.4 3.4 3.4  none   ON  OFF  -52.36 -62.58  EMBC     NA   NA    11.83  131.59  SPRL   GOES15 14.4 
2015JUL31 113000  3.6  993.9  57.0  3.4 3.5 3.4  none   ON  OFF  -45.26 -63.74  UNIFRM   NA   NA    11.97  131.81  SPRL   GOES15 14.5 
2015JUL31 120000  3.6  993.9  57.0  3.4 3.5 3.5  none   ON  OFF  -43.66 -66.18  UNIFRM   NA   NA    12.11  132.03  SPRL   GOES15 14.6 
2015JUL31 123000  3.6  993.9  57.0  3.4 3.4 3.3  none   ON  OFF  -40.76 -64.23  UNIFRM   NA   NA    12.05  132.25  SPRL   GOES15 14.5 
2015JUL31 130000  3.5  995.1  55.0  3.4 3.5 3.5  none   ON  OFF  -46.66 -66.61  UNIFRM   NA   NA    12.18  132.26  SPRL   GOES15 14.6 
