=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2016OCT04 141500  3.0 1000.9  45.0  3.0 3.0 3.0  none  OFF  OFF   14.64 -18.99  SHEAR    NA    NA   23.73   60.31  FCST   GOES13 32.3 
2016OCT04 144500  3.0 1000.8  45.0  2.9 2.8 2.5  0.2Thour  ON  OFF    2.94 -17.80  SHEAR    NA    NA   23.78   60.37  FCST   GOES13 32.3 
2016OCT04 151500  3.0 1000.8  45.0  2.8 2.8 2.1  0.2Thour  ON  OFF   -0.86 -17.77  CRVBND   NA    NA   23.82   60.43  FCST   GOES13 32.3 
2016OCT04 154500  3.0 1000.8  45.0  2.8 2.6 2.3  0.2Thour  ON  OFF    5.84 -17.02  CRVBND   NA    NA   23.87   60.49  FCST   GOES13 32.3 
2016OCT04 161500  3.0 1000.8  45.0  2.7 2.6 2.3  0.2Thour  ON  OFF  -23.16 -17.33  CRVBND   NA    NA   23.91   60.54  FCST   GOES13 32.3 
2016OCT04 164500  3.0 1000.7  45.0  2.7 2.4 2.3  0.2Thour  ON  FLG  -21.96 -19.51  CRVBND   NA    NA   23.95   60.60  FCST   GOES13 32.3 
2016OCT04 171500  3.0 1000.7  45.0  2.6 2.4 2.2  0.2Thour  ON  FLG    6.24 -20.41  CRVBND   NA   -3.3   23.99   60.65  FCST   GOES13 32.3 
2016OCT04 174500  3.0 1000.7  45.0  2.5 2.4 2.4  none   ON  FLG  -45.36 -22.93  CRVBND   NA   -3.3   24.03   60.70  FCST   GOES13 32.3 
2016OCT04 181500  3.0 1000.7  45.0  2.5 2.4 2.4  none   ON  FLG  -47.96 -24.79  CRVBND   NA   -3.3   24.07   60.75  FCST   GOES13 32.3 
2016OCT04 184500  3.0 1000.7  45.0  2.4 2.6 2.6  none   ON  FLG  -51.56 -25.88  CRVBND   NA   -3.3   24.11   60.80  FCST   GOES13 32.4 
2016OCT04 191500  3.0 1000.7  45.0  2.4 2.5 2.5  none   ON  FLG  -50.36 -27.52  CRVBND   NA   -3.3   24.15   60.85  FCST   GOES13 32.4 
2016OCT04 194500  3.0 1000.6  45.0  2.4 2.4 2.4  none   ON  FLG  -48.56 -31.08  CRVBND   NA   -3.3   24.19   60.90  FCST   GOES13 32.4 
2016OCT04 201500  3.0 1000.7  45.0  2.4 2.7 2.7  none   ON  OFF  -50.96 -31.32  CRVBND   NA   -3.3   24.04   61.00  FCST   GOES13 32.2 
2016OCT04 204500  2.9 1001.9  43.0  2.5 2.7 2.7  none   ON  OFF  -47.36 -33.45  CRVBND   NA   -3.3   24.08   61.07  FCST   GOES13 32.2 
2016OCT04 211500  2.8 1003.1  41.0  2.5 2.5 2.5  none   ON  OFF  -45.66 -32.46  CRVBND   NA   -3.3   24.12   61.13  FCST   GOES13 32.2 
2016OCT04 214500  2.8 1003.1  41.0  2.5 2.7 2.7  none   ON  OFF  -49.76 -31.21  CRVBND   NA   -3.3   24.16   61.20  FCST   GOES13 32.2 
2016OCT04 221500  2.7 1004.2  39.0  2.6 2.9 2.9  none   ON  OFF  -54.46 -30.32  CRVBND   NA   -3.3   24.20   61.27  FCST   GOES13 32.2 
2016OCT04 224500  2.7 1004.2  39.0  2.6 2.5 2.5  none   ON  OFF  -55.46 -31.40  RCDO   NA   -3.8   24.24   61.33  FCST   GOES13 32.2 
2016OCT04 231500  2.6 1005.4  37.0  2.6 2.5 2.5  none   ON  OFF  -56.06 -32.75  RCDO   NA   -3.8   24.29   61.40  FCST   GOES13 32.2 
2016OCT04 234500  2.6 1005.4  37.0  2.6 2.5 2.5  none  OFF  OFF  -54.76 -33.87  RCDO   NA   -3.8   24.33   61.46  FCST   GOES13 32.2 
2016OCT05 001500  2.6 1005.3  37.0  2.5 2.1 1.6  0.5Thour  ON  OFF  -50.66 -32.87  UNIFRM   NA   -3.8   24.38   61.53  FCST   GOES13 32.2 
2016OCT05 004500  2.6 1004.3  37.0  2.4 2.1 1.8  0.5Thour  ON  OFF  -43.46 -32.26  UNIFRM   NA   -3.8   24.43   61.60  FCST   GOES13 32.2 
2016OCT05 011500  2.6 1004.3  37.0  2.4 3.0 3.1  0.5Thour  ON  OFF  -36.16 -32.53  CRVBND   NA   -3.8   24.48   61.66  FCST   GOES13 32.3 
2016OCT05 014500  2.6 1004.3  37.0  2.3 2.0 2.0  none   ON  OFF  -36.16 -32.27  CRVBND   NA   -3.8   24.53   61.73  FCST   GOES13 32.3 
2016OCT05 021500  2.6 1004.2  37.0  2.4 2.9 3.3  0.5Thour  ON  OFF  -26.16 -29.99  CRVBND   NA   -3.8   24.58   61.80  FCST   GOES13 32.3 
2016OCT05 024500  2.6 1004.4  37.0  2.4 2.3 2.3  none   ON  OFF   12.44 -30.71  CRVBND   NA   -3.8   24.19   61.28  FCST   GOES13 32.2 
2016OCT05 031500  2.6 1004.4  37.0  2.4 2.2 2.2  none   ON  OFF   10.54 -28.27  CRVBND   NA   -3.8   24.21   61.32  FCST   GOES13 32.2 
2016OCT05 034500  2.6 1004.4  37.0  2.4 2.3 2.3  none   ON  OFF   13.34 -27.99  CRVBND   NA   -3.8   24.25   61.36  FCST   GOES13 32.2 
2016OCT05 041500  2.6 1004.4  37.0  2.4 2.3 2.3  none   ON  OFF    8.04 -26.71  CRVBND   NA   -3.8   24.28   61.41  FCST   GOES13 32.2 
2016OCT05 044500  2.6 1004.4  37.0  2.3 2.0 2.0  none   ON  OFF    9.74 -23.65  CRVBND   NA   -3.8   24.32   61.46  FCST   GOES13 32.2 
2016OCT05 051500  2.6 1004.3  37.0  2.3 2.3 2.3  none   ON  OFF   13.34 -21.51  CRVBND   NA   -3.8   24.36   61.52  FCST   GOES13 32.2 
2016OCT05 054500  2.6 1004.3  37.0  2.2 2.1 2.1  none   ON  OFF   10.94 -22.29  CRVBND   NA   -3.8   24.41   61.58  FCST   GOES13 32.2 
2016OCT05 061500  2.5 1005.5  35.0  2.1 2.0 2.0  none   ON  OFF   10.44 -20.21  CRVBND   NA   -3.8   24.45   61.65  FCST   GOES13 32.2 
2016OCT05 064500  2.4 1006.0  34.0  2.1 2.3 2.3  none   ON  OFF    4.54 -19.72  CRVBND   NA   -3.8   24.50   61.71  FCST   GOES13 32.3 
2016OCT05 071500  2.4 1006.0  34.0  2.1 2.1 2.1  none   ON  OFF    9.34 -22.31  CRVBND   NA   -3.8   24.55   61.78  FCST   GOES13 32.3 
2016OCT05 074500  2.4 1006.0  34.0  2.1 2.3 2.3  none   ON  OFF   11.74 -27.11  CRVBND   NA   -3.8   24.60   61.86  FCST   GOES13 32.3 
2016OCT05 081500  2.4 1006.1  34.0  2.2 2.3 2.3  none   ON  OFF  -61.46 -34.54  UNIFRM   NA   -3.4   24.25   61.73  FCST   GOES13 32.0 
2016OCT05 084500  2.4 1006.1  34.0  2.2 2.3 2.3  none   ON  OFF  -57.16 -36.61  UNIFRM   NA   -3.4   24.28   61.78  FCST   GOES13 32.0 
2016OCT05 091500  2.4 1006.1  34.0  2.2 2.4 2.4  none   ON  OFF  -53.76 -38.47  UNIFRM   NA   -3.4   24.32   61.82  FCST   GOES13 32.0 
2016OCT05 094500  2.4 1006.1  34.0  2.3 2.5 2.5  none   ON  OFF  -50.66 -39.45  UNIFRM   NA   -3.4   24.36   61.88  FCST   GOES13 32.0 
2016OCT05 101500  2.4 1006.1  34.0  2.3 2.7 2.7  none   ON  OFF  -45.96 -40.42  UNIFRM   NA   -3.4   24.41   61.93  FCST   GOES13 32.1 
2016OCT05 104500  2.4 1006.0  34.0  2.4 2.3 2.3  none  OFF  OFF  -38.06 -40.37  CRVBND   NA   -3.4   24.46   61.99  FCST   GOES13 32.1 
2016OCT05 111500  2.4 1006.0  34.0  2.4 2.3 2.3  none  OFF  OFF  -41.66 -40.00  CRVBND   NA   -3.9   24.52   62.05  FCST   GOES13 32.1 
2016OCT05 114500  2.4 1006.0  34.0  2.4 2.9 2.9  none  OFF  OFF  -63.36 -41.45  CRVBND   NA   -3.9   24.58   62.12  FCST   GOES13 32.1 
2016OCT05 121500  2.5 1005.4  35.0  2.5 2.8 3.6  0.7T6hr  OFF  OFF  -67.06 -45.23  CRVBND   NA   -3.9   24.65   62.18  FCST   GOES13 32.2 
2016OCT05 124500  2.5 1007.3  35.0  2.5 2.6 2.6  none  OFF  OFF  -67.06 -47.24  UNIFRM   NA   -3.9   24.71   62.25  FCST   GOES13 32.2 
2016OCT05 131500  2.5 1007.3  35.0  2.5 2.5 2.5  none  OFF  OFF  -66.16 -49.31  UNIFRM   NA   -3.9   24.78   62.32  FCST   GOES13 32.2 
2016OCT05 134500  2.6 1006.1  37.0  2.6 2.5 2.5  none  OFF  OFF  -65.36 -50.91  UNIFRM   NA   -3.9   24.85   62.39  FCST   GOES13 32.3 
2016OCT05 141500  2.6 1006.1  37.0  2.6 2.6 2.6  none  OFF  OFF  -61.86 -51.37  UNIFRM   NA   -3.9   24.92   62.72  FCST   GOES13 32.2 
2016OCT05 144500  2.6 1006.1  37.0  2.6 2.5 2.5  none  OFF  OFF  -58.56 -50.26  UNIFRM   NA   -3.9   24.97   62.77  FCST   GOES13 32.2 
2016OCT05 151500  2.6 1006.0  37.0  2.5 2.5 2.5  none   ON  OFF  -62.16 -50.80  UNIFRM   NA   -3.9   25.03   62.83  FCST   GOES13 32.2 
2016OCT05 154500  2.6 1006.0  37.0  2.5 2.6 2.6  none   ON  OFF  -65.36 -52.75  UNIFRM   NA   -3.9   25.08   62.88  FCST   GOES13 32.3 
2016OCT05 161500  2.6 1006.0  37.0  2.5 2.7 2.7  none   ON  OFF  -64.56 -54.02  UNIFRM   NA   -3.9   25.13   62.93  FCST   GOES13 32.3 
2016OCT05 164500  2.6 1005.9  37.0  2.5 2.6 2.6  none   ON  OFF  -63.76 -53.52  UNIFRM   NA   -3.9   25.19   62.99  FCST   GOES13 32.3 
2016OCT05 171500  2.6 1005.9  37.0  2.6 3.0 3.3  0.5Thour OFF  OFF  -63.76 -54.80  RCDO   NA   -3.9   25.24   63.05  FCST   GOES13 32.4 
2016OCT05 174500  2.6 1005.9  37.0  2.6 2.6 2.6  none  OFF  OFF  -63.76 -54.99  UNIFRM   NA  -42.4   25.29   63.10  FCST   GOES13 32.4 
2016OCT05 181500  2.7 1004.7  39.0  2.7 3.1 3.1  none  OFF  OFF  -62.96 -53.21  RCDO   NA  -42.4   25.35   63.16  FCST   GOES13 32.4 
2016OCT05 184500  2.8 1003.5  41.0  2.8 3.1 3.1  none  OFF  OFF  -61.86 -51.33  RCDO   NA  -42.4   25.40   63.21  FCST   GOES13 32.4 
2016OCT05 191500  2.8 1003.4  41.0  2.8 3.0 3.0  none  OFF  OFF  -59.26 -50.39  RCDO   NA  -42.4   25.46   63.27  FCST   GOES13 32.5 
2016OCT05 194500  2.9 1002.2  43.0  2.9 2.9 2.9  none  OFF  OFF  -52.76 -48.68  RCDO   NA  -42.4   25.52   63.33  FCST   GOES13 32.5 
2016OCT05 201500  2.9 1002.4  43.0  2.9 3.2 3.2  none  OFF  OFF  -64.96 -56.06  UNIFRM   NA  -42.4   25.22   63.42  FCST   GOES13 32.2 
2016OCT05 204500  3.0 1001.1  45.0  3.0 3.2 3.2  none  OFF  OFF  -64.96 -55.27  RCDO   NA  -42.4   25.27   63.47  FCST   GOES13 32.2 
2016OCT05 211500  3.1  999.8  47.0  3.1 3.2 3.2  none  OFF  OFF  -66.56 -55.70  RCDO   NA  -42.4   25.33   63.53  FCST   GOES13 32.2 
2016OCT05 214500  3.1  999.8  47.0  3.1 3.1 3.1  none  OFF  OFF  -67.06 -56.22  RCDO   NA  -42.4   25.38   63.58  FCST   GOES13 32.3 
2016OCT05 221500  3.1  999.8  47.0  3.1 3.1 3.1  none  OFF  OFF  -66.56 -54.70  RCDO   NA  -42.4   25.43   63.64  FCST   GOES13 32.3 
2016OCT05 224500  3.1  999.8  47.0  3.0 2.9 2.9  none   ON  OFF  -63.36 -54.94  UNIFRM   NA   -7.5   25.49   63.70  FCST   GOES13 32.3 
2016OCT05 231500  3.1  999.7  47.0  3.1 3.2 3.2  none  OFF  OFF  -62.16 -53.12  RCDO   NA   -7.5   25.54   63.75  FCST   GOES13 32.4 
2016OCT05 234500  3.1  999.7  47.0  3.1 3.1 3.1  none  OFF  OFF  -58.86 -50.59  RCDO   NA  -11.5   25.60   63.81  FCST   GOES13 32.4 
2016OCT06 001500  3.1  999.7  47.0  3.1 3.1 3.0  MW   ON  OFF  -53.46 -48.83  RCDO   NA  -11.5   25.66   63.87  FCST   GOES13 32.4 MWinit1=3.03.03.1
2016OCT06 004500  3.2  998.4  49.0  3.2 3.2 2.4  MW   ON  OFF  -44.86 -47.04  CRVBND   NA  -11.5   25.71   63.93  FCST   GOES13 32.5 MWinit1=2.63.03.1
2016OCT06 011500  3.2  998.4  49.0  3.2 3.2 2.1  MW   ON  OFF  -36.86 -44.64  CRVBND   NA  -11.5   25.77   63.99  FCST   GOES13 32.5 MWinit1=2.52.83.1
2016OCT06 014500  3.3  997.1  51.0  3.3 3.3 2.2  MW   ON  FLG  -27.46 -44.57  CRVBND   NA  -11.5   25.82   64.04  FCST   GOES13 32.5 MWinit1=2.52.83.1
2016OCT06 021500  3.3  997.1  51.0  3.3 3.3 2.4  MW   ON  FLG  -23.16 -45.68  CRVBND   NA  -11.5   25.92   64.05  FCST   GOES13 32.6 MWinit1=2.42.73.1
2016OCT06 024500  3.4  995.8  53.0  3.4 3.4 2.7  MW   ON  FLG  -34.06 -47.65  CRVBND   NA  -11.5   25.97   64.08  FCST   GOES13 32.7 MWinit1=2.72.63.1
2016OCT06 031500  3.4  995.7  53.0  3.4 3.4 2.9  MW   ON  FLG  -46.56 -50.73  CRVBND   NA  -11.5   26.03   64.12  FCST   GOES13 32.7 MWinit1=2.92.63.1
2016OCT06 034500  3.5  994.4  55.0  3.5 3.5 2.8  MW   ON  FLG  -47.96 -53.11  CRVBND   NA  -11.5   26.08   64.16  FCST   GOES13 32.7 MWinit1=2.82.63.1
2016OCT06 041500  3.5  994.4  55.0  3.5 3.5 3.5  MW   ON  OFF  -68.36 -56.08  CRVBND   NA  -11.5   26.13   64.20  FCST   GOES13 32.8 MWinit1=3.12.73.1
2016OCT06 044500  3.6  993.1  57.0  3.6 3.6 3.5  MW   ON  OFF  -67.06 -57.20  UNIFRM   NA  -11.5   26.18   64.23  FCST   GOES13 32.8 MWinit1=3.12.83.1
2016OCT06 051500  3.6  993.0  57.0  3.6 3.6 3.6  MW   ON  OFF  -62.56 -57.59  UNIFRM   NA  -11.5   26.23   64.27  FCST   GOES13 32.9 MWinit1=3.22.83.1
2016OCT06 054500  3.7  991.7  59.0  3.7 3.7 3.7  MW   ON  OFF  -69.16 -59.37  UNIFRM   NA  -11.5   26.28   64.31  FCST   GOES13 32.9 MWinit1=3.33.03.1
2016OCT06 061500  3.7  991.7  59.0  3.7 3.7 3.6  MW  OFF  OFF  -69.66 -59.89  UNIFRM   NA    5.8   26.34   64.35  FCST   GOES13 32.9 MWinit1=3.33.13.1
2016OCT06 064500  3.8  990.3  61.0  3.8 3.8 3.4  MW  OFF  OFF  -69.16 -59.97  UNIFRM   NA    5.8   26.39   64.39  FCST   GOES13 33.0 MWinit1=3.43.13.1
2016OCT06 071500  3.8  990.3  61.0  3.8 3.8 3.2  MW  OFF  OFF  -71.46 -60.17  UNIFRM   NA    5.8   26.44   64.43  FCST   GOES13 33.0 MWinit1=3.23.23.2
2016OCT06 074500  3.9  988.9  63.0  3.9 3.9 3.4  MW  OFF  OFF  -68.76 -59.90  RCDO   NA    0.0   26.49   64.47  FCST   GOES13 33.0 MWinit1=3.43.23.2
2016OCT06 081500  3.9  989.0  63.0  3.9 3.9 3.3  MW  OFF  OFF  -68.36 -62.05  UNIFRM   NA    0.0   26.42   64.65  FCST   GOES13 32.9 MWinit1=3.33.33.3
2016OCT06 084500  4.0  987.6  65.0  4.0 4.0 3.3  MW  OFF  OFF  -64.96 -62.46  UNIFRM   NA    0.0   26.48   64.68  FCST   GOES13 32.9 MWinit1=3.33.33.3
2016OCT06 091500  4.0  987.6  65.0  4.0 4.0 3.5  MW  OFF  OFF  -62.56 -60.26  RCDO   NA    0.0   26.52   64.72  FCST   GOES13 33.0 MWinit1=3.33.33.3
2016OCT06 094500  4.1  985.9  67.4  4.1 4.1 3.4  MW  OFF  OFF  -66.56 -59.97  RCDO   NA    0.0   26.57   64.75  FCST   GOES13 33.0 MWinit1=3.33.33.3
2016OCT06 101500  4.1  985.9  67.4  4.1 4.1 3.2  MW   ON  OFF  -66.56 -57.40  RCDO   NA    0.0   26.62   64.78  FCST   GOES13 33.1 MWinit1=3.23.23.3
2016OCT06 104500  4.2  984.2  69.8  4.2 4.2 3.2  MW   ON  OFF  -67.86 -56.36  RCDO   NA    0.0   26.67   64.82  FCST   GOES13 33.1 MWinit1=3.23.23.3
2016OCT06 111500  4.3  982.5  72.2  4.3 4.3 3.1  MW   ON  OFF  -65.76 -54.57  RCDO   NA    0.0   26.72   64.85  FCST   GOES13 33.1 MWinit1=3.13.23.3
2016OCT06 114500  4.3  982.5  72.2  4.3 4.3 3.0  MW   ON  OFF  -64.56 -52.62  RCDO   NA    0.0   26.77   64.88  FCST   GOES13 33.2 MWinit1=3.03.23.3
2016OCT06 121500  4.3  981.4  72.2  4.3 4.3 3.1  MW      ON  OFF  -61.46 -51.88  RCDO   NA   34.9   26.82   64.91  FCST   GOES13 33.2 
2016OCT06 124500  4.3  981.4  72.2  4.3 4.3 2.9  MW     OFF  OFF  -58.86 -54.18  UNIFRM   NA   34.9   26.86   64.94  FCST   GOES13 33.3 
2016OCT06 131500  4.4  979.7  74.6  4.4 4.4 3.1  MW     OFF  OFF  -55.46 -56.11  UNIFRM   NA   34.9   26.91   64.97  FCST   GOES13 33.3 
2016OCT06 134500  4.4  979.7  74.6  4.4 4.4 3.6  MW     OFF  OFF  -55.76 -58.08  CRVBND   NA   34.9   26.95   65.00  FCST   GOES13 33.3 
2016OCT06 141500  4.4  979.8  74.6  4.4 4.4 3.8  MW     OFF  OFF  -61.86 -62.40  UNIFRM   NA   34.9   26.74   64.77  FCST   GOES13 33.2 
2016OCT06 144500  4.4  979.8  74.6  4.4 4.4 3.8  MW     OFF  OFF  -61.86 -61.86  UNIFRM   NA   34.9   26.78   64.79  FCST   GOES13 33.2 
2016OCT06 151500  4.4  979.7  74.6  4.4 4.4 3.8  MW     OFF  OFF  -58.86 -61.40  UNIFRM   NA   34.9   26.82   64.81  FCST   GOES13 33.3 
2016OCT06 154500  4.5  978.0  77.0  4.5 4.5 3.8  MW     OFF  OFF  -60.36 -60.77  UNIFRM   NA   34.9   26.86   64.83  FCST   GOES13 33.3 
2016OCT06 171500  4.5  977.9  77.0  4.5 4.5 4.0  MW     OFF  OFF  -62.96 -62.81  UNIFRM   NA   34.9   26.98   64.89  FCST   GOES13 33.4 
2016OCT06 174500  4.5  977.9  77.0  4.5 4.5 4.0  MW     OFF  OFF  -67.06 -63.61  UNIFRM   NA   34.9   27.02   64.91  FCST   GOES13 33.4 
2016OCT06 181500  4.6  976.0  79.6  4.6 4.6 4.0  MW     OFF  OFF  -69.66 -63.64  UNIFRM   NA   34.9   27.06   64.93  FCST   GOES13 33.5 
2016OCT06 184500  4.6  976.0  79.6  4.6 4.6 4.1  MW     OFF  OFF  -71.06 -64.56  UNIFRM   NA   24.8   27.15   64.89  SPRL   GOES13 33.6 
2016OCT06 191500  4.6  976.0  79.6  4.6 4.6 4.0  MW     OFF  OFF  -67.06 -64.34  UNIFRM   NA   24.8   27.14   64.96  FCST   GOES13 33.6 
2016OCT06 194500  4.6  975.9  79.6  4.6 4.6 4.0  MW     OFF  OFF  -68.36 -63.76  UNIFRM   NA   24.8   27.18   64.98  FCST   GOES13 33.6 
2016OCT06 201500  4.6  975.8  79.6  4.6 4.6 3.7  MW     OFF  OFF  -62.96 -60.59  UNIFRM   NA   24.8   27.47   65.09  FCST   GOES13 33.9 
2016OCT06 204500  4.7  974.0  82.2  4.7 4.7 3.8  MW     OFF  OFF  -64.56 -62.02  UNIFRM   NA   24.8   27.34   65.04  SPRL   GOES13 33.7 
2016OCT06 211500  4.7  973.9  82.2  4.7 4.7 3.9  MW     OFF  OFF  -60.66 -60.94  UNIFRM   NA   24.8   27.36   65.05  SPRL   GOES13 33.8 
2016OCT06 214500  4.7  973.9  82.2  4.7 4.7 3.6  MW     OFF  OFF  -56.06 -57.65  UNIFRM   NA   24.8   27.38   65.17  SPRL   GOES13 33.7 
2016OCT06 221500  4.7  973.9  82.2  4.7 4.7 3.7  MW   OFF  OFF  -53.46 -58.18  UNIFRM   NA    0.0   27.41   65.06  SPRL   GOES13 33.8 
2016OCT06 224500  4.7  973.9  82.2  4.7 4.7 3.5  MW   OFF  OFF  -45.16 -55.38  UNIFRM   NA    0.0   27.43   65.19  SPRL   GOES13 33.8 
2016OCT06 231500  4.7  973.9  82.2  4.7 4.7 3.6  MW   OFF  OFF  -56.06 -57.48  UNIFRM   NA   15.0   27.36   65.20  SPRL   GOES13 33.7 
2016OCT06 234500  4.7  973.9  82.2  4.7 4.7 4.0  MW   OFF  OFF  -58.56 -61.42  UNIFRM   NA   15.0   27.39   65.09  SPRL   GOES13 33.8 
2016OCT07 001500  4.7  975.0  82.2  4.7 4.7 3.9  MW   OFF  OFF  -63.76 -63.30  UNIFRM   NA   15.0   27.31   65.11  SPRL   GOES13 33.7 
2016OCT07 004500  4.7  975.0  82.2  4.7 4.7 3.9  MW   OFF  OFF  -64.16 -63.81  UNIFRM   NA   15.0   27.24   65.12  SPRL   GOES13 33.6 
2016OCT07 011500  4.7  975.0  82.2  4.7 4.7 4.1  MW   OFF  OFF  -64.16 -63.50  UNIFRM   NA   15.0   27.26   65.02  SPRL   GOES13 33.7 
2016OCT07 014500  4.7  975.1  82.2  4.7 4.7 4.3  MW   OFF  OFF  -63.36 -64.00  UNIFRM   NA   15.0   27.09   64.92  SPRL   GOES13 33.5 
2016OCT07 021500  4.7  975.1  82.2  4.7 4.7 4.0  MW   OFF  OFF  -64.16 -62.22  UNIFRM   NA   15.0   27.15   65.03  SPRL   GOES13 33.5 
2016OCT07 024500  4.7  975.1  82.2  4.7 4.7 3.9  MW   OFF  OFF  -65.36 -61.77  UNIFRM   NA   15.0   27.05   65.03  SPRL   GOES13 33.4 
2016OCT07 031500  4.7  975.0  82.2  4.7 4.7 3.9  MW   OFF  OFF  -65.36 -61.27  UNIFRM   NA   15.0   27.25   64.92  SPRL   GOES13 33.7 
2016OCT07 034500  4.7  975.1  82.2  4.7 4.7 4.1  MW   OFF  OFF  -65.76 -64.37  UNIFRM   NA   15.0   27.15   64.81  SPRL   GOES13 33.6 
2016OCT07 041500  4.7  975.1  82.2  4.7 4.7 3.9  MW OFF  OFF  -63.76 -64.52  UNIFRM   NA   15.0   27.15   64.92  SPRL   GOES13 33.6 MW OFF HOLD >=6hrs old
