=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2016NOV21 081500  2.0 1008.0  30.0  2.0 2.0 2.0  none  OFF  OFF  -30.26 -40.54  CRVBND   NA    NA   11.50   79.38  FCST   GOES13 14.4 
2016NOV21 084500  2.1 1008.0  31.0  2.1 2.2 2.2  none  OFF  OFF  -48.86 -40.28  CRVBND   NA    NA   11.50   79.39  FCST   GOES13 14.4 
2016NOV21 091500  2.1 1008.0  31.0  2.1 2.2 2.7  0.2Thour OFF  OFF  -59.96 -41.94  CRVBND   NA    NA   11.50   79.40  FCST   GOES13 14.4 
2016NOV21 094500  2.2 1008.0  32.0  2.2 2.4 3.5  0.2Thour OFF  OFF  -67.86 -47.02  CRVBND   NA    NA   11.49   79.41  FCST   GOES13 14.4 
2016NOV21 101500  2.2 1008.0  32.0  2.2 2.2 2.2  none  OFF  OFF  -63.76 -51.82  UNIFRM   NA    NA   11.49   79.42  FCST   GOES13 14.4 
2016NOV21 104500  2.2 1008.0  32.0  2.2 2.3 2.3  none  OFF  OFF  -62.56 -55.73  UNIFRM   NA    NA   11.49   79.42  FCST   GOES13 14.4 
2016NOV21 111500  2.2 1008.0  32.0  2.2 2.4 2.5  0.2Thour OFF  OFF  -59.56 -56.34  UNIFRM   NA    NA   11.48   79.43  FCST   GOES13 14.4 
2016NOV21 114500  2.3 1008.9  33.0  2.3 2.5 2.6  0.2Thour OFF  OFF  -59.26 -55.09  UNIFRM   NA    NA   11.48   79.43  FCST   GOES13 14.4 
2016NOV21 121500  2.4 1008.3  34.0  2.4 2.6 2.7  0.2Thour OFF  OFF  -55.46 -54.93  UNIFRM   NA    NA   11.47   79.43  FCST   GOES13 14.4 
2016NOV21 124500  2.4 1008.3  34.0  2.4 2.7 2.9  0.2Thour OFF  OFF  -57.46 -55.51  UNIFRM   NA   -7.2   11.46   79.43  FCST   GOES13 14.4 
2016NOV21 131500  2.5 1007.7  35.0  2.5 2.8 2.8  none  OFF  OFF  -60.36 -55.11  UNIFRM   NA   -7.2   11.46   79.43  FCST   GOES13 14.4 
2016NOV21 134500  2.6 1006.6  37.0  2.6 2.9 2.9  none  OFF  OFF  -58.86 -53.83  UNIFRM   NA   -7.2   11.45   79.43  FCST   GOES13 14.4 
2016NOV21 141500  2.6 1006.6  37.0  2.6 2.9 2.9  none  OFF  OFF  -54.06 -51.98  UNIFRM   NA   -7.2   11.44   79.42  FCST   GOES13 14.4 
2016NOV21 144500  2.7 1005.4  39.0  2.7 2.7 2.7  none  OFF  OFF  -51.26 -48.42  UNIFRM   NA   -7.2   11.44   79.42  FCST   GOES13 14.4 
2016NOV21 151500  2.7 1005.4  39.0  2.7 2.8 2.8  none  OFF  OFF  -45.66 -46.54  UNIFRM   NA   -7.2   11.43   79.42  FCST   GOES13 14.3 
2016NOV21 154500  2.8 1004.2  41.0  2.8 2.8 2.8  none  OFF  OFF  -50.66 -45.42  UNIFRM   NA   -7.2   11.43   79.42  FCST   GOES13 14.3 
2016NOV21 161500  2.8 1004.2  41.0  2.8 2.9 2.9  none  OFF  OFF  -53.46 -44.47  UNIFRM   NA   -7.2   11.42   79.41  FCST   GOES13 14.3 
2016NOV21 164500  2.8 1004.2  41.0  2.8 2.8 2.8  none  OFF  OFF  -55.06 -43.39  UNIFRM   NA   -7.2   11.41   79.41  FCST   GOES13 14.3 
2016NOV21 171500  2.8 1004.2  41.0  2.8 2.9 3.0  0.7T6hr  OFF  OFF  -55.76 -44.94  UNIFRM   NA   -7.2   11.51   79.29  FCST   GOES13 14.4 
2016NOV21 174500  2.8 1004.2  41.0  2.8 3.0 3.1  0.7T6hr  OFF  OFF  -47.66 -46.94  UNIFRM   NA   -7.2   11.50   79.30  FCST   GOES13 14.4 
2016NOV21 181500  2.9 1003.0  43.0  2.9 3.1 3.3  0.7T6hr  OFF  OFF  -50.06 -50.61  UNIFRM   NA   -7.2   11.50   79.30  FCST   GOES13 14.4 
2016NOV21 184500  2.9 1003.0  43.0  2.9 3.1 3.6  0.7T6hr  OFF  OFF  -59.26 -55.01  UNIFRM   NA   -3.4   11.49   79.31  FCST   GOES13 14.4 
2016NOV21 191500  3.0 1001.8  45.0  3.0 3.2 3.7  0.7T6hr  OFF  OFF  -62.56 -60.50  UNIFRM   NA   -3.4   11.48   79.32  FCST   GOES13 14.4 
2016NOV21 194500  3.0 1001.8  45.0  3.0 3.3 3.9  0.7T6hr  OFF  OFF  -66.16 -62.91  UNIFRM   NA   -3.4   11.47   79.33  FCST   GOES13 14.4 
2016NOV21 201500  3.1 1000.6  47.0  3.1 3.3 4.0  0.7T6hr  OFF  OFF  -70.56 -64.29  UNIFRM   NA   -3.4   11.31   79.20  FCST   GOES13 14.1 
2016NOV21 204500  3.2  999.4  49.0  3.2 3.4 3.9  0.7T6hr  OFF  OFF  -70.06 -64.22  UNIFRM   NA   -3.4   11.30   79.20  FCST   GOES13 14.1 
2016NOV21 211500  3.2  999.4  49.0  3.2 3.4 3.9  0.7T6hr  OFF  OFF  -68.76 -63.15  UNIFRM   NA   -3.4   11.30   79.20  FCST   GOES13 14.1 
2016NOV21 214500  3.3  998.1  51.0  3.3 3.5 3.8  0.7T6hr  OFF  OFF  -65.36 -60.84  UNIFRM   NA   -3.4   11.29   79.21  FCST   GOES13 14.1 
2016NOV21 221500  3.3  998.1  51.0  3.3 3.5 3.8  0.7T6hr  OFF  OFF  -56.06 -60.82  UNIFRM   NA   -3.4   11.28   79.21  FCST   GOES13 14.1 
2016NOV21 224500  3.4  996.9  53.0  3.4 3.5 4.0  0.7T6hr  OFF  OFF  -58.56 -61.38  UNIFRM   NA   -3.4   11.27   79.22  FCST   GOES13 14.1 
2016NOV21 231500  3.4  996.9  53.0  3.4 3.5 4.0  0.7T6hr  OFF  OFF  -66.56 -61.95  UNIFRM   NA   -6.4   11.26   79.23  FCST   GOES13 14.1 
2016NOV21 234500  3.4  996.9  53.0  3.4 3.5 4.0  0.7T6hr  OFF  OFF  -68.36 -62.21  UNIFRM   NA   -7.3   11.25   79.24  FCST   GOES13 14.1 
2016NOV22 001500  3.5  995.6  55.0  3.5 3.6 3.8  0.7T6hr  OFF  OFF  -64.56 -61.25  UNIFRM   NA   -7.3   11.24   79.25  FCST   GOES13 14.1 
2016NOV22 004500  3.5  995.6  55.0  3.5 3.6 3.9  0.7T6hr  OFF  OFF  -62.96 -61.83  UNIFRM   NA   -7.3   11.23   79.26  FCST   GOES13 14.1 
2016NOV22 011500  3.5  995.6  55.0  3.5 3.7 3.9  0.7T6hr  OFF  OFF  -62.96 -62.15  UNIFRM   NA   -7.3   11.21   79.27  FCST   GOES13 14.0 
2016NOV22 014500  3.5  995.6  55.0  3.5 3.7 3.8  0.7T6hr  OFF  OFF  -64.16 -62.33  UNIFRM   NA   -7.3   11.20   79.28  FCST   GOES13 14.0 
2016NOV22 021500  3.5  995.8  55.0  3.5 3.1 3.1  none  OFF  OFF  -67.86 -51.22  RCDO   NA   -7.3   10.90   79.10  FCST   GOES13 13.6 
2016NOV22 024500  3.5  995.8  55.0  3.4 3.1 3.1  none   ON  OFF  -62.16 -49.55  RCDO   NA   -7.3   10.90   79.10  FCST   GOES13 13.6 
2016NOV22 031500  3.5  995.8  55.0  3.3 3.1 3.1  none   ON  OFF  -61.86 -49.05  RCDO   NA   -7.3   10.90   79.10  FCST   GOES13 13.6 
2016NOV22 034500  3.5  995.8  55.0  3.3 3.1 3.1  none   ON  OFF  -69.16 -48.98  RCDO   NA   -7.3   10.89   79.11  FCST   GOES13 13.6 
2016NOV22 041500  3.5  995.8  55.0  3.2 3.0 3.0  none   ON  FLG  -74.36 -51.11  UNIFRM   NA   -7.3   10.89   79.11  FCST   GOES13 13.6 
2016NOV22 044500  3.5  995.8  55.0  3.1 3.2 3.2  none   ON  FLG  -74.86 -54.55  UNIFRM   NA   -7.3   10.88   79.12  FCST   GOES13 13.6 
2016NOV22 051500  3.5  995.8  55.0  3.1 3.4 3.4  none   ON  FLG  -74.86 -57.19  UNIFRM   NA   -7.3   10.88   79.13  FCST   GOES13 13.6 
2016NOV22 054500  3.5  995.8  55.0  3.2 3.6 3.8  0.5Thour  ON  OFF  -72.96 -61.92  UNIFRM   NA   -7.3   10.87   79.14  FCST   GOES13 13.6 
2016NOV22 061500  3.5  995.8  55.0  3.2 3.6 4.0  0.5Thour  ON  OFF  -71.46 -63.28  UNIFRM   NA   -7.3   10.87   79.15  FCST   GOES13 13.6 
2016NOV22 064500  3.5  995.8  55.0  3.3 3.7 4.0  0.5Thour  ON  OFF  -68.36 -62.67  UNIFRM   NA   -7.3   10.86   79.16  FCST   GOES13 13.6 
2016NOV22 071500  3.5  995.8  55.0  3.5 3.7 4.0  0.5Thour OFF  OFF  -63.76 -60.76  UNIFRM   NA  -18.7   10.85   79.17  FCST   GOES13 13.6 
2016NOV22 074500  3.5  995.8  55.0  3.5 3.8 3.8  none  OFF  OFF  -45.16 -59.91  UNIFRM   NA  -18.7   10.85   79.18  FCST   GOES13 13.6 
2016NOV22 081500  3.6  994.5  57.0  3.6 3.5 3.5  none  OFF  OFF  -70.06 -56.68  UNIFRM   NA  -18.7   10.70   79.00  FCST   GOES13 13.4 
2016NOV22 084500  3.6  994.5  57.0  3.6 3.5 3.5  none  OFF  OFF  -73.86 -62.46  UNIFRM   NA  -18.7   10.70   79.00  FCST   GOES13 13.4 
2016NOV22 091500  3.6  994.5  57.0  3.6 3.6 3.6  none  OFF  OFF  -73.86 -67.24  UNIFRM   NA  -18.7   10.70   79.00  FCST   GOES13 13.4 
2016NOV22 094500  3.6  994.5  57.0  3.6 3.8 3.8  none  OFF  OFF  -73.36 -72.17  UNIFRM   NA  -18.7   10.70   79.00  FCST   GOES13 13.4 
