=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2017SEP05 201500  2.0 1009.3  30.0  2.0 2.0 2.0  none  OFF  OFF  -73.36 -72.58  UNIFRM   NA    NA   22.40   96.73  FCST   GOES13 35.8 
2017SEP05 204500  2.1 1008.7  31.0  2.1 2.2 3.2  0.2Thour OFF  OFF  -73.86 -72.32  UNIFRM   NA    NA   22.40   96.71  FCST   GOES13 35.8 
2017SEP05 211500  2.1 1008.7  31.0  2.1 2.2 3.4  0.2Thour OFF  OFF  -73.36 -70.99  UNIFRM   NA    NA   22.40   96.69  FCST   GOES13 35.8 
2017SEP05 214500  2.2 1008.2  32.0  2.2 2.4 3.3  0.2Thour OFF  OFF  -71.06 -69.06  UNIFRM   NA    NA   22.40   96.67  FCST   GOES13 35.8 
2017SEP05 221500  2.2 1008.2  32.0  2.2 2.4 3.4  0.2Thour OFF  OFF  -69.16 -66.80  UNIFRM   NA    NA   22.40   96.65  FCST   GOES13 35.8 
2017SEP05 224500  2.3 1007.6  33.0  2.3 2.6 3.3  0.2Thour OFF  OFF  -66.56 -64.76  UNIFRM   NA    NA   22.40   96.63  FCST   GOES13 35.8 
2017SEP05 231500  2.3 1007.6  33.0  2.3 2.6 3.3  0.2Thour OFF  OFF  -63.76 -63.10  UNIFRM   NA    NA   22.40   96.61  FCST   GOES13 35.8 
2017SEP05 234500  2.4 1007.0  34.0  2.4 2.8 3.2  0.2Thour OFF  OFF  -60.36 -61.12  UNIFRM   NA    NA   22.41   96.59  FCST   GOES13 35.7 
2017SEP06 001500  2.5 1006.5  35.0  2.5 2.8 3.1  0.2Thour OFF  OFF  -56.46 -59.38  UNIFRM   NA   -8.9   22.41   96.57  FCST   GOES13 35.7 
2017SEP06 004500  2.6 1005.3  37.0  2.6 3.0 3.0  none  OFF  OFF  -64.16 -58.03  UNIFRM   NA   -9.7   22.41   96.55  FCST   GOES13 35.7 
2017SEP06 011500  2.7 1004.1  39.0  2.7 2.9 2.9  none  OFF  OFF  -72.46 -58.80  UNIFRM   NA   -9.7   22.41   96.53  FCST   GOES13 35.7 
2017SEP06 014500  2.8 1002.9  41.0  2.8 2.9 2.9  none  OFF  OFF  -72.96 -60.98  UNIFRM   NA   -9.7   22.41   96.51  FCST   GOES13 35.7 
2017SEP06 021500  2.8 1003.0  41.0  2.8 3.0 3.0  none  OFF  OFF  -63.36 -62.24  UNIFRM   NA   -9.7   22.22   96.44  FCST   GOES13 35.5 
2017SEP06 024500  2.9 1001.8  43.0  2.9 2.8 3.0  0.7T6hr  OFF  OFF  -74.36 -62.56  UNIFRM   NA   -9.7   22.21   96.41  FCST   GOES13 35.5 
2017SEP06 031500  2.9 1001.8  43.0  2.9 2.8 3.3  0.7T6hr  OFF  OFF  -74.36 -65.53  UNIFRM   NA   -9.7   22.19   96.39  FCST   GOES13 35.4 
2017SEP06 034500  2.9 1001.8  43.0  2.9 2.9 3.8  0.7T6hr  OFF  OFF  -76.96 -73.60  UNIFRM   NA   -9.7   22.18   96.36  FCST   GOES13 35.4 
2017SEP06 041500  2.9 1001.8  43.0  2.8 2.9 4.1  0.7T6hr   ON  OFF  -78.06 -76.77  UNIFRM   NA   -9.7   22.18   96.33  FCST   GOES13 35.4 
2017SEP06 044500  2.9 1001.8  43.0  2.9 3.0 4.3  0.7T6hr  OFF  OFF  -76.96 -76.88  UNIFRM   NA   -9.7   22.17   96.31  FCST   GOES13 35.3 
2017SEP06 051500  2.9 1001.8  43.0  2.9 3.0 4.4  0.7T6hr  OFF  OFF  -76.46 -75.63  UNIFRM   NA   -9.7   22.16   96.28  FCST   GOES13 35.3 
2017SEP06 054500  2.9 1001.8  43.0  2.9 3.1 4.4  0.7T6hr  OFF  OFF  -74.86 -76.18  UNIFRM   NA   -9.7   22.15   96.26  FCST   GOES13 35.3 
2017SEP06 061500  2.9 1001.8  43.0  2.9 3.2 4.4  0.7T6hr  OFF  OFF  -75.46 -76.45  UNIFRM   NA   -9.7   22.15   96.23  FCST   GOES13 35.3 
2017SEP06 064500  3.0 1000.6  45.0  3.0 3.3 4.4  0.7T6hr  OFF  OFF  -76.96 -76.69  UNIFRM   NA   -9.7   22.14   96.21  FCST   GOES13 35.2 
2017SEP06 071500  3.1  999.4  47.0  3.1 3.4 4.5  0.7T6hr  OFF  OFF  -76.96 -76.56  UNIFRM   NA   -9.7   22.14   96.19  FCST   GOES13 35.2 
2017SEP06 074500  3.2  998.1  49.0  3.2 3.5 4.5  0.7T6hr  OFF  OFF  -76.96 -76.32  UNIFRM   NA   -9.7   22.14   96.17  FCST   GOES13 35.2 
2017SEP06 081500  3.2  998.2  49.0  3.2 3.5 4.4  0.7T6hr  OFF  OFF  -76.96 -75.57  UNIFRM   NA   -9.7   22.12   96.32  FCST   GOES13 35.3 
2017SEP06 084500  3.4  995.6  53.0  3.4 3.6 4.4  0.7T6hr  OFF  OFF  -76.46 -75.05  UNIFRM   NA   -9.7   22.11   96.31  FCST   GOES13 35.3 
2017SEP06 091500  3.4  995.6  53.0  3.4 3.6 4.4  0.7T6hr  OFF  OFF  -76.46 -74.63  UNIFRM   NA   -9.7   22.09   96.29  FCST   GOES13 35.3 
2017SEP06 094500  3.5  994.4  55.0  3.5 3.6 4.4  0.7T6hr  OFF  OFF  -78.06 -75.52  UNIFRM   NA   -4.2   22.08   96.28  FCST   GOES13 35.2 
2017SEP06 101500  3.5  994.4  55.0  3.5 3.5 4.4  0.7T6hr  OFF  OFF  -78.66 -76.15  UNIFRM   NA   -4.2   22.07   96.26  FCST   GOES13 35.2 
2017SEP06 104500  3.5  994.4  55.0  3.5 3.6 4.4  0.7T6hr  OFF  OFF  -76.46 -75.51  UNIFRM   NA   -4.2   22.05   96.24  FCST   GOES13 35.2 
2017SEP06 111500  3.5  994.4  55.0  3.5 3.6 4.3  0.7T6hr  OFF  OFF  -77.56 -75.15  UNIFRM   NA   -4.2   22.04   96.23  FCST   GOES13 35.2 
2017SEP06 114500  3.5  994.4  55.0  3.5 3.6 4.3  0.7T6hr  OFF  OFF  -76.46 -74.06  UNIFRM   NA   -4.2   22.03   96.21  FCST   GOES13 35.2 
2017SEP06 121500  3.5  994.4  55.0  3.5 3.6 4.3  0.7T6hr  OFF  OFF  -72.96 -72.58  UNIFRM   NA   -4.2   22.02   96.19  FCST   GOES13 35.1 
2017SEP06 124500  3.6  993.1  57.0  3.6 3.7 4.3  0.7T6hr  OFF  OFF  -73.36 -70.97  UNIFRM   NA   -4.2   22.01   96.18  FCST   GOES13 35.1 
2017SEP06 131500  3.6  993.1  57.0  3.6 3.8 4.3  0.7T6hr  OFF  OFF  -70.56 -68.95  UNIFRM   NA   -0.0   22.00   96.16  FCST   GOES13 35.1 
2017SEP06 134500  3.7  991.8  59.0  3.7 3.9 4.2  0.7T6hr  OFF  OFF  -68.76 -66.70  UNIFRM   NA   -0.0   21.99   96.14  FCST   GOES13 35.1 
2017SEP06 141500  3.7  991.9  59.0  3.7 3.9 4.1  0.7T6hr  OFF  OFF  -71.46 -64.68  UNIFRM   NA   -0.0   21.72   95.95  FCST   GOES13 34.7 
2017SEP06 144500  3.7  991.9  59.0  3.7 4.0 4.0  none  OFF  OFF  -73.86 -63.41  UNIFRM   NA   -0.0   21.71   95.92  FCST   GOES13 34.7 
2017SEP06 151500  3.8  990.6  61.0  3.8 4.0 4.0  none  OFF  OFF  -72.46 -62.16  UNIFRM   NA   -0.0   21.69   95.88  FCST   GOES13 34.6 
2017SEP06 154500  3.8  990.6  61.0  3.8 3.9 3.9  none  OFF  OFF  -71.06 -60.79  UNIFRM   NA   -0.0   21.68   95.85  FCST   GOES13 34.6 
2017SEP06 161500  3.9  989.3  63.0  3.9 4.0 4.0  none  OFF  OFF  -70.06 -60.56  UNIFRM   NA   -0.0   21.66   95.82  FCST   GOES13 34.6 
2017SEP06 164500  3.9  989.3  63.0  3.9 3.9 3.9  none  OFF  OFF  -67.46 -60.07  UNIFRM   NA   -0.0   21.64   95.79  FCST   GOES13 34.5 
2017SEP06 171500  3.9  989.3  63.0  3.9 3.9 3.9  none  OFF  OFF  -66.16 -59.98  UNIFRM   NA   -0.0   21.63   95.76  FCST   GOES13 34.5 
2017SEP06 174500  3.9  989.3  63.0  3.9 4.0 4.0  none  OFF  OFF  -65.36 -61.32  UNIFRM   NA   -0.0   21.61   95.73  FCST   GOES13 34.5 
2017SEP06 181500  3.9  989.3  63.0  3.9 4.0 4.0  none  OFF  OFF  -64.16 -62.01  UNIFRM   NA   -0.0   21.59   95.70  FCST   GOES13 34.4 
2017SEP06 184500  3.9  989.3  63.0  3.9 4.1 4.1  none  OFF  OFF  -62.56 -63.45  UNIFRM   NA   -0.0   21.58   95.67  FCST   GOES13 34.4 
