=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2019JUL28 140000  2.0 1011.0  30.0  2.0 2.0 2.0  none  OFF  OFF   -7.66 -32.65  CRVBND   NA   -2.6   11.13  107.17  FCST   GOES15 27.5 
2019JUL28 143000  2.1 1011.0  31.0  2.1 2.2 2.2  none  OFF  OFF   -4.86 -33.85  CRVBND   NA   -4.4   11.16  107.33  FCST   GOES15 27.3 
2019JUL28 150000  2.1 1011.0  31.0  2.1 2.2 2.3  0.2Thour OFF  OFF    3.84 -35.60  CRVBND   NA   -4.4   11.23  107.47  FCST   GOES15 27.2 
2019JUL28 153000  2.1 1011.0  31.0  2.1 2.0 2.0  none  OFF  OFF  -10.66 -35.89  CRVBND   NA   -4.4   11.26  107.64  FCST   GOES15 27.1 
2019JUL28 160000  2.1 1011.0  31.0  2.0 2.0 2.0  none   ON  OFF  -22.36 -37.30  CRVBND   NA   -4.4   11.30  107.80  FCST   GOES15 26.9 
2019JUL28 163000  2.1 1011.0  31.0  2.1 2.2 2.3  0.2Thour OFF  OFF  -27.96 -43.03  CRVBND   NA   -4.4   11.34  107.96  FCST   GOES15 26.8 
2019JUL28 170000  2.1 1011.0  31.0  2.1 2.2 2.9  0.2Thour OFF  OFF  -31.06 -49.23  CRVBND   NA   -4.4   11.37  108.13  FCST   GOES15 26.6 
2019JUL28 173000  2.1 1011.0  31.0  2.1 2.4 3.1  0.2Thour OFF  OFF  -46.36 -51.81  CRVBND   NA   -4.4   11.41  108.29  FCST   GOES15 26.5 
2019JUL28 180000  2.2 1011.0  32.0  2.2 2.4 3.0  0.2Thour OFF  OFF  -43.86 -52.98  CRVBND   NA   -4.4   11.44  108.46  FCST   GOES15 26.3 
2019JUL28 183000  2.2 1011.0  32.0  2.2 2.6 2.9  0.2Thour OFF  OFF  -40.96 -53.46  CRVBND   NA   -4.4   11.48  108.62  FCST   GOES15 26.2 
2019JUL28 190000  2.3 1011.9  33.0  2.3 2.5 2.5  none  OFF  OFF  -36.26 -52.82  CRVBND   NA   -4.4   11.51  108.79  FCST   GOES15 26.0 
2019JUL28 193000  2.4 1011.3  34.0  2.4 2.8 2.8  none  OFF  OFF  -45.26 -51.24  CRVBND   NA   -4.4   11.54  108.95  FCST   GOES15 25.9 
2019JUL28 200000  2.5 1010.7  35.0  2.5 2.7 2.7  none  OFF  OFF  -48.06 -49.88  CRVBND   NA   -4.4   11.57  109.12  FCST   GOES15 25.8 
2019JUL28 203000  2.5 1010.7  35.0  2.5 2.2 2.2  none  OFF  OFF  -44.96 -49.46  CRVBND   NA   -4.4   11.61  109.28  FCST   GOES15 25.6 
2019JUL28 210000  2.5 1010.7  35.0  2.4 2.2 2.2  none   ON  OFF  -42.56 -49.18  CRVBND   NA   -1.8   11.64  109.44  FCST   GOES15 25.5 
2019JUL28 213000  2.5 1010.6  35.0  2.4 2.4 2.4  none   ON  OFF  -42.86 -48.40  CRVBND   NA   -1.8   11.67  109.60  FCST   GOES15 25.3 
2019JUL28 220000  2.5 1010.6  35.0  2.4 2.3 2.3  none   ON  OFF  -40.46 -47.46  CRVBND   NA   -1.8   11.69  109.76  FCST   GOES15 25.2 
2019JUL28 223000  2.5 1010.6  35.0  2.4 2.3 2.3  none   ON  OFF  -36.56 -47.19  CRVBND   NA   -5.3   11.72  109.93  FCST   GOES15 25.1 
2019JUL28 230000  2.5 1010.6  35.0  2.3 2.3 2.3  none   ON  OFF  -36.56 -46.61  CRVBND   NA   -5.3   11.75  110.08  FCST   GOES15 24.9 
2019JUL28 233000  2.5 1010.6  35.0  2.2 2.0 2.0  none   ON  FLG  -34.86 -45.18  CRVBND   NA   -5.3   11.78  110.24  FCST   GOES15 24.8 
2019JUL29 000000  2.5 1010.6  35.0  2.3 2.7 2.7  none   ON  OFF  -35.06 -43.55  CRVBND   NA   -5.3   11.80  110.40  FCST   GOES15 24.7 
2019JUL29 003000  2.5 1010.6  35.0  2.3 2.2 2.2  none   ON  OFF  -34.86 -42.09  CRVBND   NA   -5.3   11.82  110.56  FCST   GOES15 24.5 
2019JUL29 010000  2.5 1010.6  35.0  2.2 2.1 2.1  none   ON  FLG  -31.06 -41.33  CRVBND   NA   -5.3   11.85  110.71  FCST   GOES15 24.4 
2019JUL29 013000  2.5 1010.5  35.0  2.3 2.8 3.0  0.5Thour  ON  OFF  -25.56 -42.77  CRVBND   NA   -5.3   11.87  110.87  FCST   GOES15 24.3 
2019JUL29 020000  2.5 1010.5  35.0  2.3 2.2 2.2  none   ON  OFF  -36.76 -45.51  CRVBND   NA   -5.3   11.89  111.02  FCST   GOES15 24.1 
2019JUL29 023000  2.5 1010.5  35.0  2.4 2.8 2.8  none   ON  OFF  -44.46 -47.49  CRVBND   NA   -5.3   11.91  111.17  FCST   GOES15 24.0 
2019JUL29 030000  2.5 1010.5  35.0  2.5 2.8 3.6  0.5Thour OFF  OFF  -53.96 -50.18  CRVBND   NA   -5.3   11.93  111.32  FCST   GOES15 23.9 
2019JUL29 033000  2.5 1010.3  35.0  2.5 2.6 2.6  none  OFF  OFF  -60.86 -48.55  UNIFRM   NA   -5.3   12.28  111.15  FCST   GOES15 24.3 
2019JUL29 040000  2.6 1009.2  37.0  2.6 2.7 2.7  none  OFF  OFF  -73.06 -51.23  UNIFRM   NA   -5.3   12.30  111.30  FCST   GOES15 24.1 
2019JUL29 043000  2.6 1009.2  37.0  2.6 2.8 2.8  none  OFF  OFF  -74.06 -57.35  UNIFRM   NA   -5.3   12.32  111.45  FCST   GOES15 24.0 
2019JUL29 050000  2.7 1008.0  39.0  2.7 3.0 3.0  none  OFF  OFF  -73.56 -61.85  UNIFRM   NA   -5.3   12.35  111.60  FCST   GOES15 23.9 
2019JUL29 053000  2.8 1006.8  41.0  2.8 2.9 3.3  0.7T6hr  OFF  OFF  -71.66 -65.71  UNIFRM   NA   -5.3   12.37  111.76  FCST   GOES15 23.8 
2019JUL29 060000  2.8 1006.8  41.0  2.8 3.0 3.4  0.7T6hr  OFF  OFF  -72.06 -67.11  UNIFRM   NA   -5.3   12.39  111.91  FCST   GOES15 23.6 
2019JUL29 063000  2.9 1005.5  43.0  2.9 3.0 3.5  0.7T6hr  OFF  OFF  -69.76 -67.26  UNIFRM   NA   -5.3   12.42  112.06  FCST   GOES15 23.5 
2019JUL29 070000  2.9 1005.5  43.0  2.9 2.9 3.6  0.7T6hr  OFF  OFF  -68.86 -66.86  UNIFRM   NA   -5.3   12.44  112.21  FCST   GOES15 23.4 
2019JUL29 073000  2.9 1005.5  43.0  2.9 3.0 3.7  0.7T6hr  OFF  OFF  -67.16 -67.45  UNIFRM   NA   -5.3   12.46  112.37  FCST   GOES15 23.3 
2019JUL29 080000  2.9 1005.5  43.0  2.9 3.0 3.7  0.7T6hr  OFF  OFF  -62.76 -66.08  UNIFRM   NA   -5.3   12.48  112.52  FCST   GOES15 23.2 
2019JUL29 083000  2.9 1005.5  43.0  2.9 3.1 3.7  0.7T6hr  OFF  OFF  -72.06 -64.55  UNIFRM   NA   -5.3   12.50  112.67  FCST   GOES15 23.0 
2019JUL29 090000  3.0 1004.3  45.0  3.0 3.2 3.8  0.7T6hr  OFF  OFF  -74.56 -63.68  UNIFRM   NA   -5.3   12.51  112.82  FCST   GOES15 22.9 
2019JUL29 093000  3.0 1004.3  45.0  3.0 3.2 3.8  0.7T6hr  OFF  OFF  -75.56 -63.30  UNIFRM   NA   -5.3   12.53  112.97  FCST   GOES15 22.8 
2019JUL29 100000  3.1 1002.0  47.0  3.1 3.3 3.7  0.7T6hr  OFF  OFF  -71.16 -64.69  UNIFRM   NA   -4.1   12.60  113.40  FCST   GOES15 22.5 
2019JUL29 103000  3.1 1002.0  47.0  3.1 3.3 3.8  0.7T6hr  OFF  OFF  -74.56 -67.16  UNIFRM   NA   -4.1   12.61  113.54  FCST   GOES15 22.3 
2019JUL29 110000  3.2 1000.7  49.0  3.2 3.4 3.8  0.7T6hr  OFF  OFF  -73.06 -69.15  UNIFRM   NA   -0.0   12.62  113.68  FCST   GOES15 22.2 
2019JUL29 113000  3.2 1000.7  49.0  3.2 3.5 3.9  0.7T6hr  OFF  OFF  -73.56 -71.23  UNIFRM   NA   -0.0   12.63  113.82  FCST   GOES15 22.1 
2019JUL29 120000  3.3  999.5  51.0  3.3 3.5 4.0  0.7T6hr  OFF  OFF  -73.56 -72.00  UNIFRM   NA   -0.0   12.64  113.96  FCST   GOES15 22.0 
2019JUL29 123000  3.4  998.2  53.0  3.4 3.6 4.0  0.7T6hr  OFF  OFF  -70.26 -71.02  UNIFRM   NA   -0.0   12.65  114.10  FCST   GOES15 21.9 
2019JUL29 130000  3.4  998.2  53.0  3.4 3.6 4.1  0.7T6hr  OFF  OFF  -65.06 -70.91  UNIFRM   NA   -0.0   12.66  114.24  FCST   GOES15 21.8 
2019JUL29 133000  3.5  996.9  55.0  3.5 3.6 4.0  0.7T6hr  OFF  OFF  -63.16 -69.93  UNIFRM   NA   -0.0   12.66  114.38  FCST   GOES15 21.7 
2019JUL29 140000  3.5  996.9  55.0  3.5 3.6 4.0  0.7T6hr  OFF  OFF  -60.86 -68.64  UNIFRM   NA   -0.0   12.67  114.51  FCST   GOES15 21.6 
2019JUL29 143000  3.5  996.9  55.0  3.5 3.6 3.9  0.7T6hr  OFF  OFF  -60.86 -67.36  UNIFRM   NA   -0.0   12.68  114.65  FCST   GOES15 21.5 
2019JUL29 150000  3.6  995.6  57.0  3.6 3.7 3.7  none  OFF  OFF  -65.96 -65.59  UNIFRM   NA   -0.0   12.68  114.79  FCST   GOES15 21.3 
2019JUL29 153000  3.6  995.6  57.0  3.6 3.6 3.6  none  OFF  OFF  -69.36 -64.24  UNIFRM   NA   -0.0   12.69  114.93  FCST   GOES15 21.2 
2019JUL29 160000  3.6  993.7  57.0  3.6 3.5 3.5  none  OFF  OFF  -68.86 -64.00  UNIFRM   NA   -0.0   12.50  114.80  FCST   GOES15 21.2 
2019JUL29 163000  3.6  993.7  57.0  3.5 3.5 3.5  none   ON  OFF  -65.96 -64.65  UNIFRM   NA   -0.0   12.50  114.93  FCST   GOES15 21.1 
2019JUL29 170000  3.6  993.7  57.0  3.5 3.5 3.5  none   ON  OFF  -66.76 -64.27  UNIFRM   NA   -0.0   12.49  115.06  FCST   GOES15 21.0 
2019JUL29 173000  3.6  993.7  57.0  3.5 3.5 3.5  none   ON  OFF  -64.66 -64.15  UNIFRM   NA   -0.0   12.49  115.20  FCST   GOES15 20.9 
2019JUL29 180000  3.6  993.7  57.0  3.5 3.5 3.5  none   ON  OFF  -65.06 -62.97  UNIFRM   NA   -0.0   12.48  115.33  FCST   GOES15 20.7 
2019JUL29 183000  3.6  993.7  57.0  3.5 3.5 3.5  none   ON  OFF  -64.66 -62.81  UNIFRM   NA   -0.0   12.48  115.46  FCST   GOES15 20.6 
2019JUL29 190000  3.6  993.7  57.0  3.4 3.4 3.4  none   ON  OFF  -63.46 -61.17  UNIFRM   NA   -0.0   12.47  115.60  FCST   GOES15 20.5 
2019JUL29 193000  3.6  993.7  57.0  3.4 3.3 3.3  none   ON  OFF  -61.56 -60.42  UNIFRM   NA   -0.0   12.47  115.73  FCST   GOES15 20.4 
2019JUL29 200000  3.6  993.7  57.0  3.4 3.3 3.3  none   ON  OFF  -56.96 -60.88  UNIFRM   NA   -0.0   12.46  115.86  FCST   GOES15 20.3 
2019JUL29 203000  3.6  993.7  57.0  3.4 3.3 3.3  none   ON  OFF  -59.06 -61.66  UNIFRM   NA   -0.0   12.45  116.00  FCST   GOES15 20.2 
2019JUL29 210000  3.6  993.7  57.0  3.4 3.5 3.5  none   ON  OFF  -71.66 -61.12  RCDO   NA   -0.0   12.45  116.13  FCST   GOES15 20.1 
2019JUL29 213000  3.6  995.7  57.0  3.3 3.4 3.4  none   ON  OFF  -74.06 -64.73  UNIFRM   NA   -0.0   12.50  116.28  FCST   GOES15 20.0 
2019JUL29 220000  3.6  995.7  57.0  3.3 3.5 3.5  none   ON  OFF  -76.66 -66.37  UNIFRM   NA   -0.0   12.50  116.40  FCST   GOES15 19.9 
2019JUL29 223000  3.5  997.0  55.0  3.4 3.8 3.8  none   ON  OFF  -76.06 -70.80  UNIFRM   NA   -0.0   12.49  116.52  FCST   GOES15 19.8 
2019JUL29 230000  3.5  997.0  55.0  3.5 3.8 4.1  0.5Thour OFF  OFF  -75.56 -72.82  UNIFRM   NA   -0.0   12.49  116.64  FCST   GOES15 19.7 
2019JUL29 233000  3.6  995.7  57.0  3.6 3.9 4.2  0.5Thour OFF  OFF  -75.06 -72.73  UNIFRM   NA   -0.0   12.48  116.76  FCST   GOES15 19.6 
2019JUL30 000000  3.7  994.4  59.0  3.7 4.0 4.3  0.5Thour OFF  OFF  -75.56 -71.78  UNIFRM   NA   -0.0   12.48  116.88  FCST   GOES15 19.5 
2019JUL30 003000  3.8  993.1  61.0  3.8 4.1 4.2  0.5Thour OFF  OFF  -74.06 -70.08  UNIFRM   NA   -0.0   12.47  117.00  FCST   GOES15 19.4 
2019JUL30 010000  3.8  993.1  61.0  3.8 4.1 4.2  0.7T6hr  OFF  OFF  -71.66 -68.28  UNIFRM   NA   -0.9   12.46  117.12  FCST   GOES15 19.3 
2019JUL30 013000  3.9  991.7  63.0  3.9 3.9 3.9  none  OFF  OFF  -68.06 -66.35  UNIFRM   NA   -0.9   12.45  117.24  FCST   GOES15 19.2 
2019JUL30 020000  3.9  991.7  63.0  3.9 3.8 3.8  none  OFF  OFF  -67.16 -64.51  UNIFRM   NA   -0.9   12.45  117.36  FCST   GOES15 19.1 
2019JUL30 023000  3.9  991.7  63.0  3.9 3.7 3.7  none  OFF  OFF  -62.76 -62.41  UNIFRM   NA   -0.9   12.44  117.48  FCST   GOES15 19.0 
2019JUL30 030000  3.9  991.8  63.0  3.8 3.6 3.6  none   ON  OFF  -55.56 -62.20  UNIFRM   NA    4.8   12.30  117.77  FCST   GOES15 18.7 
2019JUL30 033000  3.9  991.8  63.0  3.8 3.5 3.5  none   ON  OFF  -56.26 -60.92  UNIFRM   NA    4.8   12.30  117.88  FCST   GOES15 18.6 
2019JUL30 040000  3.9  991.8  63.0  3.6 3.5 3.5  none   ON  OFF  -65.46 -60.11  UNIFRM   NA    4.8   12.30  118.00  FCST   GOES15 18.5 
2019JUL30 043000  3.9  991.8  63.0  3.6 3.4 3.4  none   ON  FLG  -60.86 -59.18  UNIFRM   NA    4.8   12.30  118.12  FCST   GOES15 18.4 
2019JUL30 050000  3.9  991.8  63.0  3.5 3.4 3.4  none   ON  FLG  -56.56 -58.00  UNIFRM   NA    4.8   12.30  118.24  FCST   GOES15 18.3 
2019JUL30 053000  3.9  991.8  63.0  3.4 3.4 3.4  none   ON  FLG  -47.56 -57.39  UNIFRM   NA    4.8   12.31  118.36  FCST   GOES15 18.3 
2019JUL30 060000  3.9  991.8  63.0  3.4 3.3 3.3  none   ON  FLG  -39.26 -54.98  UNIFRM   NA    4.8   12.31  118.48  FCST   GOES15 18.2 
2019JUL30 063000  3.9  991.8  63.0  3.3 3.2 3.2  none   ON  FLG  -25.76 -54.15  CRVBND   NA    4.8   12.32  118.60  FCST   GOES15 18.1 
2019JUL30 070000  3.9  991.8  63.0  3.3 3.1 2.8  0.7T6hr   ON  FLG  -30.56 -52.78  CRVBND   NA    4.8   12.32  118.72  FCST   GOES15 18.0 
2019JUL30 073000  3.9  991.8  63.0  3.2 3.2 2.5  0.7T6hr   ON  FLG  -28.86 -51.14  CRVBND   NA    4.8   12.33  118.84  FCST   GOES15 17.9 
2019JUL30 080000  3.9  991.8  63.0  3.2 3.2 2.8  0.7T6hr   ON  FLG  -65.06 -50.24  UNIFRM   NA    4.8   12.33  118.96  FCST   GOES15 17.9 
2019JUL30 083000  3.9  991.8  63.0  3.2 3.2 3.0  0.7T6hr   ON  FLG  -71.16 -53.53  UNIFRM   NA    4.8   12.34  119.08  FCST   GOES15 17.8 
2019JUL30 090000  3.8  993.1  61.0  3.2 3.3 3.3  none   ON  FLG  -68.46 -59.32  UNIFRM   NA    4.8   12.35  119.19  FCST   GOES15 17.7 
2019JUL30 093000  3.8  993.2  61.0  3.2 3.5 3.5  none   ON  OFF  -68.46 -63.79  UNIFRM   NA    4.8   12.19  119.39  FCST   GOES15 17.4 
2019JUL30 100000  3.6  995.8  57.0  3.3 3.7 3.7  none   ON  OFF  -71.66 -63.98  UNIFRM   NA    4.8   12.20  119.50  FCST   GOES15 17.4 
2019JUL30 103000  3.6  995.8  57.0  3.3 3.6 3.6  none   ON  OFF  -71.16 -63.67  UNIFRM   NA    4.8   12.21  119.61  FCST   GOES15 17.3 
2019JUL30 110000  3.5  997.1  55.0  3.4 3.7 3.7  none   ON  OFF  -71.66 -65.15  UNIFRM   NA    4.8   12.21  119.73  FCST   GOES15 17.2 
