=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2020JUL20 080000  2.0 1010.5  30.0  2.0 2.0 2.0  none  OFF  OFF   -4.66 -30.89  CRVBND   NA    NA   17.91  129.16  FCST   GOES17 21.0 
2020JUL20 083000  2.0 1010.5  30.0  2.0 2.0 2.0  none  OFF  OFF   -1.66 -30.47  CRVBND   NA    NA   17.95  129.23  FCST   GOES17 21.1 
2020JUL20 090000  2.0 1010.4  30.0  2.0 2.2 2.3  0.2Thour OFF  OFF   -7.16 -30.52  CRVBND   NA    NA   18.00  129.30  FCST   GOES17 21.1 
2020JUL20 093000  2.1 1009.8  31.0  2.1 2.2 2.2  none  OFF  OFF  -17.16 -30.41  CRVBND   NA    NA   18.05  129.37  FCST   GOES17 21.2 
2020JUL20 100000  2.1 1009.8  31.0  2.1 2.2 2.2  none  OFF  OFF  -13.16 -30.63  CRVBND   NA    NA   18.09  129.44  FCST   GOES17 21.2 
2020JUL20 103000  2.1 1009.8  31.0  2.1 2.1 2.1  none  OFF  OFF   -1.66 -32.74  CRVBND   NA    NA   18.13  129.52  FCST   GOES17 21.3 
2020JUL20 110000  2.1 1009.8  31.0  2.1 2.3 2.3  none  OFF  OFF    0.84 -34.06  CRVBND   NA    NA   18.18  129.59  FCST   GOES17 21.4 
2020JUL20 113000  2.1 1009.8  31.0  2.1 2.0 2.0  none  OFF  OFF    1.34 -33.83  CRVBND   NA    NA   18.22  129.67  FCST   GOES17 21.4 
2020JUL20 120000  2.1 1009.7  31.0  2.1 2.3 2.3  none  OFF  OFF   -1.66 -32.33  CRVBND   NA    NA   18.26  129.75  FCST   GOES17 21.5 
2020JUL20 123000  2.1 1011.7  31.0  2.1 2.0 2.0  none  OFF  OFF    1.84 -31.95  CRVBND   NA    NA   18.30  129.82  FCST   GOES17 21.5 
2020JUL20 130000  2.1 1011.7  31.0  2.1 2.3 2.3  none  OFF  OFF   -6.16 -32.26  CRVBND   NA    NA   18.34  129.90  FCST   GOES17 21.6 
2020JUL20 133000  2.1 1011.6  31.0  2.1 2.0 2.0  none  OFF  OFF   -9.16 -33.44  CRVBND   NA    NA   18.55  130.06  FCST   GOES17 21.8 
2020JUL20 140000  2.1 1011.6  31.0  2.1 2.1 2.1  none  OFF  OFF  -22.66 -33.49  CRVBND   NA    NA   18.60  130.14  FCST   GOES17 21.9 
2020JUL20 143000  2.1 1011.6  31.0  2.1 2.1 2.1  none  OFF  OFF  -14.16 -31.90  CRVBND   NA    NA   18.65  130.22  FCST   GOES17 22.0 
2020JUL20 150000  2.1 1011.5  31.0  2.1 2.2 2.2  none  OFF  OFF  -18.66 -30.96  CRVBND   NA    NA   18.70  130.30  FCST   GOES17 22.0 
2020JUL20 153000  2.1 1011.5  31.0  2.1 2.0 2.0  none  OFF  OFF  -27.16 -29.53  CRVBND   NA    NA   18.75  130.38  FCST   GOES17 22.1 
2020JUL20 160000  2.1 1011.5  31.0  2.1 2.6 2.6  none  OFF  OFF  -19.16 -26.42  CRVBND   NA    NA   18.79  130.46  FCST   GOES17 22.2 
2020JUL20 163000  2.1 1011.5  31.0  2.1 2.1 2.1  none  OFF  OFF  -15.66 -23.47  CRVBND   NA    NA   18.84  130.54  FCST   GOES17 22.2 
2020JUL20 170000  2.2 1010.9  32.0  2.2 2.3 2.3  none  OFF  OFF   -9.16 -20.78  CRVBND   NA    NA   18.88  130.61  FCST   GOES17 22.3 
2020JUL20 173000  2.2 1010.9  32.0  2.2 2.4 2.4  none  OFF  OFF    0.84 -19.71  CRVBND   NA    NA   18.93  130.69  FCST   GOES17 22.4 
2020JUL20 180000  2.2 1010.8  32.0  2.2 2.3 2.3  none  OFF  OFF    2.84 -18.28  CRVBND   NA    NA   18.97  130.77  FCST   GOES17 22.4 
2020JUL20 183000  2.2 1010.8  32.0  2.2 2.3 2.3  none  OFF  OFF    5.34 -16.85  CRVBND   NA    NA   19.01  130.84  FCST   GOES17 22.5 
2020JUL20 190000  2.3 1011.2  33.0  2.3 2.3 2.3  none  OFF  OFF    6.84 -16.32  CRVBND   NA    NA   19.05  130.92  FCST   GOES17 22.5 
2020JUL20 193000  2.3 1011.2  33.0  2.2 2.0 2.0  none   ON  OFF    9.34 -14.78  CRVBND   NA    NA   19.09  131.00  FCST   GOES17 22.6 
2020JUL20 195000  2.3 1011.2  33.0  2.3 2.5 2.5  none  OFF  OFF   12.34 -14.56  SHEAR    NA    NA   19.12  131.05  FCST   GOES17 22.6 
2020JUL20 203000  2.3 1011.3  33.0  2.3 2.5 2.5  none  OFF  OFF   12.34  -4.86  SHEAR    NA    NA   18.97  130.92  FCST   GOES17 22.4 
2020JUL20 210000  2.3 1011.2  33.0  2.3 2.5 2.5  none  OFF  OFF   13.84  -4.80  SHEAR    NA    NA   19.00  131.00  FCST   GOES17 22.5 
2020JUL20 213000  2.3 1011.2  33.0  2.3 2.5 2.5  none  OFF  OFF   14.84  -3.93  SHEAR    NA    NA   19.03  131.09  FCST   GOES17 22.6 
2020JUL20 220000  2.4 1010.6  34.0  2.4 2.5 2.5  none  OFF  OFF   14.34  -3.82  SHEAR    NA    NA   19.07  131.17  FCST   GOES17 22.6 
2020JUL20 223000  2.4 1010.6  34.0  2.4 2.5 2.5  none  OFF  OFF   15.84  -3.54  SHEAR    NA    NA   19.10  131.26  FCST   GOES17 22.7 
2020JUL20 230000  2.5 1010.0  35.0  2.5 2.5 2.5  none  OFF  OFF   15.84  -3.29  SHEAR    NA    NA   19.13  131.34  FCST   GOES17 22.7 
2020JUL20 233000  2.5 1010.0  35.0  2.5 2.5 2.5  none  OFF  OFF   15.84  -3.07  SHEAR    NA    NA   19.17  131.43  FCST   GOES17 22.8 
2020JUL21 000000  2.5 1010.0  35.0  2.5 2.5 2.5  none  OFF  OFF   16.34  -2.80  SHEAR    NA    NA   19.20  131.52  FCST   GOES17 22.8 
2020JUL21 003000  2.5 1010.0  35.0  2.4 2.4 2.4  none   ON  OFF   16.84  -1.77  SHEAR    NA    NA   19.23  131.61  FCST   GOES17 22.9 
2020JUL21 010000  2.5 1010.0  35.0  2.4 2.2 2.2  none   ON  OFF   17.84   5.57  SHEAR    NA    NA   19.13  131.46  FCST   GOES17 22.7 
2020JUL21 013000  2.5 1010.0  35.0  2.4 2.2 2.2  none   ON  OFF   17.84   5.30  SHEAR    NA    NA   19.15  131.54  FCST   GOES17 22.8 
