=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2020JUL28 140000  2.5 1003.2  35.0  2.5 2.5 2.5  none  OFF  OFF  -22.16 -35.29  CRVBND   NA    NA   13.74   53.47  FCST   GOES16 29.6 
2020JUL28 143000  2.5 1003.2  35.0  2.4 2.3 2.3  none   ON  OFF  -14.66 -32.33  CRVBND   NA    NA   13.75   53.63  FCST   GOES16 29.4 
2020JUL28 150000  2.5 1003.2  35.0  2.4 2.6 2.6  none   ON  OFF   -0.66 -29.51  CRVBND   NA    NA   13.80   53.70  FCST   GOES16 29.4 
2020JUL28 153000  2.5 1003.2  35.0  2.4 2.4 2.4  none   ON  OFF    9.34 -30.35  CRVBND   NA    NA   13.85   53.86  FCST   GOES16 29.3 
2020JUL28 160000  2.5 1003.2  35.0  2.4 2.4 2.2  0.2Thour  ON  OFF   12.34 -32.02  CRVBND   NA    NA   13.91   54.02  FCST   GOES16 29.2 
2020JUL28 163000  2.5 1003.1  35.0  2.4 2.2 2.1  0.2Thour  ON  OFF    8.84 -32.10  CRVBND   NA    NA   13.96   54.18  FCST   GOES16 29.1 
2020JUL28 170000  2.5 1003.1  35.0  2.3 2.3 2.3  none   ON  OFF    8.34 -31.84  CRVBND   NA    NA   14.02   54.35  FCST   GOES16 28.9 
2020JUL28 173000  2.5 1003.1  35.0  2.3 2.3 2.3  none   ON  OFF   11.84 -30.67  CRVBND   NA    NA   14.07   54.51  FCST   GOES16 28.8 
2020JUL28 180000  2.5 1003.1  35.0  2.3 2.3 2.3  none   ON  OFF   11.34 -31.44  CRVBND   NA    NA   14.13   54.68  FCST   GOES16 28.7 
2020JUL28 183000  2.5 1003.1  35.0  2.2 2.1 2.0  0.2Thour  ON  OFF   11.84 -32.79  CRVBND   NA    NA   14.18   54.85  FCST   GOES16 28.6 
2020JUL28 190000  2.5 1000.0  35.0  2.2 2.1 2.0  0.2Thour  ON  OFF  -13.16 -33.16  CRVBND   NA    NA   14.24   55.01  FCST   GOES16 28.5 
2020JUL28 193000  2.5 1000.0  35.0  2.2 2.1 2.1  none   ON  OFF    3.84 -37.03  CRVBND   NA    NA   14.25   55.40  FCST   GOES16 28.1 
2020JUL28 200000  2.5 1000.0  35.0  2.1 2.0 2.0  none   ON  OFF  -10.16 -36.50  CRVBND   NA    NA   14.30   55.57  FCST   GOES16 28.0 
2020JUL28 203000  2.4 1000.3  34.0  2.1 2.2 2.2  none   ON  OFF   -1.16 -35.46  CRVBND   NA    NA   14.35   55.73  FCST   GOES16 27.9 
2020JUL28 210000  2.4 1000.3  34.0  2.1 2.0 2.0  none   ON  OFF   -0.66 -32.16  CRVBND   NA    NA   14.40   55.90  FCST   GOES16 27.7 
2020JUL28 213000  2.4 1000.2  34.0  2.1 2.3 2.3  none   ON  OFF    7.84 -26.79  CRVBND   NA    NA   14.45   56.06  FCST   GOES16 27.6 
2020JUL28 220000  2.4 1000.2  34.0  2.1 2.5 2.5  none   ON  OFF   15.34 -22.86  CRVBND   NA    NA   14.51   56.23  FCST   GOES16 27.5 
2020JUL28 223000  2.4 1000.2  34.0  2.2 2.6 2.8  0.5Thour  ON  OFF   14.34 -21.59  CRVBND   NA    NA   14.56   56.39  FCST   GOES16 27.4 
2020JUL28 230000  2.3 1000.4  33.0  2.2 2.4 2.4  none   ON  OFF   12.34 -19.78  CRVBND   NA    NA   14.61   56.56  FCST   GOES16 27.3 
2020JUL28 233000  2.3 1000.4  33.0  2.3 2.1 2.1  none  OFF  OFF   12.84 -19.30  CRVBND   NA    NA   14.67   56.72  FCST   GOES16 27.2 
2020JUL29 000000  2.3 1000.4  33.0  2.3 2.3 2.3  none  OFF  OFF   12.34 -18.43  CRVBND   NA    NA   14.73   56.88  FCST   GOES16 27.1 
2020JUL29 003000  2.3 1002.4  33.0  2.3 2.0 2.0  none  OFF  OFF    8.84 -16.92  CRVBND   NA    NA   14.78   57.04  FCST   GOES16 27.0 
2020JUL29 010000  2.3 1002.4  33.0  2.2 2.0 2.0  none   ON  OFF    7.84 -16.59  CRVBND   NA    NA   14.84   57.21  FCST   GOES16 26.9 
2020JUL29 013000  2.3 1002.5  33.0  2.2 2.4 2.4  none   ON  OFF   -2.16 -41.58  CRVBND   NA    NA   14.41   58.90  FCST   GOES16 25.1 
2020JUL29 020000  2.3 1002.5  33.0  2.2 2.6 2.6  none   ON  OFF    0.34 -42.77  CRVBND   NA    NA   14.47   59.07  FCST   GOES16 25.0 
2020JUL29 023000  2.3 1002.5  33.0  2.3 2.7 2.7  none  OFF  OFF  -29.16 -46.70  CRVBND   NA    NA   14.54   59.23  FCST   GOES16 24.9 
2020JUL29 030000  2.3 1002.4  33.0  2.3 2.7 2.9  0.5Thour OFF  OFF  -30.66 -51.62  CRVBND   NA    NA   14.60   59.40  FCST   GOES16 24.8 
2020JUL29 033000  2.4 1002.2  34.0  2.4 2.8 2.9  0.7T6hr  OFF  OFF  -44.16 -55.04  CRVBND   NA    NA   14.66   59.57  FCST   GOES16 24.7 
2020JUL29 040000  2.6 1001.2  37.0  2.6 2.8 3.0  0.7T6hr  OFF  OFF  -43.16 -56.81  CRVBND   NA    NA   14.72   59.73  FCST   GOES16 24.7 
2020JUL29 043000  2.7 1000.4  39.0  2.7 2.9 3.0  0.7T6hr  OFF  OFF  -26.66 -58.43  CRVBND   NA    NA   14.79   59.89  FCST   GOES16 24.6 
2020JUL29 050000  2.7 1000.4  39.0  2.7 2.9 3.0  0.7T6hr  OFF  OFF  -22.16 -60.10  CRVBND   NA    NA   14.85   60.06  FCST   GOES16 24.5 
2020JUL29 053000  2.8  999.6  41.0  2.8 3.0 3.5  0.7T6hr  OFF  OFF  -33.16 -61.50  CRVBND   NA    NA   14.91   60.22  FCST   GOES16 24.4 
2020JUL29 060000  2.8  999.6  41.0  2.8 3.0 3.4  0.7T6hr  OFF  OFF  -21.16 -63.09  CRVBND   NA    NA   14.97   60.38  FCST   GOES16 24.3 
2020JUL29 063000  2.9  998.7  43.0  2.9 3.0 3.5  0.7T6hr  OFF  OFF   -2.66 -63.41  CRVBND   NA    NA   15.03   60.55  FCST   GOES16 24.2 
2020JUL29 070000  2.9  997.1  43.0  2.9 2.9 3.1  0.7T6hr  OFF  OFF  -23.66 -62.50  CRVBND   NA    NA   15.09   60.71  FCST   GOES16 24.2 
2020JUL29 073000  2.9  997.0  43.0  2.9 2.9 3.4  0.7T6hr  OFF  OFF  -19.16 -64.74  CRVBND   NA    NA   15.11   60.84  FCST   GOES16 24.1 
2020JUL29 080000  2.9  997.0  43.0  2.9 2.9 3.2  0.7T6hr  OFF  OFF  -23.66 -64.82  CRVBND   NA    NA   15.17   61.00  FCST   GOES16 24.0 
2020JUL29 083000  2.9  997.0  43.0  2.9 3.0 3.9  0.7T6hr  OFF  OFF  -54.16 -68.06  UNIFRM   NA    NA   15.24   61.15  FCST   GOES16 24.0 
2020JUL29 090000  2.9  997.0  43.0  2.9 3.0 4.0  0.7T6hr  OFF  OFF  -70.16 -69.44  UNIFRM   NA    NA   15.30   61.30  FCST   GOES16 23.9 
2020JUL29 093000  2.9  997.0  43.0  2.9 3.1 4.0  0.7T6hr  OFF  OFF  -70.16 -69.20  UNIFRM   NA    NA   15.36   61.45  FCST   GOES16 23.8 
2020JUL29 100000  3.0  996.1  45.0  3.0 3.3 3.9  0.7T6hr  OFF  OFF  -69.16 -68.64  UNIFRM   NA    NA   15.42   61.61  FCST   GOES16 23.8 
2020JUL29 103000  3.0  996.0  45.0  3.0 3.4 4.0  0.7T6hr  OFF  OFF  -68.16 -68.00  UNIFRM   NA    NA   15.48   61.76  FCST   GOES16 23.7 
2020JUL29 110000  3.1  995.1  47.0  3.1 3.4 3.9  0.7T6hr  OFF  OFF  -68.16 -66.38  UNIFRM   NA    NA   15.54   61.92  FCST   GOES16 23.6 
2020JUL29 113000  3.2  994.1  49.0  3.2 3.5 3.8  0.7T6hr  OFF  OFF  -63.16 -64.06  UNIFRM   NA   -4.7   15.59   62.07  FCST   GOES16 23.6 
2020JUL29 120000  3.3  993.0  51.0  3.3 3.5 3.8  0.7T6hr  OFF  OFF  -60.16 -61.20  UNIFRM   NA   -4.7   15.65   62.23  FCST   GOES16 23.5 
2020JUL29 123000  3.4  991.9  53.0  3.4 3.6 3.6  none  OFF  OFF  -56.16 -58.89  UNIFRM   NA   -4.7   15.70   62.39  FCST   GOES16 23.4 
2020JUL29 130000  3.4  990.9  53.0  3.4 3.5 3.5  none  OFF  OFF  -49.16 -56.38  UNIFRM   NA   -4.7   15.76   62.54  FCST   GOES16 23.4 
2020JUL29 133000  3.5  989.8  55.0  3.5 3.6 3.8  0.7T6hr  OFF  OFF  -49.16 -62.75  UNIFRM   NA   -4.7   15.71   63.26  FCST   GOES16 22.8 
2020JUL29 140000  3.5  989.8  55.0  3.5 3.6 3.6  none  OFF  OFF  -50.16 -61.20  UNIFRM   NA   -4.7   15.72   63.40  FCST   GOES16 22.8 
2020JUL29 143000  3.5  989.8  55.0  3.5 3.5 3.5  none  OFF  OFF  -52.16 -59.80  UNIFRM   NA   -4.7   15.76   63.55  FCST   GOES16 22.7 
2020JUL29 150000  3.5  989.8  55.0  3.5 3.5 3.5  none  OFF  OFF  -53.16 -58.57  CRVBND   NA   -4.7   15.80   63.70  FCST   GOES16 22.6 
2020JUL29 153000  3.5  989.7  55.0  3.4 3.0 2.6  0.5Thour  ON  OFF  -37.16 -59.12  CRVBND   NA   -4.7   15.85   63.85  FCST   GOES16 22.6 
2020JUL29 160000  3.5  989.7  55.0  3.4 3.2 3.2  none   ON  OFF  -33.16 -59.89  CRVBND   NA   -4.7   15.89   64.00  FCST   GOES16 22.5 
2020JUL29 163000  3.5  989.7  55.0  3.3 3.0 3.0  none   ON  OFF  -43.16 -62.40  CRVBND   NA   -4.7   15.94   64.15  FCST   GOES16 22.5 
2020JUL29 170000  3.5  989.7  55.0  3.3 3.8 4.0  0.7T6hr   ON  OFF  -70.16 -64.95  UNIFRM   NA   -4.7   16.00   64.30  FCST   GOES16 22.4 
2020JUL29 173000  3.5  989.7  55.0  3.4 3.8 4.0  0.5Thour  ON  OFF  -70.16 -66.97  UNIFRM   NA   -4.7   16.05   64.45  FCST   GOES16 22.4 
2020JUL29 180000  3.5  989.6  55.0  3.4 3.8 4.1  0.5Thour  ON  OFF  -63.16 -67.70  EMBC     NA   -4.7   16.11   64.61  FCST   GOES16 22.3 
2020JUL29 183000  3.5  989.6  55.0  3.5 3.9 4.1  0.5Thour OFF  OFF  -63.16 -66.39  UNIFRM   NA   -4.7   16.17   64.76  FCST   GOES16 22.3 
2020JUL29 190000  3.6  987.5  57.0  3.6 3.9 4.0  0.5Thour OFF  OFF  -63.16 -63.77  UNIFRM   NA   -4.7   16.23   64.91  FCST   GOES16 22.3 
2020JUL29 193000  3.7  986.3  59.0  3.7 4.0 4.0  none  OFF  OFF  -62.16 -61.42  UNIFRM   NA   -4.7   16.24   65.23  FCST   GOES16 22.1 
2020JUL29 200000  3.8  985.0  61.0  3.8 3.8 3.8  none  OFF  OFF  -60.16 -58.94  UNIFRM   NA   -4.7   16.30   65.35  FCST   GOES16 22.1 
2020JUL29 203000  3.8  985.0  61.0  3.8 3.6 3.6  none  OFF  OFF  -54.16 -54.91  CRVBND   NA   -4.7   16.35   65.47  FCST   GOES16 22.1 
2020JUL29 210000  3.8  985.0  61.0  3.7 3.3 2.9  0.5Thour  ON  OFF  -42.16 -50.38  CRVBND   NA   -3.5   16.40   65.60  FCST   GOES16 22.0 
