=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2020OCT04 193000  2.0 1009.1  30.0  2.0 2.0 2.0  none  OFF  OFF   -4.16 -35.81  CRVBND   NA    NA   16.60   76.38  FCST   GOES16 19.5 
2020OCT04 200000  2.1 1008.5  31.0  2.1 2.2 2.2  none  OFF  OFF    3.34 -34.54  CRVBND   NA    NA   16.67   76.47  FCST   GOES16 19.6 
2020OCT04 203000  2.1 1008.5  31.0  2.1 2.1 2.1  none  OFF  OFF    5.34 -35.07  CRVBND   NA    NA   16.68   76.53  FCST   GOES16 19.6 
2020OCT04 210000  2.1 1008.5  31.0  2.1 2.1 2.1  none  OFF  OFF    7.84 -34.23  CRVBND   NA    NA   16.70   76.60  FCST   GOES16 19.6 
2020OCT04 213000  2.1 1008.5  31.0  2.1 2.2 2.2  none  OFF  OFF    9.34 -35.52  CRVBND   NA    NA   16.72   76.66  FCST   GOES16 19.7 
2020OCT04 221000  2.1 1008.5  31.0  2.1 2.3 2.3  none  OFF  OFF   -0.16 -35.90  CRVBND   NA   -4.2   16.74   76.75  FCST   GOES16 19.7 
2020OCT04 223000  2.1 1008.5  31.0  2.1 2.3 2.3  none  OFF  OFF   -0.66 -36.19  CRVBND   NA   -4.2   16.75   76.79  FCST   GOES16 19.7 
2020OCT04 230000  2.2 1007.9  32.0  2.2 2.4 2.4  none  OFF  OFF   -3.66 -35.66  CRVBND   NA   -4.2   16.77   76.85  FCST   GOES16 19.8 
2020OCT04 233000  2.2 1007.9  32.0  2.2 2.4 2.4  none  OFF  OFF   -0.16 -34.86  CRVBND   NA   -4.2   16.79   76.92  FCST   GOES16 19.8 
2020OCT05 000000  2.3 1007.3  33.0  2.3 2.4 2.4  none  OFF  OFF  -22.66 -32.82  CRVBND   NA   -4.2   16.81   76.98  FCST   GOES16 19.8 
2020OCT05 003000  2.3 1007.3  33.0  2.3 2.5 2.5  none  OFF  OFF  -40.16 -33.44  CRVBND   NA   -4.2   16.83   77.04  FCST   GOES16 19.8 
2020OCT05 010000  2.3 1007.2  33.0  2.3 2.2 2.2  none  OFF  OFF  -30.16 -30.14  CRVBND   NA   -4.2   16.93   77.05  FCST   GOES16 20.0 
2020OCT05 013000  2.3 1007.2  33.0  2.3 2.3 2.3  none  OFF  OFF  -31.16 -32.20  CRVBND   NA   -4.2   16.95   77.15  FCST   GOES16 20.0 
2020OCT05 020000  2.3 1007.2  33.0  2.3 2.3 2.3  none  OFF  OFF  -26.16 -32.15  CRVBND   NA   -4.2   16.97   77.20  FCST   GOES16 20.0 
2020OCT05 023000  2.3 1007.2  33.0  2.3 2.5 2.5  none  OFF  OFF  -16.16 -35.50  CRVBND   NA   -4.2   16.98   77.25  FCST   GOES16 20.1 
2020OCT05 030000  2.4 1006.6  34.0  2.4 2.6 2.6  none  OFF  OFF  -13.16 -37.19  CRVBND   NA   -4.2   17.00   77.30  FCST   GOES16 20.1 
2020OCT05 033000  2.4 1006.6  34.0  2.4 2.6 2.6  none  OFF  OFF   -4.66 -40.22  CRVBND   NA   -4.2   17.02   77.35  FCST   GOES16 20.1 
2020OCT05 040000  2.5 1006.0  35.0  2.5 2.8 3.1  0.7T6hr  OFF  OFF  -40.16 -42.10  CRVBND   NA   -4.2   17.04   77.41  FCST   GOES16 20.1 
2020OCT05 043000  2.5 1006.0  35.0  2.5 2.8 3.0  0.7T6hr  OFF  OFF  -26.16 -42.71  CRVBND   NA   -4.2   17.06   77.46  FCST   GOES16 20.2 
2020OCT05 050000  2.6 1004.9  37.0  2.6 2.9 3.0  0.7T6hr  OFF  OFF  -25.16 -44.05  CRVBND   NA   -4.2   17.08   77.51  FCST   GOES16 20.2 
2020OCT05 053000  2.7 1003.7  39.0  2.7 2.5 2.5  none  OFF  OFF   -7.16 -42.70  CRVBND   NA   -4.2   17.09   77.57  FCST   GOES16 20.2 
2020OCT05 060000  2.7 1003.7  39.0  2.6 2.1 2.1  none   ON  OFF  -18.16 -41.53  CRVBND   NA   -4.2   17.12   77.62  FCST   GOES16 20.3 
2020OCT05 063000  2.7 1004.7  39.0  2.5 2.3 2.3  none   ON  OFF    4.34 -36.60  CRVBND   NA   -4.2   17.14   77.68  FCST   GOES16 20.3 
2020OCT05 070000  2.7 1004.6  39.0  2.5 2.1 2.1  none   ON  OFF    5.84 -33.08  CRVBND   NA   -4.2   17.16   77.73  FCST   GOES16 20.3 
2020OCT05 073000  2.7 1004.8  39.0  2.4 2.3 2.3  none   ON  OFF  -27.66 -37.54  CRVBND   NA   -4.2   16.94   77.98  FCST   GOES16 20.1 
2020OCT05 080000  2.7 1004.7  39.0  2.2 2.3 2.3  none   ON  FLG  -25.66 -33.27  CRVBND   NA   -4.2   16.97   78.08  FCST   GOES16 20.2 
2020OCT05 083000  2.7 1004.7  39.0  2.2 2.3 2.3  none   ON  FLG  -17.16 -30.15  CRVBND   NA   -4.2   16.98   78.14  FCST   GOES16 20.2 
2020OCT05 090000  2.7 1004.7  39.0  2.2 2.3 2.3  none   ON  FLG  -12.66 -28.25  CRVBND   NA   -4.2   17.00   78.20  FCST   GOES16 20.2 
2020OCT05 093000  2.7 1004.7  39.0  2.2 2.0 2.0  none   ON  FLG    4.34 -27.29  CRVBND   NA  -32.7   17.02   78.26  FCST   GOES16 20.3 
2020OCT05 100000  2.7 1004.7  39.0  2.7 2.7 2.2  MW   ON  FLG    9.84 -27.96  CRVBND   NA  -32.7   17.03   78.31  FCST   GOES16 20.3 MWinit1=2.22.22.7
2020OCT05 103000  2.8 1003.5  41.0  2.8 2.8 2.3  MW   ON  FLG   -5.16 -26.96  CRVBND   NA  -32.7   17.05   78.37  FCST   GOES16 20.3 MWinit1=2.32.22.7
2020OCT05 110000  2.8 1003.5  41.0  2.8 2.8 2.0  MW   ON  OFF    0.34 -27.24  CRVBND   NA   -2.6   17.07   78.42  FCST   GOES16 20.4 MWinit1=2.02.22.7
2020OCT05 113000  2.9 1002.3  43.0  2.9 2.9 2.5  MW   ON  OFF   16.34 -25.82  SHEAR    NA   -2.6   17.09   78.47  FCST   GOES16 20.4 MWinit1=2.52.22.7
2020OCT05 120000  3.0 1001.1  45.0  3.0 3.0 2.0  MW   ON  OFF    7.34 -27.02  CRVBND   NA   -2.6   17.10   78.52  FCST   GOES16 20.4 MWinit1=2.02.12.6
2020OCT05 123000  3.0  999.0  45.0  3.0 3.0 2.5  MW   ON  OFF   13.34 -27.06  SHEAR    NA   -2.6   17.12   78.57  FCST   GOES16 20.5 MWinit1=2.52.22.5
2020OCT05 132000  3.2  996.9  49.0  3.2 3.2 2.5  MW   ON  OFF  -67.16 -54.17  UNIFRM   NA   -2.6   16.43   78.40  FCST   GOES16 19.6 MWinit1=2.52.32.4
2020OCT05 133000  3.2  996.9  49.0  3.2 3.2 2.4  MW   ON  OFF  -65.16 -54.41  UNIFRM   NA   -2.6   16.43   78.42  FCST   GOES16 19.6 MWinit1=2.42.32.4
2020OCT05 140000  3.2  996.9  49.0  3.2 3.2 2.4  MW   ON  OFF  -59.16 -54.39  UNIFRM   NA   -2.6   16.44   78.46  FCST   GOES16 19.7 MWinit1=2.42.32.3
2020OCT05 143000  3.3  995.6  51.0  3.3 3.3 2.4  MW  OFF  OFF  -62.16 -54.65  UNIFRM   NA   -2.6   16.46   78.50  FCST   GOES16 19.7 MWinit1=2.42.32.3
2020OCT05 150000  3.4  994.4  53.0  3.4 3.4 2.7  MW  OFF  OFF  -59.16 -56.53  UNIFRM   NA   -2.6   16.40   78.60  FCST   GOES16 19.6 MWinit1=2.72.42.4
2020OCT05 153000  3.5  993.1  55.0  3.5 3.5 2.8  MW  OFF  OFF  -59.16 -57.52  UNIFRM   NA   -2.6   16.41   78.65  FCST   GOES16 19.7 MWinit1=2.82.52.5
2020OCT05 160000  3.5  993.1  55.0  3.5 3.5 3.3  MW  OFF  OFF  -58.16 -57.79  CRVBND   NA   -2.6   16.43   78.70  FCST   GOES16 19.7 MWinit1=2.92.52.5
2020OCT05 163000  3.6  991.8  57.0  3.6 3.6 3.1  MW  OFF  OFF  -58.16 -57.99  CRVBND   NA   -2.6   16.46   78.75  FCST   GOES16 19.7 MWinit1=2.92.62.6
2020OCT05 170000  3.7  990.4  59.0  3.7 3.7 2.9  MW  OFF  OFF  -54.16 -58.15  CRVBND   NA   -2.6   16.48   78.80  FCST   GOES16 19.8 MWinit1=2.92.72.7
2020OCT05 173000  3.7  990.4  59.0  3.7 3.7 2.9  MW  OFF  OFF  -50.16 -57.57  CRVBND   NA   -2.6   16.51   78.85  FCST   GOES16 19.8 MWinit1=2.92.72.7
2020OCT05 180000  3.8  989.1  61.0  3.8 3.8 2.6  MW  OFF  OFF  -42.16 -55.76  CRVBND   NA   -2.6   16.54   78.90  FCST   GOES16 19.9 MWinit1=2.62.82.8
2020OCT05 183000  3.9  987.7  63.0  3.9 3.9 2.6  MW  OFF  OFF  -40.16 -56.52  CRVBND   NA   -2.6   16.58   78.95  FCST   GOES16 19.9 MWinit1=2.62.82.8
2020OCT05 190000  3.9  987.7  63.0  3.9 3.9 2.4  MW   ON  OFF  -41.16 -53.75  CRVBND   NA   -2.6   16.61   79.01  FCST   GOES16 20.0 MWinit1=2.42.72.8
2020OCT05 193000  4.0  986.5  65.0  4.0 4.0 3.5  MW   ON  OFF  -75.16 -57.77  UNIFRM   NA   -2.6   16.30   79.40  FCST   GOES16 19.8 MWinit1=3.02.72.8
2020OCT05 200000  4.1  984.8  67.4  4.1 4.1 3.5  MW   ON  OFF  -72.16 -58.21  UNIFRM   NA   -2.6   16.33   79.47  FCST   GOES16 19.8 MWinit1=3.02.72.8
2020OCT05 203000  4.1  984.9  67.4  4.1 4.1 3.6  MW   ON  OFF  -47.16 -59.98  UNIFRM   NA   -2.6   16.19   79.35  FCST   GOES16 19.6 MWinit1=3.02.72.8
2020OCT05 210000  4.2  983.2  69.8  4.2 4.2 3.7  MW  OFF  OFF  -42.16 -60.27  UNIFRM   NA   -2.6   16.20   79.40  FCST   GOES16 19.6 MWinit1=3.12.82.8
2020OCT05 213000  4.3  981.6  72.2  4.3 4.3 3.8  MW  OFF  OFF  -49.16 -60.64  UNIFRM   NA   -2.6   16.22   79.45  FCST   GOES16 19.7 MWinit1=3.22.92.9
2020OCT05 220000  4.3  981.5  72.2  4.3 4.3 4.0  MW     OFF  OFF  -55.16 -61.58  UNIFRM   NA   35.4   16.24   79.51  FCST   GOES16 19.7 
2020OCT05 223000  4.3  981.5  72.2  4.3 4.3 3.9  MW     OFF  OFF  -71.16 -63.44  UNIFRM   NA   35.4   16.27   79.57  FCST   GOES16 19.8 
2020OCT05 230000  4.4  979.8  74.6  4.4 4.4 3.8  MW     OFF  OFF  -71.16 -65.62  UNIFRM   NA   35.4   16.31   79.64  FCST   GOES16 19.8 
2020OCT05 233000  4.4  979.8  74.6  4.4 4.4 3.8  MW     OFF  OFF  -66.16 -67.69  UNIFRM   NA   35.4   16.34   79.71  FCST   GOES16 19.9 
2020OCT06 000000  4.4  979.8  74.6  4.4 4.4 3.7  MW     OFF  OFF  -64.16 -67.75  UNIFRM   NA   35.4   16.38   79.79  FCST   GOES16 20.0 
2020OCT06 003000  4.4  978.7  74.6  4.4 4.4 3.7  MW     OFF  OFF  -78.16 -68.03  UNIFRM   NA   35.4   16.43   79.87  FCST   GOES16 20.0 
2020OCT06 010000  4.4  978.6  74.6  4.4 4.4 3.9  MW     OFF  OFF  -79.16 -71.84  UNIFRM   NA   35.4   16.71   79.86  FCST   GOES16 20.4 
2020OCT06 013000  4.5  976.9  77.0  4.5 4.5 4.0  MW     OFF  OFF  -78.16 -73.64  UNIFRM   NA   35.4   16.77   79.95  FCST   GOES16 20.4 
2020OCT06 020000  4.5  976.8  77.0  4.5 4.5 4.2  MW     OFF  OFF  -77.16 -75.31  UNIFRM   NA   35.4   16.87   80.11  FCST   GOES16 20.6 
2020OCT06 023000  4.5  976.9  77.0  4.5 4.5 4.0  MW     OFF  OFF  -77.16 -73.10  UNIFRM   NA   35.4   16.75   80.20  FCST   GOES16 20.5 
2020OCT06 030000  4.5  976.8  77.0  4.5 4.5 4.0  MW     OFF  OFF  -78.16 -73.93  UNIFRM   NA   35.4   16.80   80.30  FCST   GOES16 20.6 
2020OCT06 033000  4.5  976.8  77.0  4.5 4.5 4.1  MW     OFF  OFF  -78.16 -75.32  UNIFRM   NA   35.4   16.85   80.40  FCST   GOES16 20.7 
2020OCT06 040000  4.6  974.9  79.6  4.6 4.6 4.1  MW     OFF  OFF  -80.16 -75.33  UNIFRM   NA   35.4   16.91   80.49  FCST   GOES16 20.8 
2020OCT06 043000  4.6  974.9  79.6  4.6 4.6 4.3  MW     OFF  OFF  -78.16 -75.39  UNIFRM   NA   35.4   17.02   80.53  SPRL   GOES16 20.9 
2020OCT06 050000  4.6  974.8  79.6  4.6 4.6 4.3  MW     OFF  OFF  -75.16 -74.84  UNIFRM   NA   35.4   17.18   80.63  SPRL   GOES16 21.1 
