=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2021JUN18 083000  2.0 1010.9  30.0  2.0 2.0 2.0  none  OFF  OFF  -55.16 -63.49  UNIFRM   NA    NA   14.38  101.55  FCST   GOES16 34.9 
2021JUN18 090000  2.1 1010.5  31.0  2.1 2.2 2.8  0.2Thour OFF  OFF  -65.16 -65.52  UNIFRM   NA    NA   14.40  101.60  FCST   GOES16 34.9 
2021JUN18 093000  2.1 1010.5  31.0  2.1 2.2 2.9  0.2Thour OFF  OFF  -75.16 -67.46  UNIFRM   NA    NA   14.42  101.65  FCST   GOES16 35.0 
2021JUN18 100000  2.2 1010.0  32.0  2.2 2.4 2.9  0.2Thour OFF  OFF  -71.16 -67.69  UNIFRM   NA    NA   14.44  101.70  FCST   GOES16 35.0 
2021JUN18 103000  2.2 1010.0  32.0  2.2 2.4 3.0  0.2Thour OFF  OFF  -68.16 -67.03  UNIFRM   NA    NA   14.46  101.75  FCST   GOES16 35.1 
2021JUN18 110000  2.3 1009.4  33.0  2.3 2.6 3.1  0.2Thour OFF  OFF  -65.16 -66.45  UNIFRM   NA    NA   14.48  101.80  FCST   GOES16 35.2 
2021JUN18 113000  2.3 1009.4  33.0  2.3 2.6 3.2  0.2Thour OFF  OFF  -63.16 -67.10  UNIFRM   NA    NA   14.50  101.86  FCST   GOES16 35.2 
2021JUN18 120000  2.4 1008.8  34.0  2.4 2.8 3.3  0.2Thour OFF  OFF  -60.16 -67.05  UNIFRM   NA    NA   14.52  101.91  FCST   GOES16 35.3 
2021JUN18 123000  2.5 1007.3  35.0  2.5 2.8 3.2  0.2Thour OFF  OFF  -56.16 -66.42  UNIFRM   NA    NA   14.54  101.96  FCST   GOES16 35.3 
2021JUN18 130000  2.7 1004.9  39.0  2.7 3.0 3.2  0.2Thour OFF  OFF  -49.16 -65.17  UNIFRM   NA    NA   14.56  102.01  FCST   GOES16 35.4 
2021JUN18 133000  2.7 1004.9  39.0  2.7 3.0 3.5  0.2Thour OFF  OFF  -55.16 -66.32  UNIFRM   NA   -2.0   14.58  102.33  FCST   GOES16 35.7 
2021JUN18 140000  2.8 1003.7  41.0  2.8 3.2 3.5  0.2Thour OFF  OFF  -44.16 -65.77  UNIFRM   NA   -2.0   14.64  102.40  FCST   GOES16 35.8 
2021JUN18 143000  3.0 1001.2  45.0  3.0 3.2 3.6  0.2Thour OFF  OFF  -33.16 -65.32  CRVBND   NA   -2.0   14.67  102.45  FCST   GOES16 35.9 
2021JUN18 150000  3.0 1001.2  45.0  2.9 2.8 3.4  0.7T6hr   ON  OFF  -20.66 -65.28  CRVBND   NA   -2.0   14.70  102.50  FCST   GOES16 36.0 
2021JUN18 153000  3.0 1001.2  45.0  2.9 2.8 3.7  0.7T6hr   ON  OFF  -19.66 -64.20  UNIFRM   NA   -2.0   14.73  102.55  FCST   GOES16 36.0 
2021JUN18 160000  3.0 1001.2  45.0  2.9 2.9 3.1  0.7T6hr   ON  OFF  -19.66 -63.50  CRVBND   NA   -2.0   14.76  102.59  FCST   GOES16 36.1 
2021JUN18 163000  3.0 1001.2  45.0  2.9 2.9 3.1  0.7T6hr   ON  OFF  -13.16 -63.54  CRVBND   NA   -2.0   14.79  102.64  FCST   GOES16 36.1 
2021JUN18 170000  3.0 1001.2  45.0  2.9 3.0 3.1  0.7T6hr   ON  OFF  -10.16 -63.39  CRVBND   NA   -2.0   14.82  102.69  FCST   GOES16 36.2 
2021JUN18 173000  3.0 1001.1  45.0  2.9 3.0 3.8  0.7T6hr   ON  OFF  -15.16 -62.89  UNIFRM   NA   -2.0   14.85  102.73  FCST   GOES16 36.3 
2021JUN18 180000  3.0 1001.1  45.0  2.9 3.1 3.8  0.7T6hr   ON  OFF  -17.16 -62.06  EMBC     NA   -2.0   14.88  102.78  FCST   GOES16 36.3 
2021JUN18 183000  3.0  998.5  45.0  2.9 3.2 3.8  0.7T6hr   ON  OFF  -27.16 -61.53  UNIFRM   NA   -2.0   14.91  102.82  FCST   GOES16 36.4 
2021JUN18 190000  3.0  998.5  45.0  3.0 3.4 3.8  0.7T6hr  OFF  OFF  -30.66 -61.39  UNIFRM   NA   -2.0   14.94  102.87  FCST   GOES16 36.4 
2021JUN18 193000  3.1  997.1  47.0  3.1 3.4 3.9  0.7T6hr  OFF  OFF  -60.16 -64.33  UNIFRM   NA   -2.0   15.45  102.19  FCST   GOES16 36.0 
2021JUN18 200000  3.2  996.0  49.0  3.2 3.5 3.9  0.7T6hr  OFF  OFF  -64.16 -64.98  UNIFRM   NA   -2.0   15.50  102.23  FCST   GOES16 36.1 
2021JUN18 203000  3.3  994.8  51.0  3.3 3.6 4.0  0.5Thour OFF  OFF  -67.16 -64.95  UNIFRM   NA   -2.0   15.55  102.26  FCST   GOES16 36.2 
2021JUN18 210000  3.4  993.6  53.0  3.4 3.6 3.9  0.7T6hr  OFF  OFF  -69.16 -64.12  UNIFRM   NA   -2.0   15.60  102.30  FCST   GOES16 36.2 
2021JUN18 213000  3.4  993.6  53.0  3.4 3.6 3.9  0.7T6hr  OFF  OFF  -68.16 -63.23  UNIFRM   NA   -2.0   15.65  102.34  FCST   GOES16 36.3 
2021JUN18 220000  3.5  992.4  55.0  3.5 3.6 3.8  0.7T6hr  OFF  OFF  -66.16 -61.72  UNIFRM   NA   -2.0   15.70  102.38  FCST   GOES16 36.4 
2021JUN18 223000  3.5  992.4  55.0  3.5 3.6 3.7  0.7T6hr  OFF  OFF  -66.16 -60.15  UNIFRM   NA   -2.0   15.75  102.42  FCST   GOES16 36.4 
2021JUN18 230000  3.5  992.3  55.0  3.5 3.6 3.6  none  OFF  OFF  -66.16 -58.24  UNIFRM   NA   -2.0   15.80  102.46  FCST   GOES16 36.5 
2021JUN18 233000  3.5  992.3  55.0  3.5 3.5 3.5  none  OFF  OFF  -61.16 -57.33  UNIFRM   NA   -6.4   15.86  102.51  FCST   GOES16 36.6 
2021JUN19 000000  3.5  992.3  55.0  3.5 3.5 2.7  MW  OFF  OFF  -56.16 -56.11  CRVBND   NA   -6.4   15.91  102.55  FCST   GOES16 36.6 MWinit1=3.03.53.5
2021JUN19 003000  3.5  992.3  55.0  3.5 3.5 2.6  MW   ON  OFF  -49.16 -53.67  CRVBND   NA   -6.4   15.96  102.59  FCST   GOES16 36.7 MWinit1=3.03.33.5
2021JUN19 010000  3.6  991.0  57.0  3.6 3.6 2.7  MW   ON  FLG  -37.16 -53.56  CRVBND   NA   -6.4   16.03  102.66  FCST   GOES16 36.8 MWinit1=3.03.33.5
2021JUN19 013000  3.6  990.9  57.0  3.6 3.6 2.7  MW   ON  FLG  -32.16 -54.36  CRVBND   NA   -6.4   16.10  102.69  FCST   GOES16 36.9 MWinit1=2.83.23.5
2021JUN19 020000  3.6  990.9  57.0  3.6 3.6 2.5  MW   ON  FLG  -11.66 -55.31  CRVBND   NA   -6.4   16.17  102.72  FCST   GOES16 36.9 MWinit1=2.83.03.5
2021JUN19 023000  3.7  989.6  59.0  3.7 3.7 2.4  MW   ON  FLG   -9.16 -56.16  CRVBND   NA   -6.4   16.23  102.76  FCST   GOES16 37.0 MWinit1=2.72.93.5
2021JUN19 030000  3.7  989.5  59.0  3.7 3.7 2.4  MW   ON  FLG    1.34 -56.99  CRVBND   NA   -6.4   16.30  102.80  FCST   GOES16 37.1 MWinit1=2.72.83.5
2021JUN19 033000  3.7  989.5  59.0  3.7 3.7 2.5  MW   ON  FLG   -1.16 -57.68  CRVBND   NA   -6.4   16.37  102.84  FCST   GOES16 37.2 MWinit1=2.72.83.5
2021JUN19 040000  3.8  988.1  61.0  3.8 3.8 2.5  MW   ON  FLG  -20.66 -60.84  CRVBND   NA   -6.4   16.43  102.88  FCST   GOES16 37.2 MWinit1=2.82.73.5
2021JUN19 043000  3.8  988.1  61.0  3.8 3.8 2.6  MW   ON  FLG  -30.66 -61.73  CRVBND   NA   -6.4   16.50  102.92  FCST   GOES16 37.3 MWinit1=2.82.73.5
