=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2021AUG31 200000  2.0 1010.0  30.0  2.0 2.0 2.0  none  OFF  OFF  -44.81 -56.56  RCDO   NA   -0.0   11.09   20.80  FCST    OTHER 27.4 
2021AUG31 203000  2.1 1010.0  31.0  2.1 2.2 2.5  0.2Thour OFF  OFF  -45.69 -54.71  UNIFRM   NA   -0.0   11.15   20.95  FCST    OTHER 27.6 
2021AUG31 210000  2.1 1010.0  31.0  2.1 2.2 2.4  0.2Thour OFF  OFF  -58.96 -52.76  UNIFRM   NA   -0.0   11.20   21.10  FCST    OTHER 27.8 
2021AUG31 213000  2.2 1010.0  32.0  2.2 2.4 3.5  0.2Thour OFF  OFF  -49.03 -51.56  RCDO   NA   -0.0   11.25   21.25  FCST    OTHER 27.9 
2021AUG31 220000  2.2 1010.0  32.0  2.2 2.2 2.2  none  OFF  OFF  -58.96 -50.42  UNIFRM   NA   -0.0   11.29   21.41  FCST    OTHER 28.1 
2021AUG31 223000  2.2 1010.0  32.0  2.2 2.2 2.2  none  OFF  OFF  -62.48 -52.17  UNIFRM   NA   -0.0   11.33   21.56  FCST    OTHER 28.3 
2021AUG31 230000  2.2 1010.0  32.0  2.2 2.4 2.4  none  OFF  OFF  -61.67 -54.78  UNIFRM   NA   -0.0   11.36   21.71  FCST    OTHER 28.5 
2021AUG31 233000  2.2 1010.0  32.0  2.2 2.4 2.5  0.2Thour OFF  OFF  -59.72 -55.56  UNIFRM   NA   -0.0   11.39   21.87  FCST    OTHER 28.6 
2021SEP01 000000  2.3 1010.9  33.0  2.3 2.6 3.5  0.2Thour OFF  OFF  -55.67 -55.40  RCDO   NA   -0.0   11.42   22.03  FCST    OTHER 28.8 
2021SEP01 003000  2.4 1010.3  34.0  2.4 2.6 3.5  0.2Thour OFF  OFF  -56.75 -54.95  RCDO   NA   -0.0   11.44   22.18  FCST    OTHER 29.0 
2021SEP01 010000  2.4 1011.3  34.0  2.4 2.8 3.5  0.2Thour OFF  OFF  -53.59 -53.78  RCDO   NA   -0.0   11.47   22.34  FCST    OTHER 29.2 
2021SEP01 013000  2.5 1010.5  35.0  2.5 2.8 3.4  0.2Thour OFF  OFF  -59.34 -56.37  RCDO   NA   -0.0   12.06   22.75  FCST    OTHER 29.9 
2021SEP01 020000  2.7 1008.1  39.0  2.7 3.0 3.4  0.2Thour OFF  OFF  -55.67 -58.03  RCDO   NA   -0.0   12.03   22.90  FCST    OTHER 30.0 
2021SEP01 023000  2.7 1008.1  39.0  2.7 2.8 2.9  0.7T6hr  OFF  OFF  -52.58 -58.47  UNIFRM   NA   -0.0   12.07   23.05  FCST    OTHER 30.2 
2021SEP01 030000  2.7 1008.1  39.0  2.7 2.8 3.4  0.7T6hr  OFF  OFF  -54.28 -57.51  RCDO   NA   -0.0   12.10   23.20  FCST    OTHER 30.3 
2021SEP01 033000  2.8 1006.9  41.0  2.8 2.9 3.4  0.7T6hr  OFF  OFF  -53.25 -56.56  RCDO   NA   -0.0   12.13   23.35  FCST    OTHER 30.5 
2021SEP01 040000  2.8 1006.9  41.0  2.8 2.9 3.4  0.7T6hr  OFF  OFF  -54.97 -55.23  RCDO   NA   -0.0   12.17   23.50  FCST    OTHER 30.7 
2021SEP01 043000  2.8 1006.8  41.0  2.8 2.9 3.2  0.7T6hr  OFF  OFF  -50.62 -53.02  RCDO   NA   -0.0   12.20   23.65  FCST    OTHER 30.9 
2021SEP01 050000  2.8 1006.8  41.0  2.8 2.9 3.3  0.7T6hr  OFF  OFF  -53.59 -53.41  RCDO   NA   -0.0   12.23   23.81  FCST    OTHER 31.0 
2021SEP01 053000  2.8 1006.8  41.0  2.8 2.9 3.3  0.7T6hr  OFF  OFF  -53.93 -53.52  RCDO   NA   -0.0   12.26   23.96  FCST    OTHER 31.2 
2021SEP01 060000  2.9 1005.6  43.0  2.9 3.0 3.3  0.7T6hr  OFF  OFF  -56.03 -54.14  RCDO   NA   -0.0   12.29   24.11  FCST    OTHER 31.4 
2021SEP01 063000  2.9 1005.6  43.0  2.9 3.1 3.4  0.7T6hr  OFF  OFF  -57.11 -55.95  RCDO   NA   -0.0   12.32   24.26  FCST    OTHER 31.5 
2021SEP01 070000  2.9 1005.6  43.0  2.9 3.1 3.5  0.7T6hr  OFF  OFF  -56.75 -58.05  RCDO   NA   -0.0   12.35   24.41  FCST    OTHER 31.7 
2021SEP01 073000  3.0 1004.4  45.0  3.0 3.2 3.5  0.7T6hr  OFF  OFF  -54.97 -57.23  RCDO   NA   -0.0   12.29   24.41  FCST    OTHER 31.7 
2021SEP01 080000  3.1 1003.2  47.0  3.1 3.4 3.5  0.7T6hr  OFF  OFF  -56.39 -57.57  RCDO   NA   -0.0   12.27   24.50  FCST    OTHER 31.7 
2021SEP01 083000  3.1 1003.2  47.0  3.1 3.4 3.5  0.7T6hr  OFF  OFF  -57.11 -58.50  RCDO   NA   -0.0   12.28   24.65  FCST    OTHER 31.9 
2021SEP01 090000  3.2 1001.9  49.0  3.2 3.4 3.5  0.7T6hr  OFF  OFF  -58.58 -59.54  RCDO   NA   -0.0   12.30   24.80  FCST    OTHER 32.1 
2021SEP01 093000  3.3 1000.6  51.0  3.3 3.5 3.5  none  OFF  OFF  -52.92 -59.46  RCDO   NA   -0.0   12.32   24.95  FCST    OTHER 32.2 
2021SEP01 100000  3.3 1000.6  51.0  3.3 3.5 3.5  none  OFF  OFF  -52.25 -59.16  RCDO   NA   -0.0   12.33   25.11  FCST    OTHER 32.4 
2021SEP01 103000  3.4  999.3  53.0  3.4 3.5 3.9  0.7T6hr  OFF  OFF  -53.59 -57.41  UNIFRM   NA   -0.0   12.34   25.26  FCST    OTHER 32.6 
2021SEP01 110000  3.4  999.3  53.0  3.4 3.5 3.9  0.7T6hr  OFF  OFF  -53.25 -55.17  UNIFRM   NA   -0.0   12.36   25.41  FCST    OTHER 32.7 
2021SEP01 113000  3.4  999.3  53.0  3.4 3.5 3.5  none  OFF  OFF  -46.28 -52.60  RCDO   NA   -0.0   12.37   25.56  FCST    OTHER 32.9 
2021SEP01 120000  3.4  999.3  53.0  3.4 3.5 3.5  none  OFF  OFF  -36.15 -50.87  RCDO   NA   -0.0   12.38   25.72  FCST    OTHER 33.0 
2021SEP01 123000  3.5  998.0  55.0  3.5 3.5 3.5  none  OFF  OFF  -28.08 -50.16  RCDO   NA   -0.0   12.40   25.87  FCST    OTHER 33.2 
2021SEP01 130000  3.5  998.0  55.0  3.5 3.5 3.5  none  OFF  OFF  -29.66 -49.89  RCDO   NA   -0.0   12.41   26.02  FCST    OTHER 33.4 
2021SEP01 133000  3.5  998.0  55.0  3.5 3.5 3.5  none  OFF  OFF  -23.73 -47.30  RCDO   NA   -0.0   12.42   26.17  FCST    OTHER 33.5 
2021SEP01 140000  3.5  998.1  55.0  3.5 4.0 4.4  0.5Thour OFF  OFF   -5.08 -51.03  EYEL   39   -0.0   12.30   27.29  FCST    OTHER 34.6 
2021SEP01 143000  3.5  998.1  55.0  3.5 3.4 3.4  none  OFF  OFF   -3.42 -51.99  UNIFRM   NA   -0.0   12.30   27.45  FCST    OTHER 34.8 
2021SEP01 150000  3.6  996.8  57.0  3.6 4.0 4.7  0.5Thour OFF  OFF   10.69 -52.22  EYEL   45   -0.0   12.30   27.60  FCST    OTHER 34.9 
2021SEP01 153000  3.7  995.5  59.0  3.7 4.0 4.9  0.5Thour OFF  OFF   14.85 -47.47  EYE    -99   -0.0   12.30   27.76  FCST    OTHER 35.1 
2021SEP01 160000  3.7  995.6  59.0  3.6 3.2 3.2  none   ON  OFF  -49.66 -44.93  UNIFRM   NA   -0.0   12.05   27.25  SPRL    OTHER 34.5 
2021SEP01 163000  3.7  995.5  59.0  3.7 4.2 4.7  0.5Thour OFF  OFF   17.13 -51.02  EYEL   51   -0.0   12.31   28.07  FCST    OTHER 35.4 
2021SEP01 170000  3.8  994.1  61.0  3.8 4.1 4.9  0.5Thour OFF  OFF   15.12 -54.74  EYEL   47   -0.0   12.31   28.23  FCST    OTHER 35.6 
2021SEP01 173000  3.9  992.8  63.0  3.9 4.9 4.9  none  OFF  OFF   15.93 -47.82  EYE     29   -0.0   12.31   28.39  FCST    OTHER 35.8 
2021SEP01 180000  3.9  992.8  63.0  3.9 3.3 3.2  0.5Thour OFF  OFF  -54.97 -46.65  UNIFRM   NA   -0.0   12.37   27.98  SPRL    OTHER 35.4 
2021SEP01 183000  3.9  993.0  63.0  3.9 3.9 3.5  MW   ON  OFF  -23.31 -47.90  UNIFRM   NA   -0.0   11.87   27.63  SPRL    OTHER 34.8 MWinit1=3.53.83.9
2021SEP01 190000  3.9  992.9  63.0  3.9 3.9 3.5  MW   ON  OFF  -38.47 -48.54  UNIFRM   NA   -0.0   11.98   28.00  SPRL    OTHER 35.2 MWinit1=3.53.83.9
2021SEP01 193000  3.9  992.7  63.0  3.9 3.9 3.2  MW   ON  OFF  -11.13 -50.55  UNIFRM   NA   -0.0   12.42   28.86  FCST    OTHER 36.3 MWinit1=3.33.83.9
2021SEP01 200000  4.0  991.4  65.0  4.0 4.0 3.5  MW   ON  OFF  -35.90 -49.14  UNIFRM   NA   -0.0   12.32   28.11  SPRL    OTHER 35.5 MWinit1=3.53.73.9
2021SEP01 203000  4.0  991.3  65.0  4.0 4.0 3.4  MW   ON  OFF  -22.48 -47.24  UNIFRM   NA   -0.0   12.49   29.24  FCST    OTHER 36.7 MWinit1=3.43.63.9
2021SEP01 210000  4.0  991.3  65.0  4.0 4.0 3.7  MW   ON  FLG  -48.72 -49.19  UNIFRM   NA   -0.0   12.55   28.73  SPRL    OTHER 36.2 MWinit1=3.73.43.9
2021SEP01 213000  4.0  991.3  65.0  4.0 4.0 3.5  MW   ON  FLG  -48.72 -47.79  UNIFRM   NA   -0.0   12.66   28.89  SPRL    OTHER 36.4 MWinit1=3.53.43.9
2021SEP01 220000  4.0  991.3  65.0  4.0 4.0 3.5  MW   ON  FLG  -41.97 -48.08  UNIFRM   NA   -0.0   12.57   29.03  SPRL    OTHER 36.5 MWinit1=3.53.43.9
2021SEP01 223000  4.0  991.2  65.0  4.0 4.0 3.1  MW   ON  FLG  -37.69 -44.41  UNIFRM   NA   -0.0   12.78   28.87  SPRL    OTHER 36.5 MWinit1=3.13.43.9
2021SEP01 230000  4.1  989.8  67.4  4.1 4.1 3.5  MW   ON  FLG  -48.72 -47.18  RCDO   NA   -0.0   12.39   29.63  SPRL    OTHER 37.1 MWinit1=3.53.43.9
2021SEP01 233000  4.1  989.8  67.4  4.1 4.1 3.4  MW   ON  FLG  -70.88 -51.35  UNIFRM   NA   -0.0   12.39   29.67  SPRL    OTHER 37.1 MWinit1=3.43.43.9
2021SEP02 000000  4.1  989.7  67.4  4.1 4.1 3.4  MW   ON  OFF  -68.98 -51.83  UNIFRM   NA   -0.0   12.50   29.80  SPRL    OTHER 37.3 MWinit1=3.43.43.9
2021SEP02 003000  4.1  989.6  67.4  4.1 4.1 3.0  MW   ON  OFF  -11.85 -48.79  RCDO   NA   -0.0   12.60   30.45  SPRL    OTHER 38.0 MWinit1=3.13.33.8
2021SEP02 010000  4.1  990.6  67.4  4.1 4.1 3.1  MW   ON  OFF  -14.99 -48.11  RCDO   NA   -0.0   12.61   30.48  SPRL    OTHER 38.1 MWinit1=3.13.33.8
