=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2021OCT22 140000  2.0 1011.0  30.0  2.0 2.0 2.0  none  OFF  OFF  -35.16 -56.90  CRVBND   NA   -1.5   12.77  100.42  FCST   GOES16 32.9 
2021OCT22 143000  2.1 1011.0  31.0  2.1 2.2 3.3  0.2Thour OFF  OFF  -61.16 -55.13  CRVBND   NA   -1.5   12.70  100.46  FCST   GOES16 32.9 
2021OCT22 150000  2.1 1011.0  31.0  2.1 2.2 3.3  0.2Thour OFF  OFF  -66.16 -56.76  CRVBND   NA   -1.5   12.70  100.50  FCST   GOES16 33.0 
2021OCT22 153000  2.2 1011.9  32.0  2.2 2.4 3.4  0.2Thour OFF  OFF  -68.16 -58.87  CRVBND   NA   -1.5   12.70  100.54  FCST   GOES16 33.0 
2021OCT22 160000  2.2 1011.9  32.0  2.2 2.4 2.6  0.2Thour OFF  OFF  -71.16 -59.19  UNIFRM   NA   -1.5   12.71  100.58  FCST   GOES16 33.1 
2021OCT22 163000  2.3 1011.3  33.0  2.3 2.6 2.7  0.2Thour OFF  OFF  -70.16 -59.06  UNIFRM   NA   -1.5   12.72  100.63  FCST   GOES16 33.1 
2021OCT22 170000  2.3 1011.3  33.0  2.3 2.6 2.8  0.2Thour OFF  OFF  -68.16 -59.36  UNIFRM   NA   -1.5   12.73  100.67  FCST   GOES16 33.2 
2021OCT22 173000  2.4 1010.7  34.0  2.4 2.8 2.8  none  OFF  OFF  -75.16 -59.52  UNIFRM   NA   -1.5   12.74  100.71  FCST   GOES16 33.2 
2021OCT22 180000  2.5 1010.1  35.0  2.5 2.8 2.9  0.2Thour OFF  OFF  -73.16 -59.85  UNIFRM   NA   -1.5   12.75  100.76  FCST   GOES16 33.3 
2021OCT22 183000  2.6 1008.9  37.0  2.6 2.9 2.9  none  OFF  OFF  -71.16 -60.52  UNIFRM   NA   -1.5   12.76  100.81  FCST   GOES16 33.3 
2021OCT22 190000  2.7 1005.8  39.0  2.7 3.0 3.1  0.2Thour OFF  OFF  -69.16 -61.21  UNIFRM   NA   -1.5   12.78  100.85  FCST   GOES16 33.4 
2021OCT22 193000  2.8 1004.5  41.0  2.8 3.1 3.1  none  OFF  OFF  -65.16 -59.61  UNIFRM   NA   -1.5   12.97  100.93  FCST   GOES16 33.5 
2021OCT22 200000  2.9 1003.2  43.0  2.9 3.2 3.5  0.2Thour OFF  OFF  -60.16 -58.07  CRVBND   NA   -1.5   13.03  100.96  FCST   GOES16 33.6 
2021OCT22 203000  2.9 1003.2  43.0  2.9 2.8 3.4  0.7T6hr  OFF  OFF  -58.16 -57.10  CRVBND   NA   -1.5   13.07  100.98  FCST   GOES16 33.6 
2021OCT22 210000  2.9 1003.2  43.0  2.9 2.8 3.3  0.7T6hr  OFF  OFF  -49.16 -54.55  CRVBND   NA   -1.5   13.10  101.00  FCST   GOES16 33.7 
2021OCT22 213000  2.9 1003.2  43.0  2.9 2.9 3.2  0.7T6hr  OFF  OFF  -54.16 -52.67  CRVBND   NA   -1.5   13.13  101.02  FCST   GOES16 33.7 
2021OCT22 220000  2.9 1003.2  43.0  2.9 2.9 3.1  0.7T6hr  OFF  OFF  -54.16 -50.93  CRVBND   NA   -1.5   13.17  101.04  FCST   GOES16 33.7 
2021OCT22 223000  2.9 1003.2  43.0  2.9 3.0 3.2  0.7T6hr  OFF  OFF  -54.16 -48.67  CRVBND   NA   -1.5   13.20  101.06  FCST   GOES16 33.8 
2021OCT22 230000  2.9 1003.1  43.0  2.9 3.0 3.4  0.7T6hr  OFF  OFF  -70.16 -48.22  CRVBND   NA   -1.5   13.23  101.08  FCST   GOES16 33.8 
2021OCT22 233000  2.9 1003.1  43.0  2.9 2.9 2.9  none  OFF  OFF  -74.16 -49.69  UNIFRM   NA   -1.5   13.26  101.10  FCST   GOES16 33.8 
2021OCT23 000000  2.9 1003.1  43.0  2.9 3.0 3.0  none  OFF  OFF  -74.16 -53.88  UNIFRM   NA   -1.5   13.30  101.12  FCST   GOES16 33.9 
2021OCT23 003000  2.9 1003.1  43.0  2.9 3.1 3.1  none  OFF  OFF  -74.16 -57.63  UNIFRM   NA   -1.5   13.33  101.14  FCST   GOES16 33.9 
2021OCT23 010000  3.0 1001.9  45.0  3.0 3.1 3.1  none  OFF  OFF  -75.16 -59.88  UNIFRM   NA   -0.0   13.36  101.16  FCST   GOES16 34.0 
2021OCT23 013000  3.0 1001.9  45.0  3.0 3.4 3.7  0.5Thour OFF  OFF  -75.16 -64.13  UNIFRM   NA   -0.0   13.29  101.26  FCST   GOES16 34.0 
2021OCT23 020000  3.1 1000.6  47.0  3.1 3.1 3.6  MW  OFF  OFF  -74.16 -63.31  UNIFRM   NA   -0.0   13.33  101.26  FCST   GOES16 34.0 MWinit1=3.53.13.1
2021OCT23 023000  3.2  999.4  49.0  3.2 3.2 3.8  MW  OFF  OFF  -71.16 -64.14  UNIFRM   NA   -0.0   13.37  101.28  FCST   GOES16 34.1 MWinit1=3.53.23.2
2021OCT23 030000  3.2  999.4  49.0  3.2 3.2 3.8  MW  OFF  OFF  -67.16 -64.58  UNIFRM   NA   -0.0   13.40  101.30  FCST   GOES16 34.1 MWinit1=3.63.33.3
2021OCT23 033000  3.3  998.1  51.0  3.3 3.3 3.8  MW  OFF  OFF  -65.16 -65.90  UNIFRM   NA   -0.0   13.43  101.32  FCST   GOES16 34.2 MWinit1=3.63.43.4
2021OCT23 040000  3.3  998.1  51.0  3.3 3.3 3.8  MW  OFF  OFF  -68.16 -66.73  UNIFRM   NA   -0.0   13.47  101.34  FCST   GOES16 34.2 MWinit1=3.63.53.5
2021OCT23 043000  3.4  996.8  53.0  3.4 3.4 3.9  MW  OFF  OFF  -65.16 -67.31  UNIFRM   NA   -0.0   13.50  101.36  FCST   GOES16 34.2 MWinit1=3.63.53.5
2021OCT23 050000  3.4  996.8  53.0  3.4 3.4 3.9  MW  OFF  OFF  -65.16 -67.36  UNIFRM   NA   -0.0   13.53  101.38  FCST   GOES16 34.3 MWinit1=3.63.53.5
2021OCT23 053000  3.5  995.5  55.0  3.5 3.5 3.9  MW  OFF  OFF  -63.16 -67.35  UNIFRM   NA   -0.0   13.57  101.40  FCST   GOES16 34.3 MWinit1=3.63.63.6
2021OCT23 060000  3.5  995.4  55.0  3.5 3.5 4.0  MW  OFF  OFF  -60.16 -67.75  UNIFRM   NA   -0.0   13.60  101.43  FCST   GOES16 34.3 MWinit1=3.63.63.6
2021OCT23 063000  3.6  994.1  57.0  3.6 3.6 4.1  MW  OFF  OFF  -56.16 -67.69  UNIFRM   NA   -0.0   13.63  101.45  FCST   GOES16 34.4 MWinit1=3.63.63.6
2021OCT23 070000  3.6  995.1  57.0  3.6 3.6 4.1  MW  OFF  OFF  -61.16 -67.07  UNIFRM   NA   -0.0   13.67  101.47  FCST   GOES16 34.4 MWinit1=3.73.63.6
2021OCT23 073000  3.7  993.7  59.0  3.7 3.7 4.1  MW  OFF  OFF  -64.16 -66.02  UNIFRM   NA   -0.0   13.79  101.45  FCST   GOES16 34.5 MWinit1=3.73.63.6
2021OCT23 080000  3.7  993.7  59.0  3.7 3.7 4.1  MW  OFF  OFF  -64.16 -64.99  UNIFRM   NA   -0.0   13.83  101.47  FCST   GOES16 34.5 MWinit1=3.83.63.6
2021OCT23 083000  3.8  992.4  61.0  3.8 3.8 4.1  MW  OFF  OFF  -65.16 -63.89  UNIFRM   NA   -0.0   13.86  101.39  FCST   GOES16 34.4 MWinit1=3.93.73.7
2021OCT23 090000  3.8  992.4  61.0  3.8 3.8 4.0  MW  OFF  OFF  -63.16 -63.08  UNIFRM   NA   -0.0   13.90  101.40  FCST   GOES16 34.5 MWinit1=4.03.73.7
2021OCT23 093000  3.9  991.0  63.0  3.9 3.9 4.0  MW  OFF  OFF  -62.16 -62.07  UNIFRM   NA   -0.0   13.94  101.41  FCST   GOES16 34.5 MWinit1=4.03.83.8
2021OCT23 100000  3.9  991.0  63.0  3.9 3.9 4.0  MW  OFF  OFF  -62.16 -60.59  UNIFRM   NA   -0.0   13.97  101.42  FCST   GOES16 34.5 MWinit1=4.03.83.8
2021OCT23 103000  4.0  989.6  65.0  4.0 4.0 3.9  MW  OFF  OFF  -61.16 -59.64  UNIFRM   NA   -0.0   14.01  101.44  FCST   GOES16 34.6 MWinit1=3.93.93.9
2021OCT23 110000  4.0  989.6  65.0  4.0 4.0 3.8  MW  OFF  OFF  -64.16 -59.70  UNIFRM   NA   -0.0   14.05  101.46  FCST   GOES16 34.6 MWinit1=3.83.93.9
2021OCT23 113000  4.1  987.9  67.4  4.1 4.1 3.8  MW  OFF  OFF  -62.16 -59.95  UNIFRM   NA   -0.0   14.09  101.48  FCST   GOES16 34.6 MWinit1=3.83.93.9
2021OCT23 120000  4.1  987.9  67.4  4.1 4.1 3.7  MW   ON  OFF  -60.16 -59.37  UNIFRM   NA   -0.0   14.13  101.50  FCST   GOES16 34.7 MWinit1=3.73.83.9
2021OCT23 123000  4.2  984.2  69.8  4.2 4.2 3.6  MW   ON  OFF  -56.16 -59.09  UNIFRM   NA   -0.0   14.17  101.52  FCST   GOES16 34.7 MWinit1=3.63.83.9
2021OCT23 130000  4.2  984.1  69.8  4.2 4.2 3.7  MW   ON  OFF  -67.16 -61.24  UNIFRM   NA   -0.0   14.49  101.53  FCST   GOES16 34.9 MWinit1=3.73.73.9
2021OCT23 133000  4.3  982.4  72.2  4.3 4.3 3.7  MW   ON  OFF  -66.16 -60.49  UNIFRM   NA   -0.0   14.55  101.49  FCST   GOES16 34.9 MWinit1=3.73.73.9
2021OCT23 140000  4.3  982.3  72.2  4.3 4.3 3.6  MW      ON  OFF  -60.16 -58.53  UNIFRM   NA   23.2   14.60  101.49  FCST   GOES16 34.9 
2021OCT23 143000  4.3  982.3  72.2  4.3 4.3 3.4  MW      ON  FLG  -58.16 -56.17  UNIFRM   NA   23.2   14.65  101.49  FCST   GOES16 34.9 
