                  --------Intensity------- -Tno Values-- ---TnoCI Rules---  -Temperature-                 
           Time        FinalMSLPLatVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   Storm Location  Fix
   Date    (UTC)   CI  MSLP BiasAdj(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)     Lat     Lon    Mthd   Comments
2012JUL12 090000  2.0 1009.0  +0.0  30.0  2.0 2.0 2.0  none  OFF  OFF  -62.66 -58.08  UNIFRM   NA    13.60  106.40   FCST   
2012JUL12 093000  2.0 1009.0  +0.0  30.0  1.9 1.9 1.9  0.1Thour  ON  OFF  -68.76 -62.78  UNIFRM   NA    13.61  106.45   FCST   
2012JUL12 100000  2.0 1009.0  +0.0  30.0  2.0 2.1 2.1  none  OFF  OFF  -71.46 -65.32  UNIFRM   NA    13.63  106.50   FCST   
2012JUL12 103000  2.0 1009.0  +0.0  30.0  2.0 2.1 2.3  0.1Thour OFF  OFF  -72.36 -67.67  UNIFRM   NA    13.64  106.55   FCST   
2012JUL12 110000  2.0 1009.0  +0.0  30.0  2.0 2.1 2.4  0.1Thour OFF  OFF  -74.36 -68.72  UNIFRM   NA    13.66  106.60   FCST   
2012JUL12 113000  2.0 1009.0  +0.0  30.0  2.0 2.0 2.5  0.1Thour OFF  OFF  -72.36 -68.20  UNIFRM   NA    13.67  106.65   FCST   
2012JUL12 120000  2.0 1009.0  +0.0  30.0  2.0 2.2 2.6  0.1Thour OFF  OFF  -70.06 -68.43  UNIFRM   NA    13.69  106.70   FCST   
2012JUL12 123000  2.0 1009.0  +0.0  30.0  2.0 2.2 2.6  0.1Thour OFF  OFF  -68.36 -67.03  UNIFRM   NA    13.70  106.75   FCST   
2012JUL12 130000  2.1 1008.2  +0.0  31.0  2.1 2.2 2.6  0.1Thour OFF  OFF  -65.36 -66.95  UNIFRM   NA    13.72  106.80   FCST   
2012JUL12 133000  2.1 1008.2  +0.0  31.0  2.1 2.1 2.7  0.1Thour OFF  OFF  -67.46 -65.58  UNIFRM   NA    13.73  106.85   FCST   
2012JUL12 140000  2.1 1008.2  +0.0  31.0  2.1 2.3 2.6  0.1Thour OFF  OFF  -65.76 -65.21  UNIFRM   NA    13.75  106.90   FCST   
2012JUL12 143000  2.2 1007.4  +0.0  32.0  2.2 2.3 2.6  0.1Thour OFF  OFF  -67.06 -64.37  UNIFRM   NA    13.77  106.95   FCST   
2012JUL12 150000  2.2 1007.4  +0.0  32.0  2.2 2.3 3.0  0.1Thour OFF  OFF  -75.86 -69.87  UNIFRM   NA    13.60  107.30   FCST   
2012JUL12 153000  2.2 1007.4  +0.0  32.0  2.2 2.6 3.0  0.5Thour OFF  OFF  -74.86 -69.33  UNIFRM   NA    13.62  107.34   FCST   
2012JUL12 160000  2.3 1006.9  +0.3  33.0  2.3 2.6 3.0  0.5Thour OFF  OFF  -75.36 -69.12  UNIFRM   NA    13.65  107.39   FCST   
2012JUL12 163000  2.4 1006.3  +0.5  34.0  2.4 2.7 3.1  0.7T6hr  OFF  OFF  -75.86 -69.85  UNIFRM   NA    13.67  107.44   FCST   
2012JUL12 170000  2.5 1005.8  +0.8  35.0  2.5 2.7 3.1  0.7T6hr  OFF  OFF  -76.86 -69.90  UNIFRM   NA    13.70  107.48   FCST   
2012JUL12 173000  2.5 1006.1  +1.1  35.0  2.5 2.7 3.2  0.7T6hr  OFF  OFF  -76.36 -69.79  UNIFRM   NA    13.72  107.53   FCST   
2012JUL12 180000  2.6 1005.3  +1.3  37.0  2.6 2.7 3.3  0.7T6hr  OFF  OFF  -74.36 -70.22  UNIFRM   NA    13.75  107.58   FCST   
