                  --------Intensity------- -Tno Values-- ---TnoCI Rules---  -Temperature-                 
           Time        FinalMSLPLatVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   Storm Location  Fix
   Date    (UTC)   CI  MSLP BiasAdj(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)     Lat     Lon    Mthd   Comments
2012AUG22 151500  2.0 1009.0  +0.0  30.0  2.0 2.0 2.0  none  OFF  OFF  -17.76 -40.42  CRVBND   NA    12.43   36.35   FCST   
2012AUG22 154500  2.0 1009.0  +0.0  30.0  2.0 2.1 3.0  0.1Thour OFF  OFF  -22.46 -39.24  CRVBND   NA    12.48   36.44   FCST   
2012AUG22 161500  2.0 1009.0  +0.0  30.0  2.0 2.1 3.0  0.1Thour OFF  OFF  -23.26 -38.79  CRVBND   NA    12.53   36.54   FCST   
2012AUG22 164500  2.0 1009.0  +0.0  30.0  2.0 2.1 2.9  0.1Thour OFF  OFF  -24.96 -37.22  CRVBND   NA    12.59   36.63   FCST   
2012AUG22 171500  2.0 1009.0  +0.0  30.0  2.0 2.1 2.5  0.1Thour OFF  OFF  -20.56 -36.95  CRVBND   NA    12.64   36.73   FCST   
2012AUG22 174500  2.0 1009.0  +0.0  30.0  2.0 2.2 2.7  0.1Thour OFF  OFF  -20.86 -35.51  CRVBND   NA    12.69   36.83   FCST   
2012AUG22 181500  2.1 1008.2  +0.0  31.0  2.1 2.2 2.7  0.1Thour OFF  OFF  -21.46 -34.92  CRVBND   NA    12.74   36.93   FCST   
2012AUG22 184500  2.1 1008.2  +0.0  31.0  2.1 2.2 2.7  0.1Thour OFF  OFF  -22.86 -34.04  CRVBND   NA    12.79   37.03   FCST   
2012AUG22 191500  2.1 1008.2  +0.0  31.0  2.1 2.2 2.7  0.1Thour OFF  OFF  -17.56 -32.27  CRVBND   NA    12.84   37.13   FCST   
2012AUG22 194500  2.1 1008.2  +0.0  31.0  2.1 2.2 2.2  none  OFF  OFF  -11.76 -31.50  CRVBND   NA    12.89   37.23   FCST   
2012AUG22 201500  2.2 1007.4  +0.0  32.0  2.2 2.3 2.7  0.1Thour OFF  OFF  -17.56 -29.73  CRVBND   NA    12.94   37.33   FCST   
2012AUG22 204500  2.2 1007.4  +0.0  32.0  2.2 2.3 2.9  0.1Thour OFF  OFF  -14.56 -27.75  CRVBND   NA    12.99   37.43   FCST   
2012AUG22 211500  2.2 1007.4  +0.0  32.0  2.2 2.2 2.2  none  OFF  OFF  -11.06 -24.69  CRVBND   NA    13.13   37.46   FCST   
2012AUG22 214500  2.2 1007.4  +0.0  32.0  2.2 2.5 2.5  none  OFF  OFF  -10.96 -22.00  CRVBND   NA    13.18   37.59   FCST   
2012AUG22 221500  2.3 1006.6  +0.0  33.0  2.3 2.7 2.7  0.7T6hr  OFF  OFF  -14.16 -21.64  CRVBND   NA    13.23   37.72   FCST   
2012AUG22 224500  2.3 1006.6  +0.0  33.0  2.3 2.5 2.5  none  OFF  OFF  -19.16 -21.87  CRVBND   NA    13.29   37.84   FCST   
2012AUG22 231500  2.4 1005.8  +0.0  34.0  2.4 2.5 2.5  none  OFF  OFF  -10.96 -21.16  CRVBND   NA    13.34   37.97   FCST   
2012AUG22 234500  2.4 1005.8  +0.0  34.0  2.4 2.2 2.2  none  OFF  OFF   -0.36 -24.72  CRVBND   NA    13.39   38.09   FCST   
2012AUG23 001500  2.4 1005.8  +0.0  34.0  2.4 2.2 2.2  none  OFF  OFF   -2.16 -22.95  CRVBND   NA    13.44   38.22   FCST   
2012AUG23 004500  2.4 1005.8  +0.0  34.0  2.4 2.2 2.2  none  OFF  OFF   -1.26 -24.75  CRVBND   NA    13.49   38.34   FCST   
2012AUG23 011500  2.4 1005.8  +0.0  34.0  2.3 2.2 2.2  none   ON  OFF    3.94 -22.85  CRVBND   NA    13.54   38.47   FCST   
2012AUG23 014500  2.4 1005.8  +0.0  34.0  2.3 2.5 2.5  none   ON  OFF    6.24 -23.15  CRVBND   NA    13.59   38.59   FCST   
2012AUG23 021500  2.4 1005.8  +0.0  34.0  2.3 2.7 2.7  none   ON  OFF   -4.66 -25.18  CRVBND   NA    13.64   38.71   FCST   
2012AUG23 024500  2.4 1005.8  +0.0  34.0  2.3 2.2 2.2  none   ON  OFF  -14.56 -27.75  CRVBND   NA    13.69   38.83   FCST   
2012AUG23 031500  2.4 1005.8  +0.0  34.0  2.3 2.2 2.2  none   ON  OFF   -9.76 -30.03  CRVBND   NA    13.82   39.56   FCST   
2012AUG23 034500  2.4 1005.8  +0.0  34.0  2.4 2.8 2.9  0.5Thour OFF  OFF  -16.66 -30.57  CRVBND   NA    13.86   39.67   FCST   
2012AUG23 041500  2.4 1005.8  +0.0  34.0  2.4 2.5 2.5  none  OFF  OFF   -0.96 -31.30  CRVBND   NA    13.90   39.78   FCST   
2012AUG23 044500  2.4 1005.8  +0.0  34.0  2.4 2.5 2.5  none  OFF  OFF    0.84 -31.99  CRVBND   NA    13.94   39.89   FCST   
2012AUG23 051500  2.4 1005.8  +0.0  34.0  2.4 2.5 2.5  none  OFF  OFF   -4.36 -32.02  CRVBND   NA    13.98   40.00   FCST   
2012AUG23 054500  2.4 1005.8  +0.0  34.0  2.4 2.5 2.5  none  OFF  OFF  -20.36 -33.48  CRVBND   NA    14.02   40.12   FCST   
2012AUG23 061500  2.5 1005.0  +0.0  35.0  2.5 2.5 2.5  none  OFF  OFF  -12.06 -32.33  CRVBND   NA    14.06   40.23   FCST   
2012AUG23 064500  2.5 1005.0  +0.0  35.0  2.5 2.5 2.5  none  OFF  OFF   -5.76 -31.06  CRVBND   NA    14.09   40.34   FCST   
2012AUG23 071500  2.5 1005.0  +0.0  35.0  2.5 2.5 2.5  none  OFF  OFF   -6.36 -30.14  CRVBND   NA    14.13   40.45   FCST   
2012AUG23 074500  2.5 1005.0  +0.0  35.0  2.5 2.5 2.5  none  OFF  OFF   -1.56 -28.54  CRVBND   NA    14.17   40.56   FCST   
2012AUG23 081500  2.5 1005.0  +0.0  35.0  2.5 2.5 2.5  none  OFF  OFF  -11.76 -26.87  CRVBND   NA    14.21   40.67   FCST   
2012AUG23 084500  2.5 1005.0  +0.0  35.0  2.4 2.2 2.2  none   ON  OFF   -3.36 -25.48  CRVBND   NA    14.25   40.78   FCST   
2012AUG23 091500  2.5 1005.0  +0.0  35.0  2.5 2.9 2.9  none  OFF  OFF  -41.86 -38.21  CRVBND   NA    14.52   40.65   FCST   
2012AUG23 094500  2.5 1005.0  +0.0  35.0  2.5 2.7 2.7  none  OFF  OFF  -35.36 -38.32  CRVBND   NA    14.56   40.76   FCST   
2012AUG23 101500  2.5 1005.0  +0.0  35.0  2.5 2.7 2.7  none  OFF  OFF  -26.66 -38.51  CRVBND   NA    14.59   40.87   FCST   
2012AUG23 104500  2.6 1004.0  +0.0  37.0  2.6 2.9 2.9  none  OFF  OFF  -23.06 -37.58  CRVBND   NA    14.63   40.97   FCST   
2012AUG23 111500  2.6 1004.0  +0.0  37.0  2.6 2.7 2.7  none  OFF  OFF  -40.26 -37.04  CRVBND   NA    14.67   41.08   FCST   
2012AUG23 114500  2.6 1004.0  +0.0  37.0  2.6 2.5 2.5  none  OFF  OFF  -31.36 -37.50  CRVBND   NA    14.71   41.18   FCST   
2012AUG23 121500  2.6 1004.0  +0.0  37.0  2.6 2.5 2.5  none  OFF  OFF  -30.46 -37.84  CRVBND   NA    14.75   41.29   FCST   
2012AUG23 124500  2.6 1004.0  +0.0  37.0  2.6 2.5 2.5  none  OFF  OFF  -18.06 -35.63  CRVBND   NA    14.79   41.39   FCST   
2012AUG23 131500  2.6 1004.0  +0.0  37.0  2.6 2.5 2.5  none  OFF  OFF   -9.76 -33.07  CRVBND   NA    14.83   41.50   FCST   
2012AUG23 134500  2.6 1004.0  +0.0  37.0  2.4 2.2 2.2  none   ON  OFF    6.94 -30.72  CRVBND   NA    14.86   41.61   FCST   
2012AUG23 141500  2.6 1004.0  +0.0  37.0  2.4 2.5 2.5  none   ON  OFF   12.24 -26.39  CRVBND   NA    14.90   41.71   FCST   
2012AUG23 144500  2.6 1004.0  +0.0  37.0  2.4 2.5 2.5  none   ON  OFF   14.34 -22.87  CRVBND   NA    14.94   41.82   FCST   
2012AUG23 151500  2.6 1004.0  +0.0  37.0  2.4 2.7 2.7  none   ON  OFF  -31.36 -31.04  CRVBND   NA    15.22   42.26   FCST   
2012AUG23 154500  2.6 1004.0  +0.0  37.0  2.4 2.5 2.5  none   ON  OFF  -21.26 -27.84  CRVBND   NA    15.27   42.37   FCST   
2012AUG23 161500  2.6 1004.0  +0.0  37.0  2.5 2.9 3.4  0.5Thour  ON  OFF  -19.36 -25.84  CRVBND   NA    15.31   42.48   FCST   
2012AUG23 164500  2.6 1004.0  +0.0  37.0  2.5 2.7 2.7  none   ON  OFF  -13.46 -26.09  CRVBND   NA    15.35   42.59   FCST   
2012AUG23 171500  2.6 1004.0  +0.0  37.0  2.6 2.9 2.9  none  OFF  OFF   -2.36 -26.34  CRVBND   NA    15.40   42.70   FCST   
2012AUG23 174500  2.6 1004.0  +0.0  37.0  2.6 2.5 2.5  none  OFF  OFF    2.14 -27.28  CRVBND   NA    15.44   42.81   FCST   
2012AUG23 181500  2.6 1004.0  +0.0  37.0  2.6 2.2 2.2  none  OFF  OFF   -0.66 -26.89  CRVBND   NA    15.49   42.92   FCST   
2012AUG23 184500  2.6 1004.0  +0.0  37.0  2.5 2.0 2.0  none   ON  OFF    4.44 -23.92  CRVBND   NA    15.53   43.03   FCST   
2012AUG23 191500  2.6 1004.0  +0.0  37.0  2.4 2.1 2.0  0.5Thour  ON  OFF    8.44 -21.47  CRVBND   NA    15.58   43.14   FCST   
2012AUG23 194500  2.6 1004.0  +0.0  37.0  2.3 2.1 1.0  0.5Thour  ON  OFF    8.14 -19.41  SHEAR    NA    15.62   43.25   FCST   
2012AUG23 201500  2.6 1004.0  +0.0  37.0  2.2 2.1 1.0  0.5Thour  ON  FLG    6.94 -17.37  SHEAR    NA    15.66   43.36   FCST   
2012AUG23 204500  2.6 1004.0  +0.0  37.0  2.1 2.0 1.0  0.5Thour  ON  FLG    7.84 -14.81  SHEAR    NA    15.71   43.48   FCST   
2012AUG23 211500  2.6 1004.0  +0.0  37.0  2.0 1.9 1.0  0.5Thour  ON  FLG   -0.56  -6.17  SHEAR    NA    15.94   42.58   FCST   
2012AUG23 214500  2.6 1004.0  +0.0  37.0  2.0 1.8 1.0  0.5Thour  ON  FLG   -1.16  -6.76  SHEAR    NA    16.00   42.73   FCST   
2012AUG23 221500  2.6 1004.0  +0.0  37.0  1.9 1.7 1.0  0.5Thour  ON  FLG    2.44  -5.50  SHEAR    NA    16.07   42.89   FCST   
2012AUG23 224500  2.6 1004.0  +0.0  37.0  1.8 1.6 1.0  0.5Thour  ON  FLG    4.64  -3.41  SHEAR    NA    16.14   43.04   FCST   
2012AUG23 231500  2.6 1004.0  +0.0  37.0  1.7 1.5 1.0  0.5Thour  ON  FLG    6.34  -0.41  SHEAR    NA    16.21   43.19   FCST   
2012AUG23 234500  2.6 1004.0  +0.0  37.0  1.7 1.5 1.0  0.5Thour  ON  FLG    7.84   1.45  SHEAR    NA    16.28   43.34   FCST   
2012AUG24 001500  2.6 1004.0  +0.0  37.0  1.6 1.4 1.0  0.5Thour  ON  FLG   10.24   2.56  SHEAR    NA    16.35   43.49   FCST   
2012AUG24 004500  2.5 1005.0  +0.0  35.0  1.5 1.3 1.0  0.5Thour  ON  FLG   12.64   4.95  SHEAR    NA    16.42   43.64   FCST   
2012AUG24 011500  2.3 1006.6  +0.0  33.0  1.4 1.2 1.0  0.5Thour  ON  FLG   16.44   7.62  SHEAR    NA    16.48   43.78   FCST   
2012AUG24 014500  2.3 1006.6  +0.0  33.0  1.3 1.2 1.0  0.5Thour  ON  FLG   17.94   9.79  SHEAR    NA    16.55   43.93   FCST   
2012AUG24 021500  1.8 1010.2  +0.0  28.0  1.3 1.1 1.0  0.5Thour  ON  ON    18.04  11.29  SHEAR    NA    16.62   44.07   FCST   
2012AUG24 024500  1.7 1010.8  +0.0  27.0  1.2 1.0 1.0  none   ON  ON    17.34  13.11  SHEAR    NA    16.68   44.21   FCST   
2012AUG24 031500  1.6 1011.4  +0.0  26.0  1.1 1.0 1.0  none   ON  ON    19.14  16.41  SHEAR    NA    16.33   43.77   FCST   
2012AUG24 034500  1.6 1011.4  +0.0  26.0  1.1 1.0 1.0  none   ON  ON    18.94  16.56  SHEAR    NA    16.39   43.90   FCST   
2012AUG24 041500  1.5 1012.0  +0.0  25.0  1.0 1.0 1.0  none   ON  ON    18.64  16.13  SHEAR    NA    16.45   44.03   FCST   
2012AUG24 044500  1.5 1012.0  +0.0  25.0  1.0 1.0 1.0  none   ON  ON    18.64  15.83  SHEAR    NA    16.51   44.16   FCST   
2012AUG24 051500  1.5 1012.0  +0.0  25.0  1.0 1.0 1.0  none   ON  ON    18.84  16.69  SHEAR    NA    16.57   44.29   FCST   
2012AUG24 054500  1.5 1012.0  +0.0  25.0  1.0 1.0 1.0  none   ON  ON    18.04  16.56  SHEAR    NA    16.63   44.41   FCST   
2012AUG24 061500  1.5 1012.0  +0.0  25.0  1.0 1.0 1.0  none   ON  ON    18.44  16.22  SHEAR    NA    16.69   44.54   FCST   
2012AUG24 064500  1.5 1012.0  +0.0  25.0  1.0 1.0 1.0  none   ON  ON    18.34  15.12  SHEAR    NA    16.76   44.67   FCST   
2012AUG24 071500  1.3 1012.8  +0.0  25.0  1.0 1.0 1.0  none   ON  ON    18.04  14.30  SHEAR    NA    16.82   44.80   FCST   
2012AUG24 074500  1.3 1012.8  +0.0  25.0  1.0 1.0 1.0  none   ON  ON    18.34  14.60  SHEAR    NA    16.88   44.93   FCST   
2012AUG24 081500  1.3 1012.8  +0.0  25.0  1.0 1.0 1.0  none   ON  ON    18.04  15.10  SHEAR    NA    16.94   45.05   FCST   
2012AUG24 084500  1.1 1013.6  +0.0  25.0  1.0 1.0 1.0  none   ON  ON    19.44  16.84  SHEAR    NA    17.00   45.18   FCST   
2012AUG24 091500  1.1 1013.6  +0.0  25.0  1.0 1.0 1.0  none   ON  ON    19.64  18.26  SHEAR    NA    16.92   45.05   FCST   
2012AUG24 094500  1.1 1013.6  +0.0  25.0  1.0 1.0 1.0  none   ON  ON    19.34  18.35  SHEAR    NA    16.97   45.14   FCST   
2012AUG24 101500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none   ON  ON    19.44  18.32  SHEAR    NA    17.02   45.24   FCST   
2012AUG24 104500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  ON    19.04  18.39  SHEAR    NA    17.06   45.34   FCST   
2012AUG24 111500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  ON    18.54  18.43  SHEAR    NA    17.11   45.44   FCST   
2012AUG24 114500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   20.14  18.63  SHEAR    NA    17.16   45.55   FCST   
2012AUG24 121500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   20.64  18.66  SHEAR    NA    17.21   45.65   FCST   
2012AUG24 124500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   21.14  18.82  SHEAR    NA    17.26   45.76   FCST   
2012AUG24 131500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   20.94  17.81  SHEAR    NA    17.31   45.87   FCST   
2012AUG24 134500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   20.94  18.77  SHEAR    NA    17.36   45.98   FCST   
2012AUG24 141500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   20.94  18.88  SHEAR    NA    17.41   46.09   FCST   
2012AUG24 144500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   21.74  18.40  SHEAR    NA    17.46   46.21   FCST   
2012AUG24 151500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   21.24  16.80  SHEAR    NA    17.82   46.26   FCST   
2012AUG24 154500  1.0 1014.0  +0.0  25.0  1.0 1.5 1.9  0.5Thour OFF  OFF   21.44  15.98  SHEAR    NA    17.87   46.39   FCST   
2012AUG24 161500  1.1 1013.6  +0.0  25.0  1.1 1.5 1.8  0.5Thour OFF  OFF   21.34  15.34  SHEAR    NA    17.91   46.52   FCST   
2012AUG24 164500  1.1 1013.6  +0.0  25.0  1.1 1.0 1.0  none  OFF  OFF   21.24  15.83  SHEAR    NA    17.95   46.65   FCST   
2012AUG24 171500  1.2 1013.2  +0.0  25.0  1.2 1.5 1.5  none  OFF  OFF   20.94  16.77  SHEAR    NA    18.00   46.78   FCST   
2012AUG24 174500  1.2 1013.2  +0.0  25.0  1.2 1.0 1.0  none  OFF  OFF   21.54  17.78  SHEAR    NA    18.05   46.91   FCST   
2012AUG24 181500  1.2 1013.2  +0.0  25.0  1.2 1.0 1.0  none  OFF  OFF   21.94  17.06  SHEAR    NA    18.10   47.04   FCST   
2012AUG24 184500  1.2 1013.2  +0.0  25.0  1.2 1.0 1.0  none  OFF  OFF   21.34  19.72  SHEAR    NA    18.14   47.18   FCST   
2012AUG24 191500  1.2 1013.2  +0.0  25.0  1.1 1.0 1.0  none   ON  OFF   21.54  20.10  SHEAR    NA    18.19   47.31   FCST   
2012AUG24 194500  1.2 1013.2  +0.0  25.0  1.0 1.0 1.0  none   ON  OFF   21.44  18.16  SHEAR    NA    18.24   47.44   FCST   
2012AUG24 201500  1.2 1013.2  +0.0  25.0  1.0 1.0 1.0  none   ON  OFF   21.54  19.43  SHEAR    NA    18.29   47.58   FCST   
2012AUG24 204500  1.2 1013.2  +0.0  25.0  1.0 1.0 1.0  none   ON  OFF   21.54  19.42  SHEAR    NA    18.35   47.71   FCST   
2012AUG24 211500  1.2 1013.2  +0.0  25.0  1.0 1.0 1.0  none   ON  OFF   21.44  18.84  SHEAR    NA    18.40   47.85   FCST   
2012AUG24 214500  1.2 1013.2  +0.0  25.0  1.0 1.0 1.0  none   ON  OFF   21.24  19.39  SHEAR    NA    18.45   47.98   FCST   
2012AUG24 221500  1.2 1013.2  +0.0  25.0  1.0 1.0 1.0  none   ON  OFF   20.94  18.70  SHEAR    NA    18.50   48.12   FCST   
2012AUG24 224500  1.2 1013.2  +0.0  25.0  1.0 1.0 1.0  none   ON  OFF   20.84  18.73  SHEAR    NA    18.56   48.26   FCST   
2012AUG24 231500  1.2 1013.2  +0.0  25.0  1.0 1.0 1.0  none   ON  OFF   21.14  18.76  SHEAR    NA    18.62   48.39   FCST   
2012AUG24 234500  1.2 1013.2  +0.0  25.0  1.0 1.0 1.0  none   ON  OFF   21.14  19.04  SHEAR    NA    18.67   48.53   FCST   
2012AUG25 001500  1.2 1013.2  +0.0  25.0  1.0 1.0 1.0  none   ON  OFF   20.84  19.03  SHEAR    NA    18.73   48.67   FCST   
2012AUG25 004500  1.2 1013.2  +0.0  25.0  1.0 1.0 1.0  none   ON  OFF   20.84  18.73  SHEAR    NA    18.79   48.81   FCST   
2012AUG25 011500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none   ON  OFF   20.84  18.53  SHEAR    NA    18.85   48.95   FCST   
2012AUG25 014500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   20.94  19.03  SHEAR    NA    18.90   49.09   FCST   
2012AUG25 021500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   21.14  18.76  SHEAR    NA    18.97   49.23   FCST   
2012AUG25 024500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   21.14  18.15  SHEAR    NA    19.03   49.37   FCST   
2012AUG25 031500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   21.24  12.26  SHEAR    NA    19.09   49.51   FCST   
2012AUG25 034500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   20.34   9.37  SHEAR    NA    19.15   49.66   FCST   
2012AUG25 041500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   19.74  10.07  SHEAR    NA    19.21   49.80   FCST   
2012AUG25 044500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   18.84   3.15  SHEAR    NA    19.28   49.94   FCST   
2012AUG25 051500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   18.24   0.50  SHEAR    NA    19.34   50.09   FCST   
2012AUG25 054500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   18.34   0.93  SHEAR    NA    19.41   50.23   FCST   
2012AUG25 061500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   16.54   2.69  SHEAR    NA    19.48   50.38   FCST   
2012AUG25 064500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   18.04   1.27  SHEAR    NA    19.54   50.53   FCST   
2012AUG25 071500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   19.34  -2.18  SHEAR    NA    19.61   50.67   FCST   
2012AUG25 074500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   19.44  -2.67  SHEAR    NA    19.68   50.82   FCST   
2012AUG25 081500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   19.64  -2.30  SHEAR    NA    19.75   50.97   FCST   
2012AUG25 084500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   19.64  -2.18  SHEAR    NA    19.82   51.12   FCST   
2012AUG25 091500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   20.04   1.12  SHEAR    NA    19.89   51.27   FCST   
2012AUG25 094500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   20.34   5.48  SHEAR    NA    19.97   51.42   FCST   
2012AUG25 101500  1.0 1014.0  +0.0  25.0  1.0 1.0 1.0  none  OFF  OFF   20.04  10.30  SHEAR    NA    20.04   51.57   FCST   
